"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"100k","h",100,9,100000,417667,"wajagcbyDfFqEDkBsmCrcGEoyyctqyuuorBnFDDyDylpsJyfBtkanuDGaDmwfbAEsEarBBfBBBBunBBBkBvJqfBBoBvBBBBDbEqBuKjBBBDvkBdzvvFvxgnq",62.4881,17.91,35,7,7,119,17.63,2
"100k","h",100,13,100000,419775,"wzcagcHCAwegcjCBBdqJvzryycuwrBuEIBFEIKxbijrvjvBGboByBBBopEvpumluuAvpfqEBbcDqlnbucBByBBsxBBxevBBbyBmyDBrkEvbHxozvvfcaxgab",0,17.83,24,6,6,118,18.08,2
"10k","h",500,12,100000,1967737,"IwjagclblvbuEkCbDbrrwCoyycurEEucvxdsCejpsKmGJoLqtcGGqJaqryEHaLeLayntcwBBxcceABkBwBBBxBBBjdeqBdBpBBlKJLBppBvvBBrDvzvxvgmd",0.346386,18.15,23,14,14,119,17.89,2
"100k","h",100,0,100000,490986,"zwjagcotoExkIDdxoHtoGHfEycyuomDyajsIucytyBEJuxxjucnGLtDttKnKbxpErqqBJBJGmjwBjnucBjsvBBBuBBGvIvBBbfxBBBtBBmuBBBGzvvvpxgvE",0,17.99,23,6,6,120,17.83,2
"1000k","h",100,23,100000,476986,"wHjagcJvtsqwEtzGvmLyxryoaFuopcuoLvrDoAFyEksetjkyItfoErAuBBBrEyyeBBBrErBButBEqKwuwkmBBkBfocBkyjBBxBkkkluGIyfjmBHzvxvggHex",6.0531,18.04,18,9,9,118,17.68,2
"1000k","h",200,26,100000,965706,"wFjagcAnLnEgcGExuKdJGKCyycuAuccDesEBdBtoxyAtBJJxojqdvFbnyEaBEBtnoEBBcvrBBFBBBsByBudBpByxqwaBBBBBBBxBBCEBvIBwDidzvvvhxgen",32.4622,17.87,31,10,10,117,17.73,2
"100k","h",200,30,100000,813471,"wzcagcouIycnsHoJlGtnlqJEkfCqJvmIczkddapfrBycevEElbwntcvmDBsoqKEvyuIdFKsGDjmErBBnBnBsByDbBuBBBBBpvBeKoBsBBBqvBmazvvvhxgab",49.1585,18.03,23,10,10,120,18.16,2
"100k","h",500,36,100000,1562078,"wDjagcuHsuzDGsEmJmHzurBLDmwkyLuILDEjvKIrlvwkdvyBusvomrKBqBoBjBtKBoExByBBytBjAuvBGdBBBswBjBBxvJxBBJeIBfuusBEBsydzvvvxxggg",59.8281,17.73,27,11,11,119,17.96,2
"100k","h",200,31,100000,904694,"wzcagcbLLalvcjpamocCiJvyuBfHEDxLycwFnDtAIrvyGuueuojqBIaqfcpEcnxzpsvxlKlElqEqBosBBwJucByBoBBLLBBylxezBEBBkABBBBzvvfcaxgab",0,18,21,11,11,118,17.97,2
"8k","h",100,30,100000,458843,"wrjagcmktkfvnmadmKrHwGByycurFBuBrybIfEjqmBIEBeokpmmJpEbAdttEyvJrfoavtrBdtvpBoBBkBytBJEBBBwKsIBsjBbBppBBqlJBCJeJzvvfgxgob",0,18.17,21,11,11,119,17.76,2
