genome,scf,scf_no_int_bio
geno,0.000000,0.000000
wzcagcoGkdEtyzBfbvoLwqhyycuyucKnvLxEufciatafbBobvjvoErBpurjByBBBDvEBBBEoqDxpBDaGFpyjdssryvuaByBBKJexDubyByaqdporvazaxgab,3.720000,0.000000
wzcagcqGAulsubIcHjGzBfByycuAoJaurBIFvBBnauyejIaveiBJoDmeqFeLyxntcIKbpBBFFdxEFaBBBbpmKvsbducByEBBpvBbBtnFyvpqBsBvvAvBxgab,4.000000,4.360000
wujagcznFvKcbtvGyroyttpmmkkLyIuGatDmvxJycIxtbjppmCdwJzafBcpAoiFxmFmztylzycucBrucKBBBBBBbvBBfbsBBBDeyvBBKLBBBEyuBvDcexgro,3.840000,0.020000
wzcagcyirLzJqGHzBupyBBBLycuopcuCxomakopFpsoftBFxkypyFbDtrtwyEspcABqGtfsrvBLdadBuBduBvBpKzBBBFvtBJvFBBnoeBuvBBemyvvvBDgab,4.000000,0.000000
wqjagcJltHvDCkvmzkyEnyryycALoduAatctauoedJcijIIjatlsixpjtBFDsBjIEKoGoGkaAunJJsjCifGtErJqdnazaAEaqwEprpuBrmbBoBBBvBzaxgwC,4.000000,4.000000
wojagcBqEEakqClkipxJvqwliCvzBxqLvBfyDvBqqecqxrGuucyEuEupcrBtnByupoBLbvxuLwdBkurBBBDBBDyBvBBBBBgncoeLgKkjccCBdiuwLepIrcxD,3.620000,0.000000
wajagcyhmtGjtkwvCEkzlulyycuIurKuoecmIEkacJJJyydDEEvavtvDbEnbeIdFrocxpuBrGkBBoBfnDBIlBBBvBtsKBKfBlBBBBsBdBxpdvdBbvBovxgfd,3.580000,0.000000
wojagcCGvvmGJicbHcbEKhcAEhbIeqvyrutryIutEFBctamsGscerpvBGBABBbBnbedByxBKxBwsBBDbBBEfKaBssBAAKjwBBpEBKBGjvAfpvzaovvxvHgme,4.000000,0.000000
wnjagceknwCzBFBJBdndverpycDuoEucAtvBBysDKEtbDuuKDrKJcEpbmsBBBuBLrBJKqyBoBBqBBBpAmBfgjuIcixKjbBxoeJvrcrEwdnLizBvvvlaDxgfG,3.580000,0.000000
wGjagcHDEuybruInyxucsrGwyupymjjsaqpwIEJctvtxIwJuHpJerluytoFcjzofExKgkhnAxpEJCEAnBdjHKlcEknkbpEvIprCHiJmnGLzBcGBcvBcxgIeK,3.980000,0.720000
wajagcbBJElzzuHaEdlzIzxyycuLyruLCBrDdBbfatFpBBnBoBavoBaytBvkpBaBaBavytoBDavngapnivHoglKlpIhpaCKbzqDygysoEeGzBGjkvFKCDBDz,4.000000,0.000000
wzcagcoGkdElyzBfbvwLwqhJycuyucKqvLxEufciatafbBobvjvoErBpurjByBBBDvEBBBEoqDxpBDaGFpkjdsBryvuaByBBpnexDubyByaqdporvazaxgab,3.710000,0.000000
wyjagcHvsCtdzrlEzurxBIfByLuKLxDicLIomyybapcuFuodwrlvprpnBuGrBBLyBBBpboBBBBBGBLqBvBBBDsfgzqltEmaBavxrEEAHkKyppkxzvHarxggt,3.910000,0.000000
wljagcFIycdsccKpcALDzAEGycujucFxyAvuBvadDuxryFejAeGBLwbutBqlpujmxuKkvBubdrvdytvBBBebfBBBfBIBpBoaBBBBdBBjLEFFvxBzbvvxkgkL,3.990000,0.000000
CwjagckuxfudCdfvJkzzpycyBdLqucEyEuJqKFcouvJLrwvdBsBbItBBBIyvmansBpouBkEyfKptvrxBoEyIwdGJAsdDobIoyvLCybxbHkbpcBdHvvkixgCG,3.770000,0.000000
wzcagcfcJjLrHGDaqaDqIwIzFGKsryoyculiikrAyesJAaywmsiorBFEmILxmDJBpvByIBBBxybfFuBBdpBvwxBwIwBvBbBBeseBoFoBBfJvyeuavvvvxgab,4.070000,0.000000
wnjagctptlzDLxFwauJFHlfIycAfbDmdtkDuaxyDeuquFcxfEmfLcJsoBmCJxrwxELnEKsuqehwuJcvpAjEoJlEbJfpEdECwDakawyqrpaDEowvzvBcyxgKF,3.970000,4.020000
