genome,scf,scf_no_int_bio
wAjagcwwGLLsrHaczytGJLryubukaoucoAyJdDxBffKCfpfoyyscpebynBomayBjsFklmppKhrAKlctcnBIABBkmBqKBBxoBqjoBeuGBIFBBBDDzvvvAxgkJ,10.620000,10.620000
wzcagcamzxBpfLJnlEjqEkDGyGttycdeDDuKvKvoeicBKHeIpBAidceoBaqrpLAIFBkuslfjayKktjjpxtEBooBvxBsejsaEBfbunrbGHtuIsEpzvBcxghab,10.140000,10.400000
wIjagcvrlDjnbJsaEivjLJjyycucEBtdLBLyIpIDABEEnmlnKDpJGGIukywanqmeBAmBBsjGjoHcwxrAFAmGkdctvDsEyvAsaqqGwsAypBuxujvzvBcxgrag,10.570000,10.220000
wujagcHxwJcqdImimKuJcjmyycuExaucvByBDJBdektptbBnBxkdLnppBswuceEyrwEJsJwLoIGrpFuqranBIpwdqsJEKrucClDjCDmcjLnExvtzvBcxgatG,10.400000,10.420000
wEjagcrIFhefdyBEmGjtpGfBpyycfuuvKxBEibrKxDuEAkdjrujFbofEyBsBGrapauBKnmbjHIKkccbKvqwGBAEvscfjimdGcqDiGawDGpKGkvczvBcxghaD,10.470000,10.210000
wzcagcvKuKLBeczawcCyKFlaycuopcuBavKqAboxrvBvwvaFswtplBBxrywcAjGDdBkywtLixrfybBFGwIwGvFsrAlBBBnBsBDjBdBkpnDurBBBzvyvvxgab,10.170000,10.160000
wajagcnrDAjsrtchbnJlkopEycGjLteEuxoasyyLvrJKjuLxvrnyrkavmscGsrfirarqqlzsbmyzIAaAojbvEsqhucoxEmzsctyCvpIuwbsmxkyzzBcvxgrJ,10.580000,0.000000
wzcagcIzBqEKeexqfrqDurErycubbrdExBpnjomjKmxjyKIFuBjcsbKcdBEGdfnaJmdrapbznkBIJElrlsjvudvzsyIfyjeemmjdplGiGrGtzhbzvBcxgCab,10.380000,10.150000
wpjagcAecBocxIjvuDyfHvAoGlowwEHkjyEpDeznyEzAnjAEycucdoyAueBDajwuorsnnBApbAuaulsKBGrwKolcfHbBKDjqAIfmfvoxilDcoeGzvBcxgwFD,10.440000,10.400000
wzcagcJEcoIucvlcACvvDqcqDkJwzBmbDEecuqnkatskflFdycucmakdyouuoEBlLruaBAJpxBuayyyeEduIatCzBcnHbqDqKbaBEsupJvnofyuDzBcvxgab,10.630000,10.290000
wBjagcGFxpnfBmvjysAqeynDxryxLtvmBAwDvibfyokzIlCsFrrjHDkfCsayjdqnLaarDawrkeBqciFGuszkdcjAwncaasnFnyJucsyusavmaaGzvBcxgKyo,10.610000,10.390000
wyjagciiaiEDGjCHaxrqxtHnyctrysByBuxBDJvLucLqBplDBEknJBqDuLfxraxpIDDEIplwBcAfsDrJBLooBuamAsodJjybcBoEeGluujBuxcCzvBcxgvqe,10.460000,10.090000
pwjagcyFohckEiJsoFitoptDDobpuwpfymBEfuonHpjuEfkGfoHnDrIBpakatdkAKmKnyEucnlqDBoywExumsaqerevzEqmipfpuDkzxjBadekpzvBcxgacE,10.110000,9.980000
wDjagckpwmpFwmEuyccektcmnyuqscJrcucfAntEczHdwoaBcLpbnyjGqiHflFebyKEoiKvEyEiDmckIloDpGdvmatxmvEBykKdCpkdlbGrEfCqzvBcxgraG,10.520000,10.340000
wIjagceszxjnHsDzhGxJrbyfycuwucfyxFDEvlsKDfBBldodEtpqkEoBdmLBLwjyGBryaDtclaucmpnGmIBtfkyyxBIoDEnBnBGrcrLHIabEebrzvBcxglji,10.620000,2.820000
ywjamxDKupfAEliikqfJubkbdrbJEkagcyueowrJAkbmyuDEuqrbawLuImnpKkdntaxecbBBcEkzcneHyJIbayLztjaydHnrslnoLjcBHwAxoKJzvBcxgKrn,10.150000,10.160000
wDjagckpBmpFwmEuyccektcmnyuqscJrcuczAnGEczHdwodBxLpbqyjGtiHflFebyKEoiKkEyEiDmskIlobpGdvmatxmHEBykKxKrkolbGrEfCKzvBcxgLaG,10.390000,10.110000
wojagcoHEeLpEkbHDypFzKCvjzyopcubrADomyujuoyfriGHCrrrDEJCKuEDkFDIrEcpaEnnuHqacjpIAeqpwCLIByicHpDjdblnbdjtxduqjBczvBcxgHvu,10.210000,10.150000
wGjagcJlivJffnycBbkJekuvfyuwfFucjoEoEcjDyayyfntdrsFpDDemLGsurABvBlatxBdbnFBBwwlBjnoxBBBoBBnpqJylyaBfLBBxBBFBzapzvvCvxgAk,10.420000,10.430000
wzcagcElepIuefnqAxeFzrHoyJryoIuBucwEFDGtbGADuBlprjvEtrIbatEAocaLerLAfxtsKiukaacEElvxaoavEpGJbraimAslCpainJtdFdfGzvBcxgab,10.460000,10.110000
wzcagcElepIuednqAieFzrHoyJryoIuBucwEFDGtbGADuBlprjvEtrIbatEAocaLtrLAfxtsKiutaacEElvxaoavEpGJvrarmAslCpainJtdFddGzvBcxgab,10.530000,10.110000
uwjagcekyvcdJqweIEnzDkmCvnfltDfzGIpiEujdBvDGcqirzEsuBrfctbcBDovDwjKKyDucAstGEBybBoumsadIJzxojkyhdBByvllueGDhbIzzvBcxgykH,10.580000,0.000000
wbjagcnHkCdetwwaotfEqyEDycufowvwmnxIojuEeuxvBjpIkIyGyDvjewswrGLxpxooEcJLAIqbrsEmucamqsFadyKvIzDqrczsiootBpDKqmlzvBcxgatp,10.190000,9.930000
wzcagcfeInfEmakaxsdyllycyDucpBusbqImuworovBIqmpsBGItymfpffarLanExmAqJaalbbrcurpibJCrxbrIojaCutBmfmvfqxvEdwbslEDkzBcvxgab,10.320000,10.120000
IwjagcEoyGparnJtcaJkslxbyuuopcABvxsAfkuoAwIoyErrEKFujciyEppadDbFmeiyIuIkEsvqqCvDdbxtElpyBAdvtcjajIGBcwCfHAkfeIuzvBcxgqbJ,10.540000,9.940000
wzjagcwewbHxejiGEqtccEufycujtdkAuIpmvmjBBmyLyoLzuEqBeBtacDDfBaqKvAsaDcjmalBndxfwedsmdwDIbqbEofJByKCKIfearfqAttizvBcxgiLe,10.340000,10.240000
wzcagcyjqJJrjzFuFfdLHjycxayeAuAuoBFFiqqGrlDGuaceavprDLualmyfImpsofrynijLKqGqpbmqlbHDqtCfJLzrpyeiJndDiuvJmAtjzvcqvBcoxgab,10.260000,6.000000
wajagcDsDJrjkbELEDniyybLycuopcuqIiscrEstobyKxywIdoEftcuKfydcAosckvwyDFqGJKCDFclADxpsKmAoBuaCAalcDDaEDmLkpkBvEiupzBcvxgLw,10.360000,10.210000
wzcagcAzclFAiutxbGpnizrDyceuDwuFoKhirljyFvuJLIeeucktDBnptqEBKyJmrrBFjAbGIfweoqFlByIusaruJDGLbacKAGDDtndznGbqrbnzvBcxgdab,10.190000,10.690000
wEjagclBqbvpeLACapxEaGGkAInyovnacHHcvuseuGAtduGAjfqIHAqkaDEwAilywosrxFJfBtnrsBkyBcxxEubuBorbEBpurAABBBmvBsorckmzvBcxgFBu,10.450000,10.130000
awjaxfgccAELtobharryshDcucurDqLqkajlnBdAGaBsvLrrApEjyudBvaooruIavBwqoHHlmHHpcalnEucBmwxxJvBclLDlBBEBqGfLBsadBruCzvBcxgLL,10.420000,10.200000
wCjagcyCawbddEEpteiczyodtcjqnjAyAuEuasmraaisBdcEmxAIyvwnInixCfcDvBJliGJicBwlpxzJfrxJzhBvnkywFudyodjaiydLLqEDokfzvBcxgwFA,10.500000,10.230000
wljagcxcqbxzAlfnpJzfpHoaycIBsaAuoDctccnEslExtywLcAfIAmpukoyuwLhsaBomcKysvGAodrBJbsBIBdBoFBmBEGpIBBCFJABBoqBfgvkzvxvgiFkr,10.200000,0.000000
BwjagcEwyJqcrnLtcGpnBqsLyuuopcAoxElfAkuoIyiytFmBJBHuqcCvAGpaicEqBBdIJamcEEDuqaKCsiCIoIyfsczadqssDKIBxiunzwvusuizvBcxgjfv,10.110000,9.670000
wHjagcewEEbwKprtjbJssInyyccoKfudurvlktfKDBBcrrBpntaEJvnqnABcwyrHIAEqBsncodnzJEfpIxrCAIJjpimDbGuwiAmCtFKgzxiLGBkrzvBcxgtK,10.340000,10.220000
wzcagcJEzaIuKoEhKlbzDjzkmDJeakJbvEJnukuwFvhauGxbycucbfDGyDFuoEeyarktdcApIBuanjaIKKurKJolGtlwjpnGmtEBEtfxecDoqIobzBcvxgab,10.410000,10.420000
qwjabxgcnCaqploFmeeybexqucursdfwabdEEajIFqKJmbGakdtoyurFDcEhburbfErcDzIjtfijcpbmEbcaJBuJpjdElpfucHEtfKxdaBceKxmkzvBcxgvq,10.290000,10.290000
FwjaqfnFugckmkxltAfsxcCJfGyFycfyaBucuBrubBfoxyyjFeFAIKuDDyaytxGyrbjItorBmIjDItutxbJBwsrravecoJtcyDIqIxCBzHBpiJozvBcxgrie,10.110000,9.990000
wzcagcHvbzFvshLhlLmnwchcBcdJiucAkrlLjeGeByrruqwIryuBBrdBBDbjmEBpBdxdwonEBftaEBrsJDEHiLAEyfqDIImdEpqybDnFcuBGlCmzvBcxglab,10.580000,2.560000
wjafgcpcGaxwAxIyJiiJIFBzKwhHjCizqJyCtyGlafComakzlmpsyFjptyyAFhJccDsGknllBbAAGpbqjtunwvpCncdbkbklfyFucAyusajmauyzvBcxgrvH,10.310000,11.020000
wojagcGjLqfqwKpmmJtzqftxDEjkwkqycfuDabEaJGEtchbeFGpayubGfEEujooduCEDjtxjwExzFjFpoFiopsarpAucDBDaDIyrctCwJowbmvxzxvBcgFHe,10.170000,10.170000
wBjagciLjrfqulpoxrrzItJyycqoLBuyauElcvafoyctrAlDmbnDmHaayEwlppvbodLbafwruBuclvcrEefraCnpwyxDnmrvyLLsHLxEbDkcCozvxBcgLueF,10.510000,10.200000
rwjagcAjIFofECJDurtLlmosjlboDsjGqdtDIzoCbycBEadbfAHnerFbIDnJodkkbmtnyEucnxovaoyjEJumsabdrbGAGcrlpypwofElABaovEpzvBcxgrAw,10.430000,9.890000
wGjagcAhttiGpwHlCEIKEuBaDzGnvacycdxwvDjDAKctcouGskLJyuoqcopuJobrbuLGlaaBpEoJeovjAJGbcbfEBLucKpGBBFarcHwkirmEdLszxvBcgyqB,10.370000,9.950000
wGjagcqhGtuGCpClsEIyEBBtwzGnvsqycdqwvDqDfKwtcoGJsnlqyuoqaopuJobrblLGlmlupEsJeevpDJBbcLfEBLuckpGBnFarcHBqurwEjLszxvBcgyqp,10.390000,10.150000
wzcagcwiAEyJAzcujadbcDywGoycEuujwILCiwrbxpuBJAfEouoyevwFuEfdjHbpaABbsIjuwrIkauGnDssubjHfmutBvsJDuDCmrpqdcrHurnEzvBcxgBab,10.150000,9.940000
wmjagcuwknwbuDswfyctJosyrBuupcurGAjBBywrmbfBwDjdkGIuwbJbEtBLfjIiwxfjmfBdatlomaEIjqBbKLqfxvEaeGkneAEBDsaKDtnoFpvzvvBcxgAf,10.500000,0.000000
wsjagcmFvBtlAydryJuIwwIyoaoubaxmcKBsaxBoJHJlqIEElGEwJHdKcaauLuiELGiuAmrJkvKdbppcnImiIEjicnADjbHyeHcDwjrwdnvLKAlmzBcvxgej,10.450000,10.150000
