genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"wajagcbBJElzzuHHEllzIzxyycuLCruLCBrDdBbfatFpBBnBaBavoBayBBvkpBaBaBavytoBDavngapnivioglKqpwrpmCKbzqDygysoEeGzBEjkvFKCDgDz",76.000000,0,30,0,209,261,0,0,0,0
"wzcagcKkzKBuaxyzBBDvItvBvoFoByByculmIsrxyFEqGKyxmsAorBBABlBKupBrBBucpBBtBbBfFBJezvBKgpxyAFAxKbcLBvBlBFkBIyBvBDwDfLvBmgab",113.000000,0,0,0,0,0,0,0,133,361
"lwjagcqJyiDkbtsvLfzdppcyBdcBucEyEuLtcKJoxvBarbvmBsBxBBBnBIyvdbEBBpAoBBEyDKptvroJKEydKBJLosJBobIoyvHayebKrbKpcBuBvvwpxgkr",114.000000,13,0,0,208,0,0,0,0,0
"wzcafkgcmlJiccavHlEzJtzyycuburuwoxItsEqDBxejyyGqbEvEvtvBAEnebcenrlsBpuerevBkBBFBBDBBBByvBBsBBBpABqBkaIBIBfBsvBnavBDvbgab",114.000000,0,17,0,34,17,0,0,0,388
"wzcagcIlktEeeGuzJqpvuBByycuAuvKrxvbvErpBbJBBnBIeBJxlBBpBfypEnurByBBBBuBbtBdcBmBBDInpcCgoaqsuDKLyEuIadFKKqyHpqlqHxhhjhjab",83.000000,0,0,0,236,0,290,0,0,0
"wzcagcBycJsbcLzBBsBpBByyycuopcubdrvyeaEmtBbyttBrbqysBarysBtBBBfkBBBBBBBoBBeguaIxJzzCcqIqpuqEJEHfaFciIeGaJAakzppavvxgDoab",114.000000,0,26,78,0,0,0,0,514,0
"wujagcaFjIffsoolqnucDJqyycaBEJucdfdEEuoeEEBlvqnJvdcnBdontoDrfedioJLioJookaflCEuGwtzsljCqGCizakEIqIKprpubrBaBBBbBvfcaxgab",117.000000,0,297,295,0,0,0,0,0,0
"wzcagclJzKcfCoaJzyEdaqBvycuecDoyEeesKtsLDLamBJByGrAtLEErpBJeatdaBdfBoDvtrBeuLtcBBBBBBBBBfJDBBBJAGsavppvnoIvBHarovvvcxgab",117.000000,0,15,0,0,0,0,0,0,0
"wwjagcbGHzHqCCzbErfFbBoyyjtJAjyIEJpymjGuapKcoccjCaLwfyJJEDrzhBydmhHHafpeGJuAJpfyrHqGzCALEqsIBDcJEmnafkavzsbmyuervKnBxgEz",116.000000,157,0,0,0,0,0,78,0,0
"wzcagcrGuzEvGzxxtyvKJcwDycuvuckayBwKjBmvlGouEeatvmvDaIJfbKeobEybbrtcpBBqBFnBBBEfBBxBBBBbDwBEBJBBfnpfBBbJBBBBsdovvgmuknab",111.000000,0,17,0,34,0,0,388,0,0
"FwjagcmpbtpuALBIizzyBBryucuopcoyBAxspdBucIyqBevLmAvBsBrfbIqLzbBByBBtBfgxAtKbupvjqHxIixunlbcDuCwxejcDDmFAarAvpatzvfcaxgab",115.000000,0,0,0,54,141,72,0,0,0
