"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"10k","h",200,1,100000,246285,"wzcagcoGkdEtyzBfbvoLwqhyycuyucKnvLxEufciatafbBobvjvoErBpurjByBBBDvEBBBEoqDxpBDaGFpyjdssryvuaByBBKJexDubyByaqdporvazaxgab",20.0623,3.72,19,11,11,120,3.27,0
"8k","h",500,42,100000,813319,"wzcagcqGAulsubIcHjGzBfByycuAoJaurBIFvBBnauyejIaveiBJoDmeqFeLyxntcIKbpBBFFdxEFaBBBbpmKvsbducByEBBpvBbBtnFyvpqBsBvvAvBxgab",36.9343,4,20,10,10,117,4,0
"1000k","h",200,34,100000,236313,"wujagcznFvKcbtvGyroyttpmmkkLyIuGatDmvxJycIxtbjppmCdwJzafBcpAoiFxmFmztylzycucBrucKBBBBBBbvBBfbsBBBDeyvBBKLBBBEyuBvDcexgro",0,3.84,23,10,10,119,3.96,0
"10k","h",200,24,100000,399358,"wzcagcyirLzJqGHzBupyBBBLycuopcuCxomakopFpsoftBFxkypyFbDtrtwyEspcABqGtfsrvBLdadBuBduBvBpKzBBBFvtBJvFBBnoeBuvBBemyvvvBDgab",0.079918,4,24,11,11,119,4.01,0
"10k","h",500,18,100000,1231287,"wqjagcJltHvDCkvmzkyEnyryycALoduAatctauoedJcijIIjatlsixpjtBFDsBjIEKoGoGkaAunJJsjCifGtErJqdnazaAEaqwEprpuBrmbBoBBBvBzaxgwC",0,4,13,7,7,116,4,0
"100k","h",200,15,100000,725105,"wojagcBqEEakqClkipxJvqwliCvzBxqLvBfyDvBqqecqxrGuucyEuEupcrBtnByupoBLbvxuLwdBkurBBBDBBDyBvBBBBBgncoeLgKkjccCBdiuwLepIrcxD",0,3.62,27,12,12,120,4,0
"100k","h",500,1,100000,1059852,"wajagcyhmtGjtkwvCEkzlulyycuIurKuoecmIEkacJJJyydDEEvavtvDbEnbeIdFrocxpuBrGkBBoBfnDBIlBBBvBtsKBKfBlBBBBsBdBxpdvdBbvBovxgfd",0,3.58,23,14,14,120,3.89,0
"1000k","h",200,38,100000,723598,"wojagcCGvvmGJicbHcbEKhcAEhbIeqvyrutryIutEFBctamsGscerpvBGBABBbBnbedByxBKxBwsBBDbBBEfKaBssBAAKjwBBpEBKBGjvAfpvzaovvxvHgme",0,4,21,12,12,115,3.96,0
"10k","h",500,0,100000,900292,"wnjagceknwCzBFBJBdndverpycDuoEucAtvBBysDKEtbDuuKDrKJcEpbmsBBBuBLrBJKqyBoBBqBBBpAmBfgjuIcixKjbBxoeJvrcrEwdnLizBvvvlaDxgfG",37.7829,3.58,25,15,15,118,4,0
"100k","h",500,45,100000,1259220,"wGjagcHDEuybruInyxucsrGwyupymjjsaqpwIEJctvtxIwJuHpJerluytoFcjzofExKgkhnAxpEJCEAnBdjHKlcEknkbpEvIprCHiJmnGLzBcGBcvBcxgIeK",0,3.98,7,8,8,118,2.62,0
"100k","h",500,35,100000,817964,"wajagcbBJElzzuHaEdlzIzxyycuLyruLCBrDdBbfatFpBBnBoBavoBaytBvkpBaBaBavytoBDavngapnivHoglKlpIhpaCKbzqDygysoEeGzBGjkvFKCDBDz",0,4,23,9,9,120,3.25,0
"10k","h",200,1,100000,246285,"wzcagcoGkdElyzBfbvwLwqhJycuyucKqvLxEufciatafbBobvjvoErBpurjByBBBDvEBBBEoqDxpBDaGFpkjdsBryvuaByBBpnexDubyByaqdporvazaxgab",22.8818,3.71,20,10,10,120,3.64,0
"1000k","h",200,9,100000,470186,"wyjagcHvsCtdzrlEzurxBIfByLuKLxDicLIomyybapcuFuodwrlvprpnBuGrBBLyBBBpboBBBBBGBLqBvBBBDsfgzqltEmaBavxrEEAHkKyppkxzvHarxggt",0,3.91,22,11,11,119,3.5,0
"1000k","h",100,5,100000,331178,"wljagcFIycdsccKpcALDzAEGycujucFxyAvuBvadDuxryFejAeGBLwbutBqlpujmxuKkvBubdrvdytvBBBebfBBBfBIBpBoaBBBBdBBjLEFFvxBzbvvxkgkL",0,3.99,22,16,16,116,3.97,0
"8k","h",100,25,100000,218018,"CwjagckuxfudCdfvJkzzpycyBdLqucEyEuJqKFcouvJLrwvdBsBbItBBBIyvmansBpouBkEyfKptvrxBoEyIwdGJAsdDobIoyvLCybxbHkbpcBdHvvkixgCG",0,3.77,15,15,15,119,3.4,0
"10k","h",500,16,100000,1373610,"wzcagcfcJjLrHGDaqaDqIwIzFGKsryoyculiikrAyesJAaywmsiorBFEmILxmDJBpvByIBBBxybfFuBBdpBvwxBwIwBvBbBBeseBoFoBBfJvyeuavvvvxgab",28.2057,4.07,20,11,11,118,4,0
"8k","h",500,26,100000,1373193,"wnjagctptlzDLxFwauJFHlfIycAfbDmdtkDuaxyDeuquFcxfEmfLcJsoBmCJxrwxELnEKsuqehwuJcvpAjEoJlEbJfpEdECwDakawyqrpaDEowvzvBcyxgKF",13.8921,3.97,10,14,14,118,0.06,0
"1000k","h",500,4,100000,485749,"wGjagcbwBAEbzGGHCkumsjzBycuJucFBcpBcBDBvKnBcBvsFxuaBBBucyBBBEgymjFkedqAJbikxDgeoAJJuejjccIuAADAooJsjolreqynFConcEcgotBoh",87.4877,3.52,20,6,6,114,2.05,0
"100k","h",500,42,100000,1005547,"wrjagcCjLqikIHFqwjDzBIjvjlzLzBGycrAebkycKABxwFvuucxKnsaBymfDBFynvEtKcBadrbByBBBBBBxBeKJFBqvBdAFxJBBBEdbBepnuDfvBKrvGBgvb",131.29,4,26,15,15,117,4,0
"8k","h",100,38,100000,256910,"wzjagcAnHAxuHIAlzbsEBEyJyhHopcGucyAuaBKBvmwosucBcyBDvlByBBJuLvBBKivBvkBBFpvJBfdqjELBBBBeBwjBmGEKCLqBKensKGqrcDEtvvzaxgEs",0,4,24,12,12,116,4,0
"100k","h",500,19,100000,453016,"wzcagcjAEaKldptmatGzEdcybuuopcucBocBLxvBBxyBybdeqJqpDBBBEBwBByvBnsBBBBBKlBvBvBnxBIBvlpLCBtBBKBFfKspovBwGBEwIBndAvfcspgab",0,3.93,31,13,13,118,3.93,0
"8k","h",200,22,100000,263085,"wojagcEriFLisqExtqfDfHqyyukjkHylrczywdEpAvosmFnEmBubDyjJsEmBreyGJlCJaBjEDxbdzpzyifrjbaDxkBlDAdArzkfwwfcGzsbmyuervKzBxgIg",31.7058,4,11,12,12,117,4.01,0
"10k","h",100,48,100000,270429,"wzcagcJiurjiEsjocbAntFEonIvHsHqHqHHHubkCtALslBDjaGKkroKJvzIcicwKbGvAvjEolrGlCkazpcDAkdjzrpanuoBBycEBcbvyvuuBcHcLyfcwxgab",48.1079,4.02,9,7,7,116,4.05,0
"100k","h",500,44,100000,496891,"wcjagcipxfHEjEyLKzktGiDctnpeecoCxtEBklcLmJjlbycnqipFxoIKbnlAirvrbbrlDvfcBGzzBrKKvfycLcubmfxFsbpcrBsByBpBqvBBBnubvBBdFgap",28.3707,3.84,15,14,14,119,3.44,0
"100k","h",500,35,100000,817964,"wajagcbBJElzzuHHEllzIzxyycuLCruLCBrDdBbfatFpBBnBaBavoBayBBvkpBaBaBavytoBDavngapnivioglKqpwrpmCKbzqDygysoEeGzBEjkvFKCDgDz",0,4,24,8,8,120,3.22,0
"100k","h",100,16,100000,6,"wzcagcKkzKBuaxyzBBDvItvBvoFoByByculmIsrxyFEqGKyxmsAorBBABlBKupBrBBucpBBtBbBfFBJezvBKgpxyAFAxKbcLBvBlBFkBIyBvBDwDfLvBmgab",40.7923,3.77,29,11,11,116,4,0
"8k","h",100,25,100000,218018,"lwjagcqJyiDkbtsvLfzdppcyBdcBucEyEuLtcKJoxvBarbvmBsBxBBBnBIyvdbEBBpAoBBEyDKptvroJKEydKBJLosJBobIoyvHayebKrbKpcBuBvvwpxgkr",0,4.02,19,15,15,119,3.98,0
"100k","h",500,1,100000,1059852,"wzcafkgcmlJiccavHlEzJtzyycuburuwoxItsEqDBxejyyGqbEvEvtvBAEnebcenrlsBpuerevBkBBFBBDBBBByvBBsBBBpABqBkaIBIBfBsvBnavBDvbgab",253.888,3.93,27,7,7,118,3.96,0
"8k","h",100,0,100000,230881,"wzcagcIlktEeeGuzJqpvuBByycuAuvKrxvbvErpBbJBBnBIeBJxlBBpBfypEnurByBBBBuBbtBdcBmBBDInpcCgoaqsuDKLyEuIadFKKqyHpqlqHxhhjhjab",0,3.57,23,11,11,119,4,0
"1000k","h",500,22,100000,1071938,"wzcagcBycJsbcLzBBsBpBByyycuopcubdrvyeaEmtBbyttBrbqysBarysBtBBBfkBBBBBBBoBBeguaIxJzzCcqIqpuqEJEHfaFciIeGaJAakzppavvxgDoab",285.332,3.62,24,7,7,119,4,0
"10k","h",500,18,100000,1231287,"wujagcaFjIffsoolqnucDJqyycaBEJucdfdEEuoeEEBlvqnJvdcnBdontoDrfedioJLioJookaflCEuGwtzsljCqGCizakEIqIKprpubrBaBBBbBvfcaxgab",22.2285,3.75,13,15,15,120,2.55,0
"8k","h",500,38,100000,1485489,"wzcagclJzKcfCoaJzyEdaqBvycuecDoyEeesKtsLDLamBJByGrAtLEErpBJeatdaBdfBoDvtrBeuLtcBBBBBBBBBfJDBBBJAGsavppvnoIvBHarovvvcxgab",0,4,25,17,17,118,4,0
"8k","h",200,22,100000,263085,"wwjagcbGHzHqCCzbErfFbBoyyjtJAjyIEJpymjGuapKcoccjCaLwfyJJEDrzhBydmhHHafpeGJuAJpfyrHqGzCALEqsIBDcJEmnafkavzsbmyuervKnBxgEz",0,4,10,12,12,117,4,0
"100k","h",200,40,100000,387708,"wzcagcrGuzEvGzxxtyvKJcwDycuvuckayBwKjBmvlGouEeatvmvDaIJfbKeobEybbrtcpBBqBFnBBBEfBBxBBBBbDwBEBJBBfnpfBBbJBBBBsdovvgmuknab",175.515,4.05,27,10,10,120,3.41,0
"10k","h",200,15,100000,537407,"FwjagcmpbtpuALBIizzyBBryucuopcoyBAxspdBucIyqBevLmAvBsBrfbIqLzbBByBBtBfgxAtKbupvjqHxIixunlbcDuCwxejcDDmFAarAvpatzvfcaxgab",31.9672,3.91,17,10,10,114,3.98,0
"10k","h",500,44,100000,538760,"wxjagcfdavotAGipEIHozwJyIcuoucBpBuEBcxymbbBqKEBctButBLxBvffpmaBGvJdntraByBpJbJspfufyfvursBvIkblpBBBBbBBscKvBIABwvtBBBgHJ",8.31992,4,23,11,11,118,4,0
"10k","h",500,2,100000,705172,"wGjagchchDDyqcEooDHwHuuADLdKIdmEbxwHrtyLoyeIeIfdfduHmmjCxEJwjwBtAGwbipGLJrdAoakBpDfrcmymoyuEjluBbpKktzBBcBpBrcBuuavwxgzw",15.6975,3.66,14,15,15,117,4,0
"100k","h",500,44,100000,496891,"wcjapcromKFcrgcEqyebauJcpzmjwfHswoEaduciyAanbGlbjwcqwcrDitGbtDvckbrubvGkmHbzeryBvfycsyuBmcxFsbAorlpByBpABvBmnnuBvBBBFggJ",143.043,3.53,12,6,6,117,3.95,0
"8k","h",500,8,100000,523490,"wzcagcJrymmtDzuBlezBxfyAycufKeywucBIBvfEFBnxxvpbntcvBvbxdapBBBpeJsJaykLCaBsyDkmlayBBBfDramwBvBfBBggmhJFjwdlmkAElmwjjsdab",10.318,3.74,21,13,13,118,4,0
"100k","h",500,1,100000,1059852,"wzcafkgcmlJiccavHlEzJtzyycuburuGoxItsEqDBxejyyGcbEvEvtvBAEnebcenrlsBpuerevBkBBFBBDLwBByvBBsBBBpABqBkaIBIwfBsvBnavBDvbgab",11.8381,3.96,24,8,8,118,3.97,0
"8k","h",500,39,100000,1123938,"wzcagcqCKxGzdrmlzsKzvxuyycuJvEfsmDIvvvecKfcxLdrteoBrryyEsqrbqeBulBbBIpoBLpfxprBEqBBbtcukaBbyDoBBEBwBBBBeAtGkBLeBvvBeKgab",32.7085,4.03,22,18,18,119,3.72,0
"10k","h",200,8,100000,459816,"wzcagcxKqrtpyIitLobCDcByycueucJybeiByKoKmwdcJaufsmGuoBBDvtarkyaBBpBBEjEwBafBBBvBBBBwjiuBAenwvvBBBBlEmobeHkBrBazvvjzaxgab",44.042,3.62,26,11,11,119,4,0
"1000k","h",200,34,100000,236313,"wujagcziFvwcytvGyroyttpmmkkLyIuGntmmvxtyczxcqDppmadwJzflBfrAolFxmFmztylzycucBrucBBBBBBBbvBBfbsBBBaeyvBBKLBBBEyuBvDcexgro",226.853,3.86,22,9,9,119,3.99,0
"8k","h",200,47,100000,292378,"wzcagcBvzuByrILcubvuqrqAuBbklraBBDcBBkIBDvfdBDuBkBEuvAoBnEByflBqmBFBBbAFwomlfBbBExbvIwclavvBnBBBBkoByeeGfgDDcluovcHcmgab",0,4,30,8,8,117,4,0
"100k","h",500,7,100000,795334,"wtzagcuqdqEKBywKuqFDcrxxBaGkyumxJGEnIKGKvuotmxEzssJcfwahtsLEKFHlxJCHDnEHfdICrBmjxIBItydtfxBrAHzBrwxvBBypogLoucvfxetwCwJb",0.07484,4,13,15,15,119,4,0
"8k","h",500,8,100000,523490,"wbjagcxdfBjvpqHIvrJqnrzyBuuofBByLeprvJDBBmepbvpEuucvJpBudDsBbBLBFBuxBBEDFBvwqKIBFBoyJqwGmqtBwGBlbIfvEbkbltsxBpegvgnhmkih",0,3.51,22,11,11,120,4,0
"1000k","h",500,18,100000,553680,"wzcagcbBbaLLuqsqtGHCozpycaFlEsyfEnuvnnuqCxBoJqniAEyHrfuJrAGEwflkdIFBBDEtcmtBKpxzvyfDfBdcueEucyBBByBBBuBBrfgubvfzvfglxgab",161.354,3.87,18,14,14,118,4,0
"1000k","h",500,4,100000,485749,"wAjagcGxJoEJqyaioDzuDlzBycubucFBcpBBBcBvKmBcBvsFxuaBBBucyBBBEgFmBjBGytGLGDGHxgenfJcgrsCGvtevmjGeadEcIhsvaLvILnDKEzrBtBrb",94.4505,3.53,23,10,10,119,3.73,0
"10k","h",500,18,100000,1231287,"wyjagcBltcvICkkmzkyEnxryycALEauAaLktaLoeduEEAIIkatJsixpotBFDsBwIDKoGowuaCuAJJcjCifGtDrLqdwazaAEaqGEprpuBrxbBBBBBvBraxgaC",0,4,17,9,9,115,4,0
"8k","h",500,38,100000,1485489,"wzcagclxzxcfCcHJCyEdafBvycuucDoyElGBKtsLkIfmBJbyGrAtGEirpBJfaEJaBdBBBqvtrBeuBtcBBABBBBBIBpDBBEJGGmxvKpvsKCvBudfovvvIDgab",0,3.93,27,13,13,118,3.46,0
"8k","h",500,38,100000,1485489,"wzcagclJzxcwCiHzzyEdafBvycuucDoyElGsKtsLkIaLBJByGrAtLEirpBJfaIKaBdBBBavtrBeuBtcBBBybiIBBBpDBBEJuGmxvIpvyKCvBpdfovvvsxgab",0,4,23,13,13,119,4,0
"100k","h",500,44,100000,496891,"wzcagcAwunqjamcEumsvknqcxJsnicfieClbdoCKDnEcclywitaykniLusqAyKbEfllJavAiHAczBryBvfycLtubtbxFsuKorBpBybpBBvBIsKucvBBBBgab",124.407,3.61,14,11,11,116,3.36,0
"8k","h",200,20,100000,268795,"wzjagcBtisjqlCfEjEdlkEApjIvGfjLaxxADqxucqyGbucywBBuuaulqiiExwjdmnqIrwytmHfkJBkbyvazBBDBoaBcqJBBucKmyymbqlpDvBucyvsBbxgzo",61.4323,3.85,16,7,7,118,4,0
"1000k","h",500,16,100000,1092744,"wJjagcvErquhDnfsIzBBnslCBpBInJKevvuxysncEBeLrtrGJKnEqdaeqqyIELdLInmyuuclpuurlbDBBvvJBBfgdLpHErCIzqaobvFJqntDznkzvJwsxgxi",91.6681,3.65,14,14,14,120,4,0
