genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"geno",4.000000,0,0,0,0,0,0,0,0,0
"wpjagcJolbhmLAianLoloEHnyctrqmByEuEqpaxburnaftGyyBDLvGABkxArramLLLndkfGAowmxBaIIkAopblGrDDsLmspbxpEuJxslHtonklbzvBcxgtap",116.000000,1,0,0,0,121,0,0,0,0
"wBjagcBBbjBBBBnlewddBByBycuAucoyIaBvbnsKblEkFyuBjcuBddrByflBBmaEBapBKqurmfgkIsIbxxBcBppLIocknjeByjozdwxJIsDHCzvAvfcaxgab",115.000000,0,4,0,16,16,0,0,0,34
"wIzagcAxsKscACGnyDCqeefyycuEuvcsojCEnpryqoxynjeEEJfBtassjGxjfdzdadxzJyDypiDFAuovajsAuxyAIHzEutEupyxjqpJjzrGuGjzAzvBcxgzb",115.000000,0,0,0,0,0,118,0,0,0
"wBjagcIHcqixIbxAkJAlxBcyycuBJourubBmtyEvmkGkuyretcEsayllBwDGlBLAekKoauAEFplDxmsABttcBvdvakbtawluexyEirEHuGxIjcmzvBcxgapE",117.000000,0,0,0,2,0,0,3,0,117
"wBjagcvFhuFqoAvDIsGIlkjyycucxwbDDuvaojBeqeGqewGGxrpjGuaeyxrAysblnzuBhiuFuwelDCtCzicIakJGncuGLiBKKBcoFItenbGDxjpzvBcxgwEz",115.000000,0,1,0,1,0,118,0,0,0
"wBjagcfLEmsjGkJhJKkCoJLyycuoqwurmvmvccEatjEBqktxkBdaBFKyyobJvbBxDBBBssBjaAGsyvEqrtEerBBBFqqBwBBvBABBcEvBBsEyBGBzvvIvxgFv",116.000000,0,0,0,9,0,0,12,0,0
"wnjagcBJjBBsBdyDIBkBBfyBycuoucoyBAGvJBdcapKCkyuDaBuGjirBsuBBwmaElDpBqDurBfgkKHBBIBtGtBeJudkKuHnzCeKemsKmaadBbzvHvfcaxgab",112.000000,0,4,0,12,16,0,0,0,35
"wAjagcmacruduzpcFpnBLhKyycuGjFmscwoFtFeonjvGnkbBtmkDkoxGyaKpuaapflfBwcaFGAmGmtKsysrepvcqaxnuficexrbErcbndczbnlyzvBcxgLBD",114.000000,0,0,0,118,0,0,0,0,0
"BkJatnrfyemwHCHjacmsbmsyycuqcBeGmLegcsetxEsrBegdjEsaEjmjpfJGDykbFbjlLyfEaceeqEIsrwBpfpsfrbeBqbavravIJafqonsifsqzvBcxgajH",115.000000,0,0,0,0,119,1,0,0,0
