genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"geno",4.000000,0,0,0,0,0,0,0,0,0
"wajagcbyDfFqEDkBsmCrcGEoyyctqyuuorBnFDDyDylpsJyfBtkanuDGaDmwfbAEsEarBBfBBBBunBBBkBvJqfBBoBvBBBBDbEqBuKjBBBDvkBdzvvFvxgnq",116.000000,0,0,0,2,0,0,22,0,0
"wzcagcHCAwegcjCBBdqJvzryycuwrBuEIBFEIKxbijrvjvBGboByBBBopEvpumluuAvpfqEBbcDqlnbucBByBBsxBBxevBBbyBmyDBrkEvbHxozvvfcaxgab",115.000000,0,2,0,6,1,10,0,0,0
"IwjagclblvbuEkCbDbrrwCoyycurEEucvxdsCejpsKmGJoLqtcGGqJaqryEHaLeLayntcwBBxcceABkBwBBBxBBBjdeqBdBpBBlKJLBppBvvBBrDvzvxvgmd",115.000000,0,0,0,0,18,0,0,0,0
"zwjagcotoExkIDdxoHtoGHfEycyuomDyajsIucytyBEJuxxjucnGLtDttKnKbxpErqqBJBJGmjwBjnucBjsvBBBuBBGvIvBBbfxBBBtBBmuBBBGzvvvpxgvE",115.000000,0,3,0,1,0,1,0,0,16
"wHjagcJvtsqwEtzGvmLyxryoaFuopcuoLvrDoAFyEksetjkyItfoErAuBBBrEyyeBBBrErBButBEqKwuwkmBBkBfocBkyjBBxBkkkluGIyfjmBHzvxvggHex",114.000000,0,1,0,0,0,4,0,0,0
"wFjagcAnLnEgcGExuKdJGKCyycuAuccDesEBdBtoxyAtBJJxojqdvFbnyEaBEBtnoEBBcvrBBFBBBsByBudBpByxqwaBBBBBBBxBBCEBvIBwDidzvvvhxgen",115.000000,0,0,0,6,21,0,0,0,0
"wzcagcouIycnsHoJlGtnlqJEkfCqJvmIczkddapfrBycevEElbwntcvmDBsoqKEvyuIdFKsGDjmErBBnBnBsByDbBuBBBBBpvBeKoBsBBBqvBmazvvvhxgab",116.000000,2,0,0,0,0,0,17,0,0
"wDjagcuHsuzDGsEmJmHzurBLDmwkyLuILDEjvKIrlvwkdvyBusvomrKBqBoBjBtKBoExByBBytBjAuvBGdBBBswBjBBxvJxBBJeIBfuusBEBsydzvvvxxggg",116.000000,1,0,0,0,0,1,21,0,0
"wzcagcbLLalvcjpamocCiJvyuBfHEDxLycwFnDtAIrvyGuueuojqBIaqfcpEcnxzpsvxlKlElqEqBosBBwJucByBoBBLLBBylxezBEBBkABBBBzvvfcaxgab",114.000000,0,0,0,0,0,0,0,0,0
"wrjagcmktkfvnmadmKrHwGByycurFBuBrybIfEjqmBIEBeokpmmJpEbAdttEyvJrfoavtrBdtvpBoBBkBytBJEBBBwKsIBsjBbBppBBqlJBCJeJzvvfgxgob",114.000000,0,3,0,2,0,0,15,0,0
"wzjagcfolIbfJhctvApDyryorjuoccbylfKgwwyufAbBcovyEKkfmrncuntptxrBEEAfpuxBBovnBBwvBjvuBuBwBfuBjByEBBkwwkDwooxmnvzvvxggIcCu",113.000000,0,2,0,0,0,0,0,0,0
"wljagcdHElHyLwnuszLrnfCyycularurFvnvbbEFGlEolxKqfeKIBpEDyudxvDBoABkfBtmtsKasyvcjrtEDrBBBBDcBBBBvpBBBnyvBBGEBKBmzvvJvxgtI",115.000000,0,0,0,4,0,0,15,0,0
"wujagcxJypqEaBBKmEnocpbrjrIyycuuKDruoLbGwDnkumdyByEBBtnEbwJrvujjtdmrBrBpquirdaJBBwBBeBdBKfBfaABbyvBBIaBBkBBBBBBzvvxgnFhA",111.000000,0,0,0,3,1,0,0,0,17
"wzcagcfubfmEDdvzkhzsnxhycyuopcucemkoEBGuAKdebmEqyEDytvtGucelycsccBdBBlpBBBKqnBqBAftdBJdtIwerLhxcBdjyvBqBBBqBABBzvvvBxgab",114.000000,0,0,1,0,0,0,0,10,0
"wcjagcDnhIalhDwsdmkrcfioeycqDyuuorBJckLytyApAsyjdtkanuDnaGmwfclEsEarBBBBBBBnaBBByBvlLfBBdBvBBBBBbEpBnKvBBBBvBkyzvvFvxgAq",116.000000,0,0,0,2,0,0,25,0,0
"wCjagctEcqHIdvxqpeJvErIuycucyuoBxrrmsEqrBvbDfGIKGmdmBKpeeEJlBBmmJDBBJBDwtoBnxBdBlIDcsBkxIGamEcBFBKruxbexvDpcwukzvvaxvgBF",120.000000,0,0,0,0,0,0,0,0,0
"wzcagcKtbzAyEnvJjAxyIGAtswIeGoahrfdcfndtIryBuquIaEdcILHBrGIBpesBEurBoBbAEBBBejBvKBBydDtwbxkJnsfBJqBBBJattouBqdIzvvfgxgab",114.000000,2,0,0,0,3,0,13,0,0
