genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"geno",4.000000,0,0,0,0,0,0,0,0,0
"wnjagczfAyiyiIEjwuaiqBKaycubdbujwEEodrmjqBowbBxBLuaDqfBmnwEBkBemdIBbBJpwoaucDKBBKmflqBDBBqwlGBsfBJBwDBqBBBBbdcBzvvvvxgFA",114.000000,0,0,0,8,0,13,0,0,0
"wljagcEerypGshkrqjxqwyoJycuupcfvFdtarcBDBELblGuBwEcyBBGywBBBBmmvdBuvfAkEAsBByBByAkBBJBBByBvuBCwEyABpnBKvBaJBpmDzvvvvxgLf",116.000000,0,0,0,0,0,0,24,0,0
"wcjagcmHqCbDEIapycasujeEycucJDuDDcbKLoGBiwiGruxBoeBxsocnJpGxoctjbEprwBBnEBbBqBjBJBbtwftqfBBABBBBowBblmuBBxLjImkzvvvvxgyF",117.000000,0,0,0,1,18,0,0,0,0
"wEjawJhaIvxrGmGsxcqkxkEyycuqoGucwtpmoIKaowGaeJwyEgcbGezhbpLcaxybGnDvfwBtrpeawDdsuerBBtBlBxlBtvspmAdxeBBKDBvsBBEzvxvvvgeL",113.000000,0,0,0,1,0,0,0,0,9
"wGjagcDbCecHyJaEdJJCapGyycureaumcJtruxAnoepkLAnosmBmILLkjsIlobpuyqpxfJEEksKjyrbJaajtAErBBABDBBBpBBBjBBBBBBBBBBdzvvvvxghL",115.000000,0,0,0,0,0,0,0,0,19
"wzcagcbLGlazlzpDDGEDqznyycujucJoeBmEoInwKBEyABFjcBuAEnyDBuuKrDKBGmGfcyJxjccvpucxBkABjxBDsByytjBBkLBEoBBBBBtkBomzvvvxvgab",116.000000,0,1,0,4,1,0,0,0,0
"wIjagcKiKBpIwCsAavAyvrEpGtBLqnrBqnxfEAEEyuoucIyyalLetBItLlymvJpBLBlpsLurtkItBBmBuBBBGfyBBBLammBxpBBBIBorBbCsBvxzvvvvxgxa",114.000000,1,0,0,1,3,0,14,0,0
"wujagcoyKxulzbDDkckysscLyuuwpcuAGrEEaLBpfIEBybBsaaHaLLlvvdBwJwJmGmyaysDrLLwBBbfEwvpqvdABuurujqDBlBBtBsBsBlyxyaBzvvvvxgmm",116.000000,0,0,0,0,3,4,7,0,0
"wsjagcABsHurnmFtCckybFryyuuopcuBddDroytoxDlaceGJIxAJJJIoyyBcwJGjBsrwIlnByFbBJBLkeBapjKvfBFIKuucxafBbBBBBwBBBBBBzvvvvxgGw",117.000000,0,0,1,2,4,1,0,0,11
"wFjagcwwGLLIrHFczytGJLryubukaoucoAyJdDxBffKCapfoyyscaebynBomayBjsFklmppKhreKcctcuBIABBkmBqKBBxoBIsobeuGBIFBBBDDzvvvvxgKJ",114.000000,0,1,0,2,0,0,0,11,0
"JwjagcEwtnbbBqhfHbmlsHzyycurDBumcftaIcIKnnlKGlfreILgxdbfeiIaErqBysbEeambspAayrAejAEtbxrtAJBBBjBBBABmwBBBBBBtBBBzvvvvxgda",117.000000,0,1,0,0,0,0,0,0,0
"wzcagcpkyHqpFuHwurEEyEGmnduxufucGIwBecrwvElsbypnoBDqrkaubBvcjrkBBBJBkIBGLieHqEBfBBvfdaBBnABDyBwBooGBBBGBDyIivLbzvvvvxgab",114.000000,17,0,0,0,0,0,0,0,0
"owjagcHzEEthErcFzuyHuvqlwxzhyucJfuerjqyoJKrcxbuurKcoEnIqpnvvcLduJrnvyjbBsBEnwBdBoBBfBxvvBBBqBIBAdKbBBoBBBmxbzwDzvvxvvgmJ",114.000000,0,0,0,0,0,0,16,0,0
"wsjalBygcADyEqmiqnusIyrJKAyblkLuIadajjKfBarsocKJJmyarLEyfyscefDoGsaefeBpJBALmBtDEfeLpByaEouBfrByaIBByLuBBBBABpuzvvvvxgoD",116.000000,0,2,0,0,6,0,0,0,8
"wxjagcBaoEEyyrjGquDlEycyucuosdaEAaaBLEkJDLABsGFAywyscwapeerbtrdByoBEFLDjcxBsBnBoDBBDBtaxaBjBtBJbtmbBnfBycJbKkCozvvvvxgGe",117.000000,0,2,0,1,0,0,0,14,0
"wIjagcEDIBqpckyoEyeiBEDoycuupcIALkLBtcuBezBmAxBomqxBBaLqjBBpBBBEBGKnByJBAlBpJBBKDBpbyBLBnBpJeykBsmywmLBjbBwDpJBzvvvvxgfi",111.000000,0,0,0,0,0,0,23,0,0
"wGjaBAygcwABEdAJknffLyrbLeywlkDuIIuaDqaoxwrsocLuJmyarBEyBysraJxoBDGmfwtpjEyIxwBGEBeupbBajoubqrBxBGBjABfBnBItJcBzvvvvxgly",117.000000,0,2,0,8,0,5,0,0,0
"wzcagclIHcwhdmczleEGzycywuuopcuLCobrdydtJxCaDFAknAFBBfFjyyABGfAwIscIqtIGyfldKJBBfaBFDJkbpBqquurBsBBAIBqBlBBBqBBzvvvvxgab",113.000000,0,0,0,1,3,3,10,0,0
