genome,scf,scf_no_int_bio
geno,0.000000,0.000000
wnjagczfAyiyiIEjwuaiqBKaycubdbujwEEodrmjqBowbBxBLuaDqfBmnwEBkBemdIBbBJpwoaucDKBBKmflqBDBBqwlGBsfBJBwDBqBBBBbdcBzvvvvxgFA,21.410000,21.410000
wljagcEerypGshkrqjxqwyoJycuupcfvFdtarcBDBELblGuBwEcyBBGywBBBBmmvdBuvfAkEAsBByBByAkBBJBBByBvuBCwEyABpnBKvBaJBpmDzvvvvxgLf,21.820000,21.180000
wcjagcmHqCbDEIapycasujeEycucJDuDDcbKLoGBiwiGruxBoeBxsocnJpGxoctjbEprwBBnEBbBqBjBJBbtwftqfBBABBBBowBblmuBBxLjImkzvvvvxgyF,21.930000,21.930000
wEjawJhaIvxrGmGsxcqkxkEyycuqoGucwtpmoIKaowGaeJwyEgcbGezhbpLcaxybGnDvfwBtrpeawDdsuerBBtBlBxlBtvspmAdxeBBKDBvsBBEzvxvvvgeL,21.590000,0.000000
wGjagcDbCecHyJaEdJJCapGyycureaumcJtruxAnoepkLAnosmBmILLkjsIlobpuyqpxfJEEksKjyrbJaajtAErBBABDBBBpBBBjBBBBBBBBBBdzvvvvxghL,21.800000,21.800000
wzcagcbLGlazlzpDDGEDqznyycujucJoeBmEoInwKBEyABFjcBuAEnyDBuuKrDKBGmGfcyJxjccvpucxBkABjxBDsByytjBBkLBEoBBBBBtkBomzvvvxvgab,21.630000,0.000000
wIjagcKiKBpIwCsAavAyvrEpGtBLqnrBqnxfEAEEyuoucIyyalLetBItLlymvJpBLBlpsLurtkItBBmBuBBBGfyBBBLammBxpBBBIBorBbCsBvxzvvvvxgxa,21.450000,0.000000
wujagcoyKxulzbDDkckysscLyuuwpcuAGrEEaLBpfIEBybBsaaHaLLlvvdBwJwJmGmyaysDrLLwBBbfEwvpqvdABuurujqDBlBBtBsBsBlyxyaBzvvvvxgmm,21.940000,21.640000
wsjagcABsHurnmFtCckybFryyuuopcuBddDroytoxDlaceGJIxAJJJIoyyBcwJGjBsrwIlnByFbBJBLkeBapjKvfBFIKuucxafBbBBBBwBBBBBBzvvvvxgGw,21.420000,21.420000
wFjagcwwGLLIrHFczytGJLryubukaoucoAyJdDxBffKCapfoyyscaebynBomayBjsFklmppKhreKcctcuBIABBkmBqKBBxoBIsobeuGBIFBBBDDzvvvvxgKJ,21.800000,21.550000
JwjagcEwtnbbBqhfHbmlsHzyycurDBumcftaIcIKnnlKGlfreILgxdbfeiIaErqBysbEeambspAayrAejAEtbxrtAJBBBjBBBABmwBBBBBBtBBBzvvvvxgda,21.660000,21.660000
wzcagcpkyHqpFuHwurEEyEGmnduxufucGIwBecrwvElsbypnoBDqrkaubBvcjrkBBBJBkIBGLieHqEBfBBvfdaBBnABDyBwBooGBBBGBDyIivLbzvvvvxgab,21.520000,21.830000
owjagcHzEEthErcFzuyHuvqlwxzhyucJfuerjqyoJKrcxbuurKcoEnIqpnvvcLduJrnvyjbBsBEnwBdBoBBfBxvvBBBqBIBAdKbBBoBBBmxbzwDzvvxvvgmJ,21.590000,0.000000
wsjalBygcADyEqmiqnusIyrJKAyblkLuIadajjKfBarsocKJJmyarLEyfyscefDoGsaefeBpJBALmBtDEfeLpByaEouBfrByaIBByLuBBBBABpuzvvvvxgoD,21.670000,21.670000
wxjagcBaoEEyyrjGquDlEycyucuosdaEAaaBLEkJDLABsGFAywyscwapeerbtrdByoBEFLDjcxBsBnBoDBBDBtaxaBjBtBJbtmbBnfBycJbKkCozvvvvxgGe,21.730000,21.730000
wIjagcEDIBqpckyoEyeiBEDoycuupcIALkLBtcuBezBmAxBomqxBBaLqjBBpBBBEBGKnByJBAlBpJBBKDBpbyBLBnBpJeykBsmywmLBjbBwDpJBzvvvvxgfi,21.820000,21.820000
wGjaBAygcwABEdAJknffLyrbLeywlkDuIIuaDqaoxwrsocLuJmyarBEyBysraJxoBDGmfwtpjEyIxwBGEBeupbBajoubqrBxBGBjABfBnBItJcBzvvvvxgly,21.410000,21.410000
wzcagclIHcwhdmczleEGzycywuuopcuLCobrdydtJxCaDFAknAFBBfFjyyABGfAwIscIqtIGyfldKJBBfaBFDJkbpBqquurBsBBAIBqBlBBBqBBzvvvvxgab,21.650000,21.650000
wIjagcDjCeIHKsaEbJfnapGyycureaumcJtruxunoepkKAnosmfmILLbxLElqjpkyapxfJEEksKjyrbJaajtAErBBBBeBBBpBBBjBBBBBBBBBBdzvvvvxghJ,21.920000,21.920000
wujagcoeswyDJHmlddytEsckyuujpcuiqrDbfGbdkBELybtCaGKbBBBvvBpjLBBkLvynysGrJGBueBBjLwpdvwAFsurtpfBBEBdBBEBBlBeDBECzvvvvxgex,21.700000,20.900000
wAjagcIscnDezbuIJqfyFFryuAufdbucJoywBeHcIbDFtAdIyyscfIeqerwwDDsykmFafpJwGnqGeetcBmfBBBBsBlpBBoiklBwBBnBlCqlkkAmzvvvvxgBA,21.420000,21.140000
wzcaIpuKLpcCBIGyknmsppxyycufJrugcABsKxfBvbdtCcvEdrspnEtuGwkmmvLvJcnExIImKsKfiAjcjAyyEqJtcGBFsBBBBBGByBBBxEBAmBczvvvvxgab,21.920000,21.330000
wzcagcycpLAecqEpDnqGfyKFycuDEGuLIorkGAypIucaBBylaBwjBBbGLjsrbABprwsujAaGbrbByBJBnBsbtBEwrrGBAAmBLBlBoEdnfsBBzbezvvvvxgab,21.890000,21.810000
wzcaGeGecsooHiKlJBkHtGmyycuxerugceLbGAJBvdBtqjvEfrwxBEoLBjfsnvevKrEEqAfsGqnwDaalEAyyDxGtcBuFBBBBlsjBBBJpwBBuBDBzvvvvxgab,21.780000,21.140000
wzcagcqkaFlywozmLsayuAbAbFFbkkydycptmjJlKxEpaDpjlbBsbbFIoKerfdddIyAuJuoyeserLmGJazwtpcBtBqBnArBBBBpBBBbqBFBBBBszvvvvxgab,21.790000,21.960000
wkjagcdxAnBaEFaeyrpnuAdAycucawuEemuabLGfIEIErnfBBaBbcocxdfsxsnydwEpeAqJnEcGBLwFAbwDtoBtrJBBFBBBBGBoEdBysJBBBkJrzvvvvxgpo,21.530000,21.530000
wzcagcfAcJsyJbjDczEwfkhfEybrnLaItcByEyuIquwJmqfBbsfxJBdrEnBBBtBoDuABBpBjBBLLBGBKrBbaolInDDeeLCpyfBqBsbKKBfBynzhzvvvvxgab,21.570000,17.300000
rwjagcrcmHEeyrGxuAHaEDnyucuIoIEAGdffuEaIasfuIKBfyuyscbspfonotcllBtBdJFEBIBmBLFpBlxBBpBBpuBBdwKJLtybwqBItcHrdzLdzvvvvxguI,21.480000,21.480000
