"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"8k","h",500,3,100000,1442177,"wpjagcJolbhmLAianLoloEHnyctrqmByEuEqpaxburnaftGyyBDLvGABkxArramLLLndkfGAowmxBaIIkAopblGrDDsLmspbxpEuJxslHtonklbzvBcxgtap",16.4475,10.16,8,10,10,115,8.02,1
"1000k","h",200,4,100000,574893,"wBjagcBBbjBBBBnlewddBByBycuAucoyIaBvbnsKblEkFyuBjcuBddrByflBBmaEBapBKqurmfgkIsIbxxBcBppLIocknjeByjozdwxJIsDHCzvAvfcaxgab",127.23,10.28,23,13,13,118,10.22,1
"10k","h",100,38,100000,330777,"wIzagcAxsKscACGnyDCqeefyycuEuvcsojCEnpryqoxynjeEEJfBtassjGxjfdzdadxzJyDypiDFAuovajsAuxyAIHzEutEupyxjqpJjzrGuGjzAzvBcxgzb",67.2202,10.33,8,10,10,114,8.02,1
"1000k","h",500,31,100000,1498152,"wBjagcIHcqixIbxAkJAlxBcyycuBJourubBmtyEvmkGkuyretcEsayllBwDGlBLAekKoauAEFplDxmsABttcBvdvakbtawluexyEirEHuGxIjcmzvBcxgapE",0,10.58,11,6,6,115,8.58,1
"10k","h",200,46,100000,585690,"wBjagcvFhuFqoAvDIsGIlkjyycucxwbDDuvaojBeqeGqewGGxrpjGuaeyxrAysblnzuBhiuFuwelDCtCzicIakJGncuGLiBKKBcoFItenbGDxjpzvBcxgwEz",36.0311,10.32,13,9,9,118,8.53,1
"1000k","h",100,26,100000,462725,"wBjagcfLEmsjGkJhJKkCoJLyycuoqwurmvmvccEatjEBqktxkBdaBFKyyobJvbBxDBBBssBjaAGsyvEqrtEerBBBFqqBwBBvBABBcEvBBsEyBGBzvvIvxgFv",40.969,10.35,24,7,7,118,9.88,1
"1000k","h",200,4,100000,574893,"wnjagcBJjBBsBdyDIBkBBfyBycuoucoyBAGvJBdcapKCkyuDaBuGjirBsuBBwmaElDpBqDurBfgkKHBBIBtGtBeJudkKuHnzCeKemsKmaadBbzvHvfcaxgab",126.304,10.33,27,15,15,119,10.23,1
"100k","h",200,34,100000,601518,"wAjagcmacruduzpcFpnBLhKyycuGjFmscwoFtFeonjvGnkbBtmkDkoxGyaKpuaapflfBwcaFGAmGmtKsysrepvcqaxnuficexrbErcbndczbnlyzvBcxgLBD",379.469,10.38,7,13,13,118,8.15,1
"10k","h",200,43,100000,676224,"BkJatnrfyemwHCHjacmsbmsyycuqcBeGmLegcsetxEsrBegdjEsaEjmjpfJGDykbFbjlLyfEaceeqEIsrwBpfpsfrbeBqbavravIJafqonsifsqzvBcxgajH",80.001,10.2,8,18,18,120,8.03,1
"100k","h",500,36,100000,1562078,"wzcagcHpyEyzAiFHjAnEiDywGoycEuubjIIIDbrKxpuBbqfEKuoGlIwFuEfwjIbpaAoECpjHDymkqGHrsGsJbwHxzLpDxJIDDDcBbcqlcokukpnzvBcxgrab",0,10.11,11,5,5,117,8,1
"1000k","h",200,39,100000,608558,"wzjagcuFlFuFtabsIHiEGCepuywopcourytbmoaweBKIkpbFwLsoawwBvqFDmJsdDxlAavGmEwocaxfEGkwGaBfFlweFDoasDwjBlmGGyuuaezszvBcxghsq",95.3673,10.44,10,9,9,119,8.08,1
"100k","h",500,36,100000,1562078,"wEjagcLIKjBqikGEDrmfljlbGyycFuuBbGjEibrKJxuEckqEjusFBooGdBaBGyipaGzfnjzoElwytlsGDEIfrqtbcqcsluKAcABAvCFaAybwyCuzvBcxgsIo",0,10.44,11,8,8,116,8,1
"10k","h",200,25,100000,428154,"wajagczhKhHdatczdvAforLJycuopcubBBBfgBacLJqEGdEkBzbqsEwdpteFsIbElkznmnllasBEopCAJCzLoHvaqlkjtjjmakvAvxkKbICpaImzvxBcgfls",1.13626,10.39,10,13,13,117,8,1
"10k","h",500,12,100000,1967737,"wzjagcdqqvtAycpkzvxfDmGyycurEEucDBBsEABqsKmBforlKfKIKEsKKyfwxpeBtyrtcBbBBlqBfDoBJsBBfeKmkIuwpyBkIuBsBBBBBBvvpkKzvAvxvgJt",33.6277,10.1,23,17,17,117,9.52,1
"100k","h",500,11,100000,1443558,"wujagczhBoGfJzkijxdmtyvBycuufoyBcEfrCAEkjycEptdGraezjxJcqokGrsHHuAAyctBbIqubjeAIfGCHqrEIayCizaEmDjyiDFkbsotszCoozvBcxgme",98.5262,10.11,11,9,9,116,8.12,1
"10k","h",200,37,100000,547074,"wpjagcrrdueoBlqutvybtodbycuAorumAjEqrJjpxtokqEdGEnkzvzrhAresqIjAKHzFrDuccirEEoKuwsfkfKiDtlzGvpHrsBcKpaucbCbwHAezvBcxgiDq",0,10.51,7,12,12,115,8.09,1
"10k","h",500,43,100000,1141400,"wzcagcwEIyyIrBbscqxGwkKtcyuuGuuBBBraHbtqyCqJzcjwAGDkBfEBClecvenxJuizhvyctEniEBszJvDzbsqilCAwafgsAanuHjbtLIGrxxvzvBcxgaab",0,10.61,13,6,6,117,8.33,1
"10k","h",200,43,100000,676224,"BkJatnrfyelwHCHjacmsbmsyycuqcBeGmLegcsetxEsrBetdjEsaEjmjpfJGDyqbFbjlLyfEaceeqEIsrwBpfpsfrbuBqmavravIaafqonjifsqzvBcxgajH",90.235,10.25,8,17,17,120,8.03,1
"8k","h",500,29,100000,1330134,"wfjagcFxrAJFyJjftKfhwlByycuFyaFBsmEAboipfrotukyJBsaiweLHLeKktefJuLpqtnyAfDlebywLvLmwcbxidjFJGGfozAfDarlCCIIpqzKzvBcxgqpB",11.7527,10.18,9,21,21,116,8,1
"1000k","h",200,43,100000,893270,"AzcagctzwIBFEGueadxtzyuyscuyccrbujsIEdmxACcrpmBsypwdwDBuBBBBfEBtxBBBBwBJescIJBnujpsbeicuBxLuBypJgbBBDxBoBByrysezivvvxgab",0,10.63,24,9,9,118,11.04,1
"8k","h",500,21,100000,1551573,"wnjagcoEKfhDodxfEnGzjGfqyctxpyucmkIBBpkonBupuArDLrdLCrJtazsLlElscltruFLrDdJymwffItxyGsqjsqwJcpAdqLGmfEEBdBnAeIyDzBcvxgJj",14.4466,10.34,11,18,18,117,8,1
"100k","h",500,20,100000,1557480,"wzcagcoFzkmntxFGLymhrtcyquuopctxqjcmfjKJradGBjxKHpIjawvGlkpolwBuBFpKEqFuuaadGszKyyHvJBFLHFtruxaJBmwaEjKdzxBmyCzzvBcxgBab",102.611,10.54,9,11,11,120,8.04,1
"100k","h",500,18,100000,1388175,"wajaoJnDDwhEEBshrpoinkcFwrqwEpbgcyubwIrmqvqqyuLrudrAtktmwcJLpBontaLeaDcLGEJmsBkDxuBspsGluwiweIvjbBCIvfcbxikbEkIzvBcxgemE",100.32,10.59,11,9,9,119,8.18,1
