genome,scf,scf_no_int_bio
geno,0.000000,0.000000
wajagcbyDfFqEDkBsmCrcGEoyyctqyuuorBnFDDyDylpsJyfBtkanuDGaDmwfbAEsEarBBfBBBBunBBBkBvJqfBBoBvBBBBDbEqBuKjBBBDvkBdzvvFvxgnq,17.910000,13.350000
wzcagcHCAwegcjCBBdqJvzryycuwrBuEIBFEIKxbijrvjvBGboByBBBopEvpumluuAvpfqEBbcDqlnbucBByBBsxBBxevBBbyBmyDBrkEvbHxozvvfcaxgab,17.830000,18.160000
IwjagclblvbuEkCbDbrrwCoyycurEEucvxdsCejpsKmGJoLqtcGGqJaqryEHaLeLayntcwBBxcceABkBwBBBxBBBjdeqBdBpBBlKJLBppBvvBBrDvzvxvgmd,18.150000,17.530000
zwjagcotoExkIDdxoHtoGHfEycyuomDyajsIucytyBEJuxxjucnGLtDttKnKbxpErqqBJBJGmjwBjnucBjsvBBBuBBGvIvBBbfxBBBtBBmuBBBGzvvvpxgvE,17.990000,18.030000
wHjagcJvtsqwEtzGvmLyxryoaFuopcuoLvrDoAFyEksetjkyItfoErAuBBBrEyyeBBBrErBButBEqKwuwkmBBkBfocBkyjBBxBkkkluGIyfjmBHzvxvggHex,18.040000,0.000000
wFjagcAnLnEgcGExuKdJGKCyycuAuccDesEBdBtoxyAtBJJxojqdvFbnyEaBEBtnoEBBcvrBBFBBBsByBudBpByxqwaBBBBBBBxBBCEBvIBwDidzvvvhxgen,17.870000,17.410000
wzcagcouIycnsHoJlGtnlqJEkfCqJvmIczkddapfrBycevEElbwntcvmDBsoqKEvyuIdFKsGDjmErBBnBnBsByDbBuBBBBBpvBeKoBsBBBqvBmazvvvhxgab,18.030000,17.090000
wDjagcuHsuzDGsEmJmHzurBLDmwkyLuILDEjvKIrlvwkdvyBusvomrKBqBoBjBtKBoExByBBytBjAuvBGdBBBswBjBBxvJxBBJeIBfuusBEBsydzvvvxxggg,17.730000,17.570000
wzcagcbLLalvcjpamocCiJvyuBfHEDxLycwFnDtAIrvyGuueuojqBIaqfcpEcnxzpsvxlKlElqEqBosBBwJucByBoBBLLBBylxezBEBBkABBBBzvvfcaxgab,18.000000,17.630000
wrjagcmktkfvnmadmKrHwGByycurFBuBrybIfEjqmBIEBeokpmmJpEbAdttEyvJrfoavtrBdtvpBoBBkBytBJEBBBwKsIBsjBbBppBBqlJBCJeJzvvfgxgob,18.170000,17.500000
wzjagcfolIbfJhctvApDyryorjuoccbylfKgwwyufAbBcovyEKkfmrncuntptxrBEEAfpuxBBovnBBwvBjvuBuBwBfuBjByEBBkwwkDwooxmnvzvvxggIcCu,18.200000,0.000000
wljagcdHElHyLwnuszLrnfCyycularurFvnvbbEFGlEolxKqfeKIBpEDyudxvDBoABkfBtmtsKasyvcjrtEDrBBBBDcBBBBvpBBBnyvBBGEBKBmzvvJvxgtI,18.080000,17.920000
wujagcxJypqEaBBKmEnocpbrjrIyycuuKDruoLbGwDnkumdyByEBBtnEbwJrvujjtdmrBrBpquirdaJBBwBBeBdBKfBfaABbyvBBIaBBkBBBBBBzvvxgnFhA,18.180000,17.910000
wzcagcfubfmEDdvzkhzsnxhycyuopcucemkoEBGuAKdebmEqyEDytvtGucelycsccBdBBlpBBBKqnBqBAftdBJdtIwerLhxcBdjyvBqBBBqBABBzvvvBxgab,18.000000,17.760000
