pop,repl,genome,scf
1,0,wzcagcDuFlEiDpemblczBFlyycudrudbBnatarpkfadwkBbvbcvnqfokbBDBDBbwvwBcFmBcsaevBrdxyBvBBBbtBupDvBumFnFBvBBBBBqBBBBvvfgtxgab,4.170000
1,0,wzcagcdnFsEtBpzyElwzBFayycubEubbfuaBarpxuoltkBbvecvnbfckpBBBBBBBvwBBFpBtsuecBrdDfDvBBmkBBBbDvBumFBFBvBwBBDqBBBBvvfugxgab,4.110000
1,0,wzcagcyhryEujAznwzkFBFsyycubquFncdfiiDwkFvyqBpbvBnvnBBcwebkkBoBBBBBBFtbweawBarEpBwveBEBBqtwBvBBBBBBBvBBBbBpBbwBvvfgDixab,4.000000
1,0,wzcvgcyjFyEunwbnwzBFBFsyycubruFnciwiirukFvDxBpbvenvnBqcwebkkxobBBBBbFtbxuaDBarbBBwvwBEBuqtpBvBBBBBBBvBBBbBoBbwBvvfgfixab,0.000000
1,0,wzcagcnxqolmsiftxzBFxFByycuopuxtcwucBrbBudBubDcvtqvppBbdFEBwAdDnvladFtBBeEoBDrByqBvBBBbBpmywBuBBFdxBvBcagnBvuwcvvfgwxFab,2.780000
1,0,wzcagcyDADlcsiclAzBFBbByycuopuBtcAtcBrbBadBubDcvtqvpatpdedfbAdDnvladFtdBecDBxrByfBvBBBFBpmllBuBABBBBvBBBonBvuwBvvfgBxDab,3.500000
1,0,wzcagccDADlcsiclAzBFBFByycuopuctcAtcBrbBadBubDcvtqvpaBpdedfbAdDnvladFtdBecDBxrByfBvBBBFBpmllBuBBBBBBvBBBonBvuwBvvfgBxDab,4.090000
1,0,wzcagcyDqDlrsiclAzBFBFqyycuopuBtcAtyBrbBnbBubDcvtqvpaBpdedfbAdDnvladFtdBelDBxrByfBvBBBFBpmllBwBBBBBBvBBBonBvuwBvvfgwxDab,4.000000
1,0,wzcagcuEyitjAodAizfFpFcyycunaudicwicdrBkbDaBBytvpBvnwcEfaDBFBBevvaxBFtdxBbABarBBBdvByBbBDpBxvoBBFnBBvABBBfyxEBpvvfgrxdab,4.130000
1,0,wzcagcswrktfimfkDzsFfFcyycunauxecEFidrBDbxfBByavpBvnfctyaDBnBBevvkkBFtqBebquarBBBuvbtBbBnBBuvocDAxBBvaBBpBykBBpvvfgexjab,4.440000
1,0,wzcagcczysfzbxfmzBBFqFfyycucAudBcwDbBrApyBfbmpoanDvdbobBbxkejBeyvyaBFtbAebliirAlpnvptoesffkevBuFFDBwvxdBtatwskqvvfgixaab,0.000000
1,0,wzcagctzyspzbxfmzBBFqFfyycucAudBcwDbBrApyBfbmpovnDvdbobBbxkeFBeyvwaBFtbAebliirAlpnvptofsfwkevBukFDBwvxdBtatwskqvvfgixzab,4.000000
1,0,wzcahctzyspzbxfmzBBFqFfyycucAudBcwDbBrApyBfbmpovnDvdbobBbxkeFBeyvwaBFtbAebliirAlpnvptofsfwkevBukFDBwvxdBtatwskqvvfgixzab,0.000000
1,0,wzcagctzyspzbxfmzBBFqFfyycucAudBcwDbBrApFBfbmpovnDvdbobBbxkeFBeyvwaBFtbAebliirAlFnvptofsfwkevBukFDBwvxdBtatwskqvvfgixzab,2.730000
1,0,wzcagcrdqBBpEprksvnrnFzyycuBduruAwdderBFBBusupDvEwDnBBFfaeyBwEBBvwwoauBFfeiqxreBFBvuBlBBvpytvuBmwsDBAeuakkBFFbcvvkBlxgab,3.780000
1,0,wzcagcmyuBBoEnrczssrnxzyycurfubfrxBderBFBBusqpDvxfwnBwFcBeeBwEBdvqbyauFFaeiBxrkBFBvkByBBvpktvmBBwsbBABulAkBEFBaFvBAexgab,2.330000
1,0,wzcagcqBajmybBEudvzyCzqyycurquxaxdyaerBbmBEflpBveccnbqFdwoBBBBBBvqBdauFFdcaBBrBBFpvleCaBvBdAvyBBBsaBBcBFApBFpybvvcBbngab,4.160000
1,0,dzcagcqeajtybBEudvzyCzzyycufquxaBdyaerBlmBEfqpBvercsbqFdgoBBBBBBvqBdauFFdcaBBrABFpvleCaBvBdAvyBBBsaBBcBFipBFCybvvcBcngab,0.000000
1,0,wzcagcqeajmybBEudvzyCzzyycurquxaBdyaerBlmBEfqpBveccnbqFdwrBBBBBBvqBdauFFdcaBBrkBEpvleCaBvBdAvlBBBsaxBcBFqpBFCybvvcBcngab,2.780000
1,0,wcjagcAxkcccpFdxjiwutzyBycudaFbucwkltdlBBuxBkpBvuuakejqBBcbwawxBvdkocuBFyadcBrhFBBvDBxBnvBdBvmtBssBBEnbBBuDBtAdvvBBBsgur,0.000000
1,0,wcjagcArbpccpFcxbnzstzyBycudxFbucwxaddyBBuoBkpBvuuakeAcBBcbpawxcvBkecuFcoadcBrtFBBvDexBkvBdBvmtBsyBBEtbBBuDlpAdvvBBBbgai,3.730000
1,0,wjjagcoApbiadcEahpcnbzyFyculauoypwpabrexgBBExplvAfaBAaFFBehfxbqnvfkbBuBbkauaBrBcaBvmkBBnvBBFvmABylBdEoBBuaBBbtBnvxBBvgBC,0.000000
1,0,wjjagcoqpuimCbtkcDcbbzybyculauoBpxpccrBawBBsdpbvpdaBakFFBehbxfqnFwkbBuBxBastBrBmaBvlkBBsvBBwvmBqApBbEocBubBBbBxvvsBBggBh,3.180000
1,0,wjjagcofzjumbFtkdDcbbzybyculauoBpxpccrBnBBBsdpbvpdaBBkFFBehbxkqnvwkbxuBxsastirBbaBvukDBnvBBwvmBqApBbEeBBuuBBblkvvqBBBglp,4.020000
1,0,wjjagcofzjumbFtkcDcbbzybyculauoBpxpccrBnBBBsdpbvpdaBBkFFBehbxkqnvwkbxuBxsastirBbaBvukDBnvBBwvmBqApBbEeBBuuBBblkvvqBBBglp,3.980000
1,0,wjjagcofzjumbFtkcDcbbzybyculauoBpxpccrBnBBBsdpbvpfaBBkFFBehbxkqnvwkbxuBDsastirBbaBvukDBEvBvwvmBqApBbEeBBuuBBblkvvqBBBglp,3.210000
1,0,wzcagcsmFkEbalxAlzpBBFyyycuBduBkceawArpBdsuBapbvdbvnbfoeqBkBBbBBvBBkFmsdEuboArmsaBvDeBmFBBpBvBBBFuBBvmBBBBdBBnuvvfuyxgab,4.070000
1,0,wzcagcowFrEzurtcpzDBBFtyycufDuBfcqDscrpBknkboBbvDcvnbbfqfBBbdBBBvoBkFmFosuiBcrDdpBvBBBbsafcDvBbBFBBBvfwBBBwfpBBvvfBwxgab,4.270000
1,0,wzcagcDuFlEiDpemblczBFlyycukrudbBnatarpkfadwkBbvbcvnqookdBBBDBbwvwBBFmdcsuevBrdxyBvBhBotBopDvBumFnFBvBBBBBqBBBBvvfgtxgab,0.000000
1,0,wzcagcDuFlEiDlemblczBFlyycudrudbBnatarpkfadwkBbvbcvnqookdBBBDBbwvoBBFmdcsuevBrdxyBvBBBotBopDvBumFnFBvBBBBBqBBBBvvfgtxgab,4.040000
1,0,wzcagcBjFAEfnwbnwzBFBFsyycubxuFqcDBiirskFvlqBpbvenvnBqcnubkkxoBBBBBBFFbxuafBarbBBwvwBEBuqtpBvmBBBBBBvBBBbBoEbwBvvfgfixab,4.060000
1,0,wzcagcuEyitjAxqAizzFkFcyycunaudiiwicdrBkblaBBytvpBvnwcEfaDBxBBevvaxBFtdxBbABarBBBdvByBbBDpBxvoBBFnBBvABBBuyxBBpvvfgpxkab,4.130000
1,0,wzcagcuEyitjAodAiznFpFcyycuuaudicwicdrBxbDaBBytvpBvnwcEfaDEFBBevbaxBFtdxBbABarBBBdvByBbBDqBxvuBBFyBBvABBBuyeEBpvvfgpxkab,0.000000
1,0,wzcagcawlktuswfkpzsFbFcyycunauxecsFedrBDcxsBBxtvpBvnfctDafcoBBeAvxkBFtqBebxdarBBBuvpxBbBnBBuvocDeyBBvAcBpBykBBpvvfgpxjab,4.630000
1,0,wzcagcawlktuswfkpzsFbFcyycunauxecsFedrBDcxsBBxtvpBvnfctmaDBoBBemvxkBFtqBebxdarBBBuvpgBbBnBBuvocDeyBBvABBpBykBBpvvfgpxjab,2.690000
1,0,wzcagcawbktuswAwizsFrFcyycunauBecEFeqrBDbxsBBstvpBvnfchmaDBnBBepvxkBFtqBenxdarBBBuvuxBbBnBBuvocDcxBBvBpBpBmkBBpvvfgpxjab,4.250000
1,0,wzcagccyrwpzojfBzBBFtFfyycucAudBcwDbBrApyifbmpovnDvdbobBbxdeuBeyvwaBFtqAebCiirAfpnvptpAsfwkevBukFDBwvcDBtatwswBvvfgjxznb,0.000000
1,0,wzcagccyrwpzcjfmzBBFtFfyycucAudBcwDbBrApyAfbkpovnDvdbobdbxdeFBeyvwaBFtqAebliirAfpnvptBAsfwkevBukFBBwvcDBtatwswBvvfgjxzab,4.000000
1,0,wzcagcoBllmAburEAvljzzkyycuqquparwoaerpFEBEmvpFvlAwnboFBevxAfoBdvafBEuFFbvaBxrEFFbvqABpdvBfAeBABtDyBBeBAskxFbyAvxBtpxgab,2.460000
1,0,wzcagcrdqBBpEprksvnrnFzyycuBduruAwdderBFiBusupDvEwDnBBFfBeyBwEBBvkwoauBFfeiqxrlBFBvuBlBBvpytvuBmwsDBAetakkBFFbcvvkBlxgab,3.750000
1,0,wzcagcdyuBBoEnrcbvqrnizyycuefubBAxBderBFBBjuqpDvEfwnBwFcBeeBwEBdvqbnauFFafiBArlBFBvkBbBBvpwtvmBFwsbBAeuliABFpBovvBAexgab,0.000000
1,0,wzcagcdyuBBoEnrcbvsrnizyycuefubBAxBderBFBBuuqpDvEfwnBwFcBeeBwEBdvqbnauFFaeiBArlBFBvkBbBBvpwtvmBFwsbBAeulAABFpBovvBAexgab,3.550000
1,0,wzcagcqeajmybBEudvzyCzzyyCurquxaBdyaerBlmBEfqpBveccnbqFdwrBBBBBBvqBdauFFdcaBBrkBEpvleCaBvBdAvyBBBsaxBcBFqpBFCybvvcBcngab,2.930000
1,0,wsjagcxrkmccpFfCssqnCzyBycudaFbucmkydDyBBwwskpbvuuaweabBBcopaejxvBfecuBFBadcxrtFBBvDexBqvBqBvxbBsaBBEnbBdBdByalvvBtesgmo,4.110000
1,0,wsjagcxrkmccpFDCsDqnCzyBycudaFbucmkydyybAfmskpDvuuadebbBBcopaejxvBfecuwFBadcxrtFBBvDexBqvBBBvxbBseBBEFbBdByByalvvBplsgmo,3.280000
1,0,wcjagcAxkbccpFdxjpwunzyBycudaFbucwklddlBBuxBkpBvuuakejqBBcbxawxBvdkecuBFyaxeBrqpBBvBBxBevBdBvytBssBBEnbBBuCBtAdvvnBBAgCr,2.550000
1,0,wcjagcArbpccpFcxbnzqvzyBycudxFbucexaddyBDuABkpBvuuakeAcBBcbpawxcvBkecuFcoadcBrtFBBvDexBkvBBBvmtBsyBBEtbBBuDlpAdvvBBBsgai,2.730000
1,0,wcjagcArbpccpFcxbnzqvzyBycudxFbucexaddyBDuABkpBvuuakeAcBBcbpawxcvBkecuFcoadcBrtFBBvDexBkvBBBvmtBsyBBEtbBBullpAdvvBBBsgai,2.730000
1,0,wjjagcofzjumbFtkdDcbdzybyculauoBpxpccrBnBBBsdpbvpdaBBkFFBehbxkqnawkbxuBxsastirBbaBvukDBnvBBwvmBqApBbEeBBuuBBblkvvqBBBglp,0.000000
1,0,wajagcAanhxyAyyjddaBnzyBycuDauoBpqtaerBDBbbfApbvubaobdFBBDeDBxwcvBeBBubFnaDcArBFaBvnfBBnvBypvBBFuyBBEBBBquuByDBvvtBBBgkj,4.050000
1,0,wajagcAanhxyAyyjddaBnzyBycuDauoBpqtaerBDBbbfApbvufaobdFBBDeDBxwcvBeBBubFnaDcArBFaBvnfBBnEBypvBBFuyBBEBBBquuByDBvvtBBBgkj,0.000000
1,0,wbjagcAthhxyzwBxAdaBnzyBycuDauoBpqAaerBuBBbfmpbvuyaobduBBDerBxwcvBesBubFnaDcBrxFdBvnefBnvBtpveBxuyBBEBmBqubxqDBvvtBBBglC,3.280000
1,0,wzcagczwFrEjurkupzDBBFwyycufDudfcqDscrpBbmkbBBbvDxvnbbqqfBBfdBBBvofkFmFosuiBcrDbpBvcBBbsmBlbvBbBFBBBvBwBBBwlpBBvvfBwxgab,4.130000
