pop_num,upd,entropy
0,-1,187.299860
0,0,178.198155
0,1000,200.918144
0,2000,202.909677
0,3000,198.135215
0,4000,197.871823
0,5000,199.651986
1,-1,220.271219
1,0,212.230293
1,1000,208.255386
1,2000,206.157182
1,3000,205.827613
1,4000,209.014905
1,5000,210.338215
2,-1,232.508730
2,0,222.565762
2,1000,224.239838
2,2000,216.251523
2,3000,221.573741
2,4000,221.554038
2,5000,214.340810
3,-1,209.249235
3,0,204.843821
3,1000,216.630630
3,2000,212.577974
3,3000,215.165883
3,4000,219.384046
3,5000,224.484592
4,-1,209.456614
4,0,201.485930
4,1000,209.281619
4,2000,204.834707
4,3000,211.870681
4,4000,211.172297
4,5000,211.366566
5,-1,196.177776
5,0,189.689611
5,1000,197.633174
5,2000,198.701077
5,3000,196.500813
5,4000,197.962955
5,5000,205.250875
6,-1,222.358816
6,0,213.170975
6,1000,228.618170
6,2000,228.561569
6,3000,238.861134
6,4000,237.143774
6,5000,235.466905
7,-1,232.143341
7,0,228.039979
7,1000,230.579836
7,2000,227.438028
7,3000,212.702350
7,4000,205.200810
7,5000,207.248894
8,-1,161.445843
8,0,160.862032
8,1000,158.917929
8,2000,162.671710
8,3000,172.015157
8,4000,185.007120
8,5000,190.064197
9,-1,211.847953
9,0,205.938070
9,1000,217.992737
9,2000,219.844503
9,3000,219.632637
9,4000,216.950715
9,5000,218.950836
10,-1,229.052102
10,0,223.191341
10,1000,226.604988
10,2000,214.298735
10,3000,212.919950
10,4000,216.635461
10,5000,223.982810
11,-1,194.818834
11,0,189.396351
11,1000,197.297792
11,2000,199.856129
11,3000,202.336665
11,4000,203.926968
11,5000,209.112085
12,-1,177.602766
12,0,170.752456
12,1000,182.317775
12,2000,184.415482
12,3000,182.701786
12,4000,181.532706
12,5000,181.966856
13,-1,205.959599
13,0,200.011684
13,1000,200.907162
13,2000,194.088414
13,3000,205.392507
13,4000,210.650588
13,5000,211.681496
14,-1,211.175129
14,0,202.148017
14,1000,212.723445
14,2000,207.259625
14,3000,203.730617
14,4000,207.683797
14,5000,206.387083
15,-1,195.708418
15,0,189.739593
15,1000,196.708758
15,2000,184.652642
15,3000,188.124353
15,4000,197.338186
15,5000,202.245132
16,-1,208.081210
16,0,201.900024
16,1000,212.305213
16,2000,216.537920
16,3000,221.903232
16,4000,227.456008
16,5000,231.486557
17,-1,176.677024
17,0,171.444319
17,1000,185.872478
17,2000,190.832498
17,3000,189.422227
17,4000,191.091210
17,5000,197.764454
18,-1,206.282832
18,0,201.010266
18,1000,216.441958
18,2000,216.604505
18,3000,217.044003
18,4000,218.540685
18,5000,209.963658
19,-1,197.601229
19,0,193.818282
19,1000,192.761226
19,2000,191.053575
19,3000,197.260960
19,4000,204.894771
19,5000,209.290296
20,-1,188.249762
20,0,182.997305
20,1000,199.377512
20,2000,197.665185
20,3000,199.015172
20,4000,202.790343
20,5000,205.357840
21,-1,215.340268
21,0,209.606411
21,1000,226.075242
21,2000,229.470957
21,3000,228.940813
21,4000,234.776485
21,5000,238.058960
22,-1,205.711133
22,0,197.627292
22,1000,203.823862
22,2000,204.473566
22,3000,210.603402
22,4000,214.346654
22,5000,218.957954
23,-1,199.026899
23,0,191.857574
23,1000,209.140638
23,2000,214.536038
23,3000,212.207151
23,4000,205.402030
23,5000,215.059516
24,-1,194.121202
24,0,188.384163
24,1000,207.070640
24,2000,203.929534
24,3000,198.483074
24,4000,211.558150
24,5000,208.591832
