pop_num,upd,entropy
0,-1,247.633054
0,0,239.565963
0,1000,227.000000
0,2000,216.279080
0,3000,201.387491
0,4000,202.147744
0,5000,196.536539
1,-1,242.537533
1,0,233.220777
1,1000,109.957921
1,2000,136.116953
1,3000,146.876377
1,4000,170.120962
1,5000,179.507838
2,-1,220.446621
2,0,214.574655
2,1000,205.669619
2,2000,205.580073
2,3000,199.268087
2,4000,202.368650
2,5000,201.876280
3,-1,206.624161
3,0,200.925716
3,1000,205.669619
3,2000,205.580073
3,3000,199.268087
3,4000,202.368650
3,5000,201.876280
4,-1,246.020516
4,0,235.545940
4,1000,217.100400
4,2000,226.885455
4,3000,230.375620
4,4000,228.148493
4,5000,226.257262
5,-1,245.635387
5,0,241.337178
5,1000,224.277793
5,2000,146.549076
5,3000,158.730312
5,4000,178.051261
5,5000,188.034867
6,-1,243.987840
6,0,237.697937
6,1000,93.897231
6,2000,132.264492
6,3000,159.823807
6,4000,166.191419
6,5000,179.290772
7,-1,219.101470
7,0,213.201493
7,1000,93.897231
7,2000,132.264492
7,3000,159.823807
7,4000,166.191419
7,5000,179.290772
8,-1,279.126825
8,0,267.777067
8,1000,227.150968
8,2000,228.878675
8,3000,224.667162
8,4000,229.735848
8,5000,234.370462
9,-1,248.092049
9,0,239.912666
9,1000,222.619892
9,2000,222.927603
9,3000,214.417257
9,4000,218.343636
9,5000,213.182116
10,-1,233.400753
10,0,226.606947
10,1000,199.689588
10,2000,202.157180
10,3000,207.209338
10,4000,200.500623
10,5000,208.151454
11,-1,256.069597
11,0,248.508628
11,1000,221.453083
11,2000,209.111460
11,3000,214.433767
11,4000,220.430285
11,5000,221.803159
12,-1,240.838427
12,0,236.604868
12,1000,221.453083
12,2000,209.111460
12,3000,214.433767
12,4000,220.430285
12,5000,221.803159
13,-1,241.745920
13,0,229.404090
13,1000,212.113213
13,2000,209.572273
13,3000,195.551615
13,4000,203.363862
13,5000,206.759998
14,-1,239.532617
14,0,232.173115
14,1000,137.175368
14,2000,146.124328
14,3000,164.186577
14,4000,164.955799
14,5000,179.617149
15,-1,239.538526
15,0,230.984709
15,1000,209.124432
15,2000,177.447187
15,3000,190.958270
15,4000,200.435295
15,5000,207.630493
16,-1,244.293344
16,0,237.585226
16,1000,117.784454
16,2000,120.634908
16,3000,135.364234
16,4000,155.342860
16,5000,170.750428
17,-1,250.646413
17,0,242.720357
17,1000,190.719089
17,2000,189.008014
17,3000,192.465012
17,4000,198.001560
17,5000,202.026571
18,-1,236.311571
18,0,230.455491
18,1000,190.719089
18,2000,189.008014
18,3000,192.465012
18,4000,198.001560
18,5000,202.026571
19,-1,250.321799
19,0,244.650996
19,1000,153.364788
19,2000,178.872789
19,3000,195.384839
19,4000,206.735279
19,5000,214.096427
20,-1,238.351233
20,0,229.664899
20,1000,201.014477
20,2000,196.482939
20,3000,201.278802
20,4000,210.085325
20,5000,218.193431
21,-1,229.344597
21,0,221.003688
21,1000,198.754931
21,2000,189.887359
21,3000,193.326852
21,4000,186.749386
21,5000,193.601487
22,-1,242.421240
22,0,231.369995
22,1000,221.716646
22,2000,210.761136
22,3000,214.008692
22,4000,214.050481
22,5000,213.635153
23,-1,227.760444
23,0,223.578669
23,1000,85.427710
23,2000,112.652332
23,3000,138.989008
23,4000,142.526531
23,5000,146.647940
24,-1,228.376263
24,0,219.540703
24,1000,205.995557
24,2000,191.695454
24,3000,199.202393
24,4000,204.482406
24,5000,203.243267
25,-1,226.680767
25,0,219.413685
25,1000,187.926239
25,2000,204.235024
25,3000,207.977590
25,4000,214.787045
25,5000,217.784463
26,-1,229.580394
26,0,221.568215
26,1000,219.416965
26,2000,223.360593
26,3000,224.283611
26,4000,219.495673
26,5000,212.008595
27,-1,235.313879
27,0,227.496007
27,1000,217.321368
27,2000,209.580682
27,3000,201.199285
27,4000,202.204227
27,5000,208.804358
28,-1,228.492563
28,0,224.545641
28,1000,86.724028
28,2000,109.743235
28,3000,137.607718
28,4000,159.166756
28,5000,176.886608
29,-1,245.766115
29,0,235.713400
29,1000,220.401054
29,2000,219.320099
29,3000,222.571283
29,4000,225.487018
29,5000,218.206351
30,-1,218.325333
30,0,210.482624
30,1000,199.586551
30,2000,188.574566
30,3000,200.499196
30,4000,210.941441
30,5000,217.738091
31,-1,228.355085
31,0,220.948530
31,1000,48.608750
31,2000,83.863629
31,3000,111.058279
31,4000,138.324896
31,5000,150.970026
32,-1,231.081445
32,0,223.493384
32,1000,85.801552
32,2000,117.234637
32,3000,148.818069
32,4000,169.500467
32,5000,179.569029
33,-1,229.892561
33,0,221.908131
33,1000,202.748129
33,2000,217.074427
33,3000,219.635869
33,4000,221.026759
33,5000,224.712634
34,-1,225.810291
34,0,220.367380
34,1000,162.284036
34,2000,200.042127
34,3000,207.461148
34,4000,212.799337
34,5000,211.584145
35,-1,242.129017
35,0,233.392691
35,1000,220.287261
35,2000,221.498238
35,3000,229.581222
35,4000,230.792343
35,5000,235.263440
36,-1,224.313456
36,0,216.747681
36,1000,222.709410
36,2000,212.273397
36,3000,211.941739
36,4000,215.839255
36,5000,216.135909
37,-1,184.617985
37,0,182.901053
37,1000,222.709410
37,2000,212.273397
37,3000,211.941739
37,4000,215.839255
37,5000,216.135909
38,-1,242.646833
38,0,233.801391
38,1000,233.139259
38,2000,227.829666
38,3000,226.647256
38,4000,216.333883
38,5000,224.974333
39,-1,232.715652
39,0,226.827138
39,1000,171.643481
39,2000,185.221156
39,3000,197.213508
39,4000,203.931892
39,5000,210.804272
40,-1,231.948605
40,0,224.223707
40,1000,99.172005
40,2000,127.538479
40,3000,149.995254
40,4000,155.504232
40,5000,150.889674
41,-1,216.654405
41,0,209.345237
41,1000,210.596500
41,2000,216.386325
41,3000,214.415001
41,4000,209.531119
41,5000,208.562509
42,-1,196.678196
42,0,189.126027
42,1000,192.407926
42,2000,198.478187
42,3000,202.311999
42,4000,207.457525
42,5000,204.839258
43,-1,223.098674
43,0,214.092476
43,1000,186.663968
43,2000,195.594822
43,3000,206.652660
43,4000,209.892351
43,5000,209.335878
44,-1,253.105284
44,0,244.973657
44,1000,209.465543
44,2000,230.750909
44,3000,226.848062
44,4000,227.865059
44,5000,217.809692
45,-1,221.279910
45,0,212.958996
45,1000,213.812892
45,2000,204.325380
45,3000,205.183425
45,4000,202.773916
45,5000,200.140033
46,-1,232.646852
46,0,222.868339
46,1000,206.928785
46,2000,175.078968
46,3000,180.975792
46,4000,194.059680
46,5000,202.324126
47,-1,226.004539
47,0,217.798259
47,1000,205.732077
47,2000,193.168921
47,3000,205.261681
47,4000,202.852261
47,5000,203.170442
48,-1,248.040378
48,0,238.305883
48,1000,188.826051
48,2000,197.374182
48,3000,198.142901
48,4000,209.250838
48,5000,213.661473
