res_ab,pop,mut,repl,upd,dominant_scf,peak_by_dominant,entropy
100k,100,h,16,100000,4.530000,0,188.376053
100k,100,h,17,100000,13.550000,-1,92.047209
100k,100,h,18,100000,18.340000,2,87.625723
100k,100,h,19,100000,21.540000,3,72.720596
100k,100,h,20,100000,8.740000,-1,236.023710
100k,100,h,21,100000,21.640000,3,95.225613
100k,100,h,22,100000,4.840000,0,98.374160
100k,100,h,23,100000,7.800000,-1,107.006795
100k,100,h,24,100000,17.560000,2,73.833805
100k,100,h,25,100000,13.650000,-1,103.240865
100k,100,h,26,100000,21.750000,3,107.550145
100k,100,h,27,100000,10.440000,1,122.325520
100k,100,h,28,100000,21.220000,3,83.167534
100k,100,h,29,100000,5.460000,-1,102.430209
100k,100,h,30,100000,13.160000,-1,85.985337
100k,100,h,31,100000,4.000000,0,81.958485
100k,100,h,32,100000,20.940000,3,70.038643
100k,100,h,33,100000,17.820000,2,105.029619
100k,100,h,34,100000,16.210000,-1,229.909574
100k,100,h,35,100000,15.660000,-1,83.813518
100k,100,h,36,100000,17.310000,2,76.676783
100k,100,h,37,100000,17.430000,2,65.750870
100k,100,h,38,100000,13.210000,-1,90.804712
100k,100,h,39,100000,13.390000,-1,90.147695
100k,100,h,40,100000,2.180000,-1,230.351432
100k,100,h,41,100000,10.820000,1,82.715182
100k,100,h,42,100000,9.140000,-1,91.417459
100k,100,h,43,100000,13.410000,-1,77.995334
100k,100,h,44,100000,11.110000,1,91.156584
100k,100,h,45,100000,22.610000,3,74.582868
100k,100,h,46,100000,21.810000,3,80.797831
100k,100,h,47,100000,20.660000,3,82.543835
100k,100,h,48,100000,18.820000,2,113.634779
100k,100,h,49,100000,18.470000,2,71.099069
1000k,100,h,0,100000,2.300000,-1,81.562640
1000k,100,h,1,100000,8.900000,-1,93.394337
1000k,100,h,3,100000,18.310000,2,71.652498
1000k,100,h,4,100000,2.000000,-1,112.650746
1000k,100,h,5,100000,4.120000,0,77.800330
1000k,100,h,6,100000,3.170000,0,104.776394
1000k,100,h,7,100000,4.670000,0,66.946646
1000k,100,h,9,100000,8.920000,-1,79.876599
1000k,100,h,10,100000,20.310000,-1,115.606525
1000k,100,h,11,100000,18.190000,2,100.438495
1000k,100,h,12,100000,17.710000,2,76.421451
1000k,100,h,14,100000,8.430000,-1,86.911051
1000k,100,h,15,100000,10.350000,1,91.761247
1000k,100,h,16,100000,17.460000,2,61.393343
1000k,100,h,17,100000,5.370000,-1,73.060623
1000k,100,h,18,100000,21.310000,3,90.857826
1000k,100,h,19,100000,10.210000,1,101.856936
1000k,100,h,20,100000,17.830000,2,99.010508
1000k,100,h,21,100000,10.670000,1,102.910600
1000k,100,h,22,100000,13.520000,-1,85.881358
1000k,100,h,23,100000,17.830000,2,106.781320
1000k,100,h,24,100000,8.870000,-1,99.590536
1000k,100,h,26,100000,18.490000,2,88.734346
1000k,100,h,27,100000,9.110000,-1,93.823578
1000k,100,h,28,100000,17.930000,2,89.781497
1000k,100,h,29,100000,21.660000,3,86.686615
