"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"100k","l",500,42,100000,1728782,"wzcagcjzxEEvoAlIAHzAJALyycuopburuBEBdBwBByBBEBBBBBABAmBpBBBBBBsyBBfnrfwoBBvvBDBlBBAyIAGptABDnrBBBBBBBBBBvBBBnBBzvvhaxgab",50.0606,15.41,46,4,4,111,15.26,2
"100k","l",500,36,100000,1693814,"wzcagctJaukaEtpIjljaEmkaycDoacuvcveeABArBDvBBmsrFBBjBBBBBuELABABvBnoBtBBBpBBBBBBmnBKBBoBAByxBBuyBjmBBEBBBBBEBBBzvLqvxgab",0,15.4,44,5,5,115,15.4,2
"8k","l",500,2,100000,1847487,"wzcagcHvyyExxEyJiffmcAjaycuopcucBvkBBkBpoxwBBBELBfABsaBcBxABkfKKqABAkjBBBdBGLEBeBBLnBBABGBvBAAABByBBivuxqdiedCLzvvyaxgab",13.1137,15.4,30,15,15,111,15.48,2
"100k","l",200,28,100000,783476,"wzcagclucCEycGEjziAHbpHyycubGGucByAnlBBmBByBtbnrBpBFBBEBBBBBEBBBBBBuojBvBBvbBtrBBBBBBBBBBBAcyycEmrCdwBykBBBJBABzvvsaxgab",69.1868,15.31,44,1,1,116,15.22,2
"100k","l",500,4,100000,1645417,"wzcagcvDGCEmmCIBbtAAyDGEycucuckDkBBwnBBBvsBBBBBvAEkBpBJBEBBABuAJBxBBtcBpBBBlBBBBBBBBAbBBsBwBBBBBBaBBBBBBByvpBBHzvvmaxgab",43.1723,15.31,55,0,0,114,15.32,2
"8k","l",100,3,100000,406567,"wzcagcpGKnwHvEirdkCABrxyycuopcuyBAfGecjIBByGAnaBBEfBvAfBBvwBEuABbBGBrBBvBEBBytBAABBBBBBAAnBBArBBBJBBBBABBByBmtizvvlaxgab",22.2542,15.3,39,6,6,109,15.34,2
"1000k","l",500,46,100000,1855209,"wzcagcCHiiEzoubIpAEAtaqyycuopcuyBBFBABfEEBbBJbBByvBubBaqBacroBBBBEBybBBtBBBBnBaBBGyBBBBBBBBpBBBBvBurBBBBBBBBBryzvvmaxgab",0,15.4,48,1,1,117,15.12,2
"1000k","l",500,10,100000,1840329,"wzcagcwsfjEJCvABjaAowBsyycuopcucBBEBByEBBBBqBBBBBBmBBBBvBBbuByBBBBtBvBBrBFBBBeByBBBBGBBBBEvGqBBBBBBBBBBEBBBBByczvvtcxgab",52.9796,15.38,59,2,2,118,15.3,2
"100k","l",500,9,100000,1703459,"wzcagcHpukEmbbwmyvAIlCqyycuopcBypsuGdBvyuABKvybacAajqcDBAucBpbJLsBBBBBucBBBBEEdcBBBBBBBGByBBBBBBbBBBBBEBBBBBvLBzvvhaxgab",0,15.34,41,5,5,116,15.37,2
"1000k","l",100,42,100000,387840,"wzcagcvHcvEicKAKuAlvzhayycuopccyBEqBBBBoBoDsBBBBBmBwBxDBByDBvqBswBBBBmrBBBBBBBBBBBBBlBBBBnaBBBBuBBEcBBbEAupuzcAzvvpaxgab",37.2154,15.35,49,2,2,116,15.63,2
"100k","l",500,11,100000,1837998,"wzcagctcanEufqItncicljDyycuopcucdaaBJfBBEByBBsBBpvvLBBxBBBLBmJBBBBIBBjBtBLBBBBBBBytAyBBBEBtcBBBBBEBBBBBBBBBBBBBzvvoaxgab",33.4011,15.33,52,6,6,119,15.25,2
