"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"100k","l",500,41,100000,2822245,"wzcagcKBbbEECBBkaEnAAAByycuopcucJBebwdylByBtyBBBBBAABtBrBBBBBBBsBBABBycrkcCIbABBaqyycfoGeDCBBAaBBBABByKBBBBABEBzvvvvxgab",41.7405,21.46,44,6,6,110,21.45,4
"1000k","l",200,5,100000,876618,"wzcagcrDimEbapjCAccBjBByycuIucGyKIBBBnBBBpBBEBblBBBnaIBIBkBBBBBEBBBBBABBBbkBBBBBBABBBBBBBBBJBsBABBBucBBBBBBBEBqzvvvvxgab",55.6745,21.49,60,1,1,116,21.23,4
"100k","l",200,12,100000,1037730,"wIzagczAAjEEoaicEBoykaGyycuopcuBaqJrBBBIBBBBBBBBxBBBjfBJoBJcBaBByyBtBoBIytcBBBEBBBdnpBBKBBBBBBBBJBBBBBBBBBscBBBzvvvvxgab",74.375,21.46,52,3,3,118,21.24,4
"100k","l",500,41,100000,2822245,"wzcagcGdbAEECBDkkEyAAAByycuopcucJBBBwqyLByBtyBBBBBBBBtBrBBBBBBlsBBABBycrkcCIbAcBadyyczoGqDCBBAGBBBABByKBBBBnBEBzvvvvxgab",42.5416,21.33,45,4,4,112,21.37,4
"10k","l",100,49,100000,572559,"wzcagcCAJBEEfJfcEEycmGByycurbIucGDpwKsyDcjBBxGBBDBByxBdaaBEBxnBqfKtIrBpBBBBkuBABBAqBBuorBBBBBBGoBIBBBBBBBBjyABBzvvvvxgab",48.356,21.33,43,6,6,116,21.33,4
"10k","l",200,17,100000,918152,"wzcagcwtjqEjhaiamaiEzEGyycuJroucBwDuExmxBBcdBxBbkypABAdDBBAutrBadqocjjyjsBaBBwBdBrBBBABGjwBBBByBxBBBoxBBuBnBBBBzvvvvxgab",34.7959,21.49,35,4,4,116,21.37,4
"100k","l",500,41,100000,2822245,"wzcagcjCGuEEjBkkBEddqpByycuopcuccBLBBeywBydtyBBBBbABBtBrBBqBBABsBBABBycducCjrKABaAAfyCIBBaCBBABByBJBBBDBBBBBBEBzvvvvxgab",42.7355,21.37,46,8,8,113,21.26,4
"10k","l",100,49,100000,572559,"wzcagcCAJBEEfJfcEECzmGByycurbIucGDpwKsyDcjBBxGeBDBByxBxaqBEBxnBqfKtIrBpBBBBKuBABBAqBBuorBBBBBBjoBBBxBBBBBBjyABBzvvvvxgab",58.5141,21.43,43,7,7,116,21.26,4
"10k","l",200,17,100000,918152,"wzcagcwtjqEjhaiamaiEzEGyycuJroucBwDuExmxBBcdBxBDkypABAdDBBAutrBadqocjjyjsBaBBwBdBrBBBABGjwBBBByBxBBBoxBBuBnBBBBzvvvvxgab",36.6515,21.41,36,4,4,116,21.37,4
"8k","l",500,9,100000,1930488,"wzcagcofamEhhtfxuqiAeEJyycuopcujBqAjGBBBBoAdBAaBIaIBBErjcjxExBABBjnBbBBDBBBBpABBqArBBAJBLfLBGfeerBBBBBBJBJiyztszvvvvxgab",18.7159,21.35,33,10,10,112,21.43,4
"10k","l",200,5,100000,1070909,"wzjagcDkHlEtbscEtxHjlJAyycuoBaurBBtBoGnBBABqBftBBepekGAEuBGeKBnBGoEBBBempABmDtBArBBBfBBBebBJBbBByfBBBBLbBBBBxaBzvvvvxgCb",17.8425,21.37,40,10,10,115,21.26,4
"10k","l",200,5,100000,1070909,"wzjagcDkHlEtbscEtxHjlJAyycuoBaurBBtBoGLBBABqBAtBBepjkcAEuBGeKBnBGoEBBBemeABmDtBArBBBfBBBebBJBoBByfBBBBLbBBBBxaBzvvvvxgCb",4.25032,21.32,40,10,10,114,21.7,4
"10k","l",500,43,100000,1851396,"wzzagcGlDAEKcyklCGprckBnycuopcoyBAABIecBBdBayABfAjaJuquBqBrGBABBGyABBtpBEBBABxmpEBIBeoJBuBItowryBBBAEprByBBBBBBzvvvvxgtb",0,21.42,34,5,5,111,21.08,4
"100k","l",500,41,100000,2822245,"wzcagcjCAfEEjBkkpEAAqpByycuopcuccBLBBedIBybtyBBBBBABBtBrBBqBBtBsBBABBycdKcCBrKABaAAfyCIBBaCBBABBynbBBBDBBBBBBEBzvvvvxgab",41.7438,21.42,46,8,8,111,21.32,4
