"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"100k","l",500,26,100000,1693496,"wzcagcCryLEyjzbCBvvHastyycuopcuyyocBbvawdJvLJvuJBrBBBBoByBjABBAGaEBBxBvcArBtcBcBBBEBBBBBBBBBBmBBBBBBxBABBEAwBBBzvvcvxgab",60.3178,17.98,43,3,3,115,18.24,3
"1000k","l",500,34,100000,1738796,"wzjagcsczIEfnkvvbBwCyBbyycuAucoyyBBBvKBqAuBBfBABBIvAaBBBBuBBBBBlcAIiABbrBBqBpuArBBBKBBBBBBBBEBBBtBBBBBBBBBBEBBEzvvfaxgjb",163.655,17.97,51,5,5,113,17.71,3
"1000k","l",200,28,100000,921542,"wzcagcvxqqEyndaDpvsbCyodycuoucByBBBptBBBBBBBBBByBBBlbvBBBAvkBBBorbtcBecvBBBvBBEBBwEByBoBpoBoLsJsItobKBBBBKqBuEBzvJvvxgab",71.2581,18,43,6,6,119,18.28,3
"1000k","l",200,26,100000,788296,"wfjagcIHCyEBpBGpmvuqAJwyycuopcuryBBBBBBBAuBABpbBIBBDBLgBBBwKBBnBGBBBBvBBBBeBBBvBvpBsBAByBtEGBrBBBBBBEBBBBEBBBBBzvvfaxghb",47.8513,17.98,55,5,5,116,17.69,3
"1000k","l",500,48,100000,1916426,"wzcagcwyxjEAirqaJJxAdyfuyuuopcuycEGGvjIoeducIEBBrbBfvyBBBwBBedBsBvBpcBvBBBBBBBBBvBBvBBBBBBBpEBBBBBBBsBByBBBBBBBzvvvcxgab",67.3636,17.95,46,7,7,118,18.23,3
"8k","l",200,10,100000,753342,"wzcagcmtuaEBxHBIAKCwIHlyycucbAurvBBBBbcBBBBxEAvKfBBBBABBDBBByGvKddAEBjlBBBJnjBDtEpBkBoBsucBpBBrAacxyqutuCAJrovzvvfcaxgab",11.2674,18.06,34,7,7,113,17.83,3
"1000k","l",500,0,100000,1822732,"wqjagcuEojEloyvGAAvalvtyycuoebuycjAfwcAEvGDbdrbBICaBBxAyBBvjDbBbBqBBBBGBfpBEBBvuBBBucBBBBBBBBBBBBBBBBBBBBBBBBBBzvvvaxgab",51.4457,17.99,47,4,4,115,17.97,3
"1000k","l",200,16,100000,727967,"wzzagcrAxAEpvxkmvplnGkEyycuoucBBvBBBBIBBBBBBBBvBvBBBBBBBBBBsBBBBBEBBBBBBBBBmBBfBBBEpByBpBBBdBBlBBBwBKkBABuBuvAyzvvvJxgab",43.3373,17.95,58,3,3,116,17.84,3
"10k","l",500,46,100000,2021724,"wzcagcbvamEvcpEfvjLbIqdyycuopcucBIxBAEBDyBIjbeBDocbwBDLekAqBbJBytrBLBBBLvBwyBIBBAAABvEBsBBqJrBBBBBdfyyBpnBbBvtyzvvvaxgab",15.5045,18.01,31,10,10,115,18.25,3
"1000k","l",200,26,100000,788296,"wfjagcIHCyEBpBGpmvuqAJwyycuopcuryBBBBBBBAuBABpbBIBBDBLgBBBwpBBnBdBBBBvBBBBeBBBvBvpBsBAByBtEABrBBBBBBEBBBBEBBBBBzvvfaxghb",47.9197,17.98,55,5,5,115,17.69,3
