genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"geno",4.000000,0,0,0,0,0,0,0,0,0
"wzcagccluzEkowedamoecdJyucuopcJaEffoIEwjqBtKAyDvBBqBxAueIBobAGqdrsvBvAAABqBvBBBmwBaBGBrBBBBBocBBprBByBBEABBjBttzvfcaxgab",116.000000,5,0,0,8,0,0,16,0,0
"wzcagcvsqCEmmCsBbvDAybAEycucucvxBBBynBBBvsBBBBBvAEBBpBBBEBBABujBBxBBtcBpBBBBBBBBBBBBAeBBsBBBBBBBBBBBmBBBByvBBAwzvfcaxgab",117.000000,0,0,0,23,0,32,0,0,0
"wzcagcAqrmEwmxqzAspHsHHyycuLBDucByIBBkyxFbBIEodxBbspAlKBIBGAJBqGnBBEwAkDBBavBLwAtJBrBBtBBqBEBBqBBxBDBEBLBBJBvvDzvfcaxgab",117.000000,0,1,0,13,15,0,0,0,0
"wzcagcrbCIEyABqIvLiaAcEyycuopcByEBvGBqKJyfxuABDrqBroBABwJrBBBBBbBBfyjuBurBBrrBoBDBBDevylxBdBHAcFuAvLbiGEEvACBBGzvfcaxgab",116.000000,0,8,0,10,8,0,0,0,0
"wzcagcnriAEvcawCJsymujByycuuucuBsAmLrKhBByBcLBEBBlCaqBfqBbBIulpBBBtjBbEqsnaBBBABosxGqwByBwBBABdvKADBBBjsrEBBBBBzvfcaxgab",116.000000,0,2,0,0,5,25,0,0,0
"wzcagcfnmJEvbmuwfGAhxKAyycuopcuydymJALExqsAEABBvJLBBBecrBexBBbABknjlBvBBdvBmGBBmBysBrdBeuylKfbEIpuucABpBBABIBBHzvfcaxgab",114.000000,0,5,1,1,1,12,6,0,0
"wzcagcCoKvxvCwDvJcqABEByycuAucKyBbBxsBBBBBvBBoBEBBBBBBBBBEBBBocBvBBpBuBByBBrtIyCtAoCpzsGHcAycyklEvvlzCBjGlbfwiozvfcaxgab",114.000000,0,0,0,30,0,1,0,0,0
"wzjagcfmdaEvrtIKzCvvsafyycuopcvyBtlAJAtByvBAourByBBBBtnBrAyBvyBqBBmBEvByjsBpBpBJqExBBoBjEAABDBJBsucBBBBByBAjBABzvfcaxgab",118.000000,0,5,0,7,16,0,8,0,0
"wzcagcfAkvEvzmsjqdjqKHLmycuoaeuycAABarBuJrBDjBuABojrABpLfucBBBErBIBBdByBdBxBBfBjExEBBBnJBlBBdvxABBIBmqAAIBwBBBHzvfcaxgab",116.000000,0,0,0,0,23,0,4,0,0
