"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"10k","l",500,0,100000,1930071,"wzcagccluzEkowedamoecdJyucuopcJaEffoIEwjqBtKAyDvBBqBxAueIBobAGqdrsvBvAAABqBvBBBmwBaBGBrBBBBBocBBprBByBBEABBjBttzvfcaxgab",0,13.38,29,10,10,113,13.46,1
"100k","l",500,4,100000,1645417,"wzcagcvsqCEmmCsBbvDAybAEycucucvxBBBynBBBvsBBBBBvAEBBpBBBEBBABujBBxBBtcBpBBBBBBBBBBBBAeBBsBBBBBBBBBBBmBBBByvBBAwzvfcaxgab",38.9286,13.52,59,2,2,114,13.92,1
"10k","l",500,33,100000,1731291,"wzcagcAqrmEwmxqzAspHsHHyycuLBDucByIBBkyxFbBIEodxBbspAlKBIBGAJBqGnBBEwAkDBBavBLwAtJBrBBtBBqBEBBqBBxBDBEBLBBJBvvDzvfcaxgab",8.27111,13.37,34,6,6,114,13.31,1
"8k","l",200,42,100000,721342,"wzcagcrbCIEyABqIvLiaAcEyycuopcByEBvGBqKJyfxuABDrqBroBABwJrBBBBBbBBfyjuBurBBrrBoBDBBDevylxBdBHAcFuAvLbiGEEvACBBGzvfcaxgab",15.0936,13.45,31,8,8,113,13.38,1
"8k","l",200,48,100000,724019,"wzcagcnriAEvcawCJsymujByycuuucuBsAmLrKhBByBcLBEBBlCaqBfqBbBIulpBBBtjBbEqsnaBBBABosxGqwByBwBBABdvKADBBBjsrEBBBBBzvfcaxgab",16.3252,13.54,35,7,7,115,13.24,1
"10k","l",500,21,100000,1903465,"wzcagcfnmJEvbmuwfGAhxKAyycuopcuydymJALExqsAEABBvJLBBBecrBexBBbABknjlBvBBdvBmGBBmBysBrdBeuylKfbEIpuucABpBBABIBBHzvfcaxgab",18.7817,13.49,24,14,14,112,13.48,1
"100k","l",500,22,100000,1755679,"wzcagcCoKvxvCwDvJcqABEByycuAucKyBbBxsBBBBBvBBoBEBBBBBBBBBEBBBocBvBBpBuBByBBrtIyCtAoCpzsGHcAycyklEvvlzCBjGlbfwiozvfcaxgab",17.4693,13.49,39,4,4,116,13.68,1
"10k","l",200,6,100000,717126,"wzjagcfmdaEvrtIKzCvvsafyycuopcvyBtlAJAtByvBAourByBBBBtnBrAyBvyBqBBmBEvByjsBpBpBJqExBBoBjEAABDBJBsucBBBBByBAjBABzvfcaxgab",24.8746,13.4,34,5,5,112,13.61,1
"10k","l",500,40,100000,1750489,"wzcagcfAkvEvzmsjqdjqKHLmycuoaeuycAABarBuJrBDjBuABojrABpLfucBBBErBIBBdByBdBxBBfBjExEBBBnJBlBBdvxABBIBmqAAIBwBBBHzvfcaxgab",0,13.36,32,12,12,112,13.21,1
"100k","l",200,35,100000,726976,"wzcagckAfEEycABcltksckCyycuopcurBBxBBBBBBEoBBBxBBBArBAvvrBBBBGBvBBBIBBBBBBBraAyafnKAqKApaBBBEpuBuBbvvjBBLcBbBBvzvfcaxgab",0,13.38,42,6,6,113,13.8,1
"8k","l",200,30,100000,732151,"wzcagcveivFGlimFrBDpnlcyycuopcuIcIoBwvvFvdwejDABxvrLAyBxwapfryufBAxAAyBbBBdFtoBrBBBBBBBBBBBBBBaBBsBBDBvBdcKBdnBzvfcaxgab",12.7044,13.51,34,11,11,115,13.72,1
"1000k","l",500,27,100000,1700877,"wzcagcAqtAExAvvIftrvydCyycuDvBucBBBBBBBaBBBBBBBBBpBBGBBBBBkBsBBByxBBBBBBBBBEBEvBBBBAmBBBBBBovBDvBBBBoBEBvpvBBGBzvfcaxgab",30.9157,13.54,61,3,3,116,13.76,1
"10k","l",200,48,100000,720274,"wzcagcxzInEvDwvIrnjyjvlyycuoucyyBuBLxjKAABBBuAbroBBBBBBBBLByJuBBBqBBBByckjoesfCflyqBvEEpuiAkpapAAytLtjCLvnAxlkEzvfcaxgab",10.4193,13.43,25,9,9,113,13.59,1
"10k","l",200,24,100000,785544,"wzcagcCuyCErAAAEmACtAqAyGbuoeKucEpaGABvcBABqBquABByAwBBKBBBwmBBBBBtIpuBGBBBBBifflAABxHAAljLBEvvotAAJAAuvIAAAGAezvfcaxgab",12.3447,13.51,27,8,8,98,13.91,1
"10k","l",500,5,100000,1707755,"wzcagcvAquEDiaDrDjpyuAeyycuBaauoJxBEBALErjGnGBLaByBnLBcpBABuAAxAbBykaBBtAfnrBBGpsBBBuBxBBjrjIBBBBBpsynBBBBdBBEBzvfcaxgab",17.6127,13.44,35,7,7,112,13.05,1
"10k","l",500,28,100000,1749552,"wzcagcLLsaEJmbmGCfqakDxyycurbEurfxGvjqaDIyAmABEKBBxKvKtIKcByBjvvdBdBByaKBEABEJBKwBBIvBBoantAJJABrBBBBBBBBBBBBFBzvfcaxgab",14.5037,13.5,32,13,13,115,13.65,1
"8k","l",500,38,100000,1773497,"wzcagccAJLECcHcICBudnBByycucEBuyfBuAAoBnAAAAEKAmuBuvAAAbetKBkbnwyAvBvABBIvBGAABvDJGABbBmvsAdruyBBBBsByBmBBEBycwzvfcaxgab",8.57313,13.38,27,8,8,103,13.56,1
"100k","l",200,48,100000,712150,"wzcagcAcCJEKqAvGyBdBrbiyycuoGcurylkwBBABeABBBBsAkaBvBdcwBBxEyrBvBBADvtAArBByBvBBBBdBvBABBEsABBLoBBBBBBBBbBAEyBBzvfcaxgab",57.8885,13.48,42,7,7,109,13.71,1
"8k","l",500,5,100000,1719350,"wzcagcHJBwEHeruAbkeHzsuBycuopcuoDocBAKHmLalbnIBywBAaoIBuBEdvIqxKevurpBBuBDBxBucBBBBBxBdBBedBBBBBBBBkptfIEEBBBBBzvfcaxgab",0,13.48,35,12,12,117,13.79,1
"10k","l",100,44,100000,363985,"wzcagccADAEpbDHHtKHuikeyycuoucdBBAyBBBKBzDvBAEBtBBBvBfBBBtBkBBJJxApAaBorGIBBdADEKstEBeBvBDsBbxBBBBKBzBAlLDvetAbzvfcaxgab",5.89015,13.51,37,12,12,111,13.73,1
"10k","l",500,5,100000,1707755,"wzcagcvAquEDiaDrDjpyuAvyycuBaauoJxBEBALErjGnGBLaByBnLBApBABuAAxAbBykaBBtKfnrBBGpsBBBuBxBBjrjIBBBBBpsynBBBBdBBEBzvfcaxgab",0,13.49,35,7,7,112,13.19,1
"8k","l",500,45,100000,1755568,"wzcagcKmvmEKxomnHuAqoJFyycuoqcucEvBuDbouGBBAGKFAJBIoytpBxpfBIuAvEtrybDvAEBBeAeKsBaKdvaArBuEBBfBqpBBBuBrBBBDBBBBzvfcaxgab",29.2122,13.4,27,11,11,113,13.49,1
"8k","l",500,36,100000,1758323,"wzcagcfDmdEImCJzlpAsHliyycuopcuyyApfAKrpvfEvymsAeFyavoIyuErsljABtAnpuIBBuIorBJABIBBAccABBBpLLBurBvEByBBBvBBBByBzvfcaxgab",22.6828,13.41,23,9,9,111,13.51,1
"100k","l",200,14,100000,789946,"wzcagcmJumExzcCEelEtvsCyycuopcurBBBBycLvyzvqAbblrulnaCBCaBbjBBvBxBKFwjBBBmBBEBBFBvABzACkELcBpGBBsyBBBBBBtmoBBnyzvfcaxgab",15.8063,13.53,35,5,5,117,13.55,1
"10k","l",500,34,100000,1830079,"wzcagcjGvuEdzJBlpfoJAuqvycuopcByubexsmrwBfBBAuBrBryBJwBvBBvBJBLGBBvBEvBjBGBLxBpemBEBBlBBABJLBdBIcvcoqAxBzCHEvmozvfcaxgab",16.7544,13.46,30,10,10,116,13.71,1
"8k","l",100,22,100000,383367,"wzcagcqcAdEtLnymAEbbrsxyycuovourxBEaBBBuBkBtsBBBIItdsIAJBocnIvJGIjmvdepDdDBBGJmBpuydpDAcyAABnJuEBbscBBBBBByBBlvzvfcaxgab",19.4395,13.36,26,8,8,114,13.48,1
"8k","l",200,49,100000,730620,"wzcagczGAyEvklKvsIttfhpyycuodBucqyEBfKBAABmvedJBqpBfczEByLuDbBBLLmbswqrByBBmlLDBBBBBvBBBBBdBjBvIBwBysBEAALArwtnzvfcaxgab",20.9343,13.4,29,15,15,114,13.43,1
"8k","l",500,24,100000,1762775,"wzcagcrHsJEElwvuDGKuEAAyycuopcuBBAxrBBBBeBIByvBxBxyGBBpIBExBlaAsqyvJBdBBBtcJaBoBdBpBBnBBbGABwbBpBxdBBBBujyABJBBzvfcaxgab",7.8788,13.45,36,6,6,114,13.39,1
"1000k","l",500,32,100000,1644156,"wzcagcoAvkEmdCvGAqAyjbBvycuopcuBaAJBBErjBBBBABBBABABBBBBBBvEByyBBBBBBjBBtBBBBByBGAwBBABBBBBBBtcBBBBBBBBBBEBBBBBzvfcaxgab",38.8924,13.47,59,2,2,111,13.46,1
"8k","l",500,26,100000,1751101,"wzzagcdkGzElpijdadtDIsKyycuKucBylvBJBLvfjjAuLvBpKhmaotBqqDsAfIBBBedBuBIjlvBkEAvAGBBBxotEEryBBsBBBrByBIBBBBBBBBAzvfcaxgab",7.39473,13.54,31,13,13,115,13.5,1
"10k","l",500,49,100000,1759385,"wzcagcIwvrEsEHndozhwksxvyruIucjyuDBucjApEBABDBkBEBuFBrABBBdBBBBeABBBBBdAEdBBByIBjBkoBBBBsjmBycivzAnziwHvnipJojczvfcaxgab",13.275,13.54,31,6,6,114,13.39,1
"8k","l",500,0,100000,1846645,"wzcagcHuCBEkwvkIkdBBxBAyycuoBvuGcvAJrnEpyBpAvBAmBbAufBsBBAdAbbpvjBIqBsEaquytAjJrApBftrBBBnBBBIBBBBBAAEByBxBoBBBzvfcaxgab",18.1912,13.47,32,5,5,109,13.39,1
