genome,scf,scf_no_int_bio
geno,0.000000,0.000000
wzcagczBByEBxBDIvBdknBByycuopcupcvfavBbBJwEABbAirIBABABkbnAKaAAyytdrqyBbGBABocdBxfAEsorEyAfvBBBpBBBBIxufwrGBdBfzvfcaxgab,9.670000,13.390000
wzcagcdfdKEaJlniLHCEnvHGycuGucmyIDcGttEmBaBKvkmpDKkvkkxAbDvvvvwuByueduqBBrBBBuEBwBsBBBBtpEouBBBBxuBrBBBBBBBByclzvfcaxgab,9.720000,9.070000
wzcagciiAtEKmcnwAtiarEjyycuopcDbDBBaowyBJBAvBJqBBAtvmDAvbmnByuerdBABBEpIEGIBBBAtGvtBpBpxdBKBuwoDIBqGBBBBBBBBBBBBvvvvxgab,9.690000,9.350000
wzcagcEfpAEliHAayAtcbzByycuouruynBbIwnmpBABBoBBwBBaABByJLBusemBBBaBrBBBBucGBAByBBulBBBlBBpBLEvuBarBbBBBABfgeeFBzvfcaxgab,9.660000,0.000000
wzcagcAAleadvnzuAxoABtryycuupcuycqfGbLAowdmBpxAxEwmcABEvAirfBnfBBLJBBBBKBAvBmnBABpbBBBBBBEBAeABBBlanBBpBDBEBdmfzvfcaxgab,9.710000,12.850000
wzcagcvJHAErpcuaipsACbByycuoucByBBBvnBBEFBEAAnkBkBBBBBBvBBpBBBABByBekbBdtBBvdBxBbBBBBnBBBBarBBGBByBBBHmveduAEqAzvfcaxgab,9.700000,9.290000
wzcagcraqzEBnEoGydvkBbsyycuopruvBBABBArBBbvABBmEnBKBBbByABABvJKwnlBldemDAkmBpBJqBBtBKHBaqBrBBIEBBBqdBBBlfpBBelezvfcaxgab,9.660000,13.350000
wzcagcezByEmCpniAADswyIaycuvucnyuttBBmBAnBkBBvEdIBwByBnAEbBAtErBuBKAaByBBJBeBlBBGtBBBvBBsxBvBBABFKLBBbccpuABBvizvfcaxgab,9.630000,9.540000
wzcagcdrvbEvclmzxAbKwzzyycuxucJyaBBGvxcBBdyAvEBBuBucevBEyBuGdBkKfBxeEBBABAdjBBEBfkfllBBbJBqABBpuxkvABAABtrBBBBBzvfcaxgab,9.710000,9.580000
wzcagcypvxEwnAoevynuEpCyycuopcucsBBvBBsBLBABtaBBvmBBBBBBBDoyvkBEBBBBBBBbpBAEBBBBBBBLJBByBBAtBarBBBByBBBvBjBBBBEzvfcaxgab,9.750000,9.360000
wzcagcvLLiEjzqHuiADopbzyycuxKIucEfaKBoAEJjAALIBqBdcxyjLBtpqEBufvEtwyBBqBGdaBALFrbBxDtaAJAIfBcwtcBBBByaBBABBBBryzvfcaxgab,9.580000,9.800000
wzcagcbuCyEvCacvBuAfyfjyycuopcuycqjGADABAoryBtyvBtqBBBtBByaaEqarBysBrbBBBykBAEBBGBBBBsButBpBBBBBBBxkDAwEbLEBfAHzvfcaxgab,9.740000,9.230000
wzcagcrGoqEGrHnvoEfuezEJyruvucByujvucuApEBvBDBkjEBuFBrBBBBdBBBBsABBBBbdAEdBAByBBjBuBBBBBBAbBycivpJpcowmvGjprodczvfcaxgab,9.680000,9.900000
wzcagczsBGEBwBmBvBdbeBByycuopcupcvfavBdoBdEAdbABrKBfDBAlBDlKwdAyyttrqyBbrBdIocdBxeAEsorEyAfvBBBpBBBBIoufjruBdBfzvfcaxgab,9.660000,13.530000
wzcagcaAtenJvAzubAoeBtryBBuuucLycaIGerAobAIHpLfdEaAdAaEvAirfBsbBBLCBBBBeDAvBmBBkBBBBBBBsBEAAksmKBufwBBpBBAEBAmfzvfcaxgab,9.590000,12.900000
wzcagcvxycEfIvivAyAAxwvvycuopcufKvBBoAxBrBBybByBABBABABBbwBBBEEtBBBBaIdBBvrEByBBBBBBBEBBBBBBBBBBBBBBBBBBBBBBBBBzvfcaxgab,9.670000,9.230000
wzcagczsakzckAbtpzBAkpByycuopruBrBBBBBBJDByBBIABBpBxAyABbpkoEdEBAExBBBAKBKuLIuoBfrBBByBBBBBBEvBBBBBdBBbBBfgJluezvfcaxgab,9.640000,0.000000
wIjagchrAAEcHkAwevuvJojyycuvucvyBBBjBpIwBBBBBBBBBBBbBuBBBBBaEBBBBBByBBvrsEGtoAoyvvrvvtIKatxprBBBpBByBBBBBBBBBpBzvfcaxgab,9.640000,9.230000
wzcagccLwcELbvCytvaGdEJyycuopcuyyoBBuyBABBBuGBeAEBBBrBBBBBBEBBBBvBBEBBnAjjBBBxBecBviqCmAqjCBrmmjvAvsAJlvJvixxinzvfcaxgab,9.660000,9.420000
wzcagcIJcyErenEisHEywAdyycuopcubcdaGdIlBooIvDAGwJrLBAvJcxAvevGpyBpJwyotdjBGBBEryGscByEyBBBjAIBBBBBBdBBuBrBByodBzvfcaxgab,9.620000,9.350000
wzcagczsakzckAbtpzBAkpByycuopruBrBBBBBBJDByBBIABBpBxAyABbLkoEdEBAExBBBApBKuLIuoBfrBBByBBBBBBEvBBBBBdBBbBBfgJluwzvfcaxgab,9.610000,0.000000
wzcagcKoaAEuvvkqbExtIpnwycuopcuwxBKfBDEBByBAuwAeAuAJEjbBrfBBbfpAuLjBvBADurBxywAjBIBvBBKBBBBquABBEpfGuBotBBBlBtBzvfcaxgab,9.630000,9.360000
wzcagczsBIEBwBmBvBdbnBByycuopcupcvfavBdoBdEAdbABrKBfvBAlBDkKwAcyyttrqyBbrBABocdBDbAEsorEyAffBBBpBBBoIoufjruBdBfzvfcaxgab,9.670000,13.460000
