genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"geno",4.000000,0,0,0,0,0,0,0,0,0
"wzcagcjzxEEvoAlIAHzAJALyycuopburuBEBdBwBByBBEBBBBBABAmBpBBBBBBsyBBfnrfwoBBvvBDBlBBAyIAGptABDnrBBBBBBBBBBvBBBnBBzvvhaxgab",118.000000,0,1,0,23,0,0,15,0,0
"wzcagctJaukaEtpIjljaEmkaycDoacuvcveeABArBDvBBmsrFBBjBBBBBuELABABvBnoBtBBBpBBBBBBmnBKBBoBAByxBBuyBjmBBEBBBBBEBBBzvLqvxgab",116.000000,1,1,0,0,0,0,0,0,0
"wzcagcHvyyExxEyJiffmcAjaycuopcucBvkBBkBpoxwBBBELBfABsaBcBxABkfKKqABAkjBBBdBGLEBeBBLnBBABGBvBAAABByBBivuxqdiedCLzvvyaxgab",117.000000,0,0,30,0,0,0,0,0,0
"wzcagclucCEycGEjziAHbpHyycubGGucByAnlBBmBByBtbnrBpBFBBEBBBBBEBBBBBBuojBvBBvbBtrBBBBBBBBBBBAcyycEmrCdwBykBBBJBABzvvsaxgab",118.000000,0,1,0,6,20,0,12,0,0
"wzcagcvDGCEmmCIBbtAAyDGEycucuckDkBBwnBBBvsBBBBBvAEkBpBJBEBBABuAJBxBBtcBpBBBlBBBBBBBBAbBBsBwBBBBBBaBBBBBBByvpBBHzvvmaxgab",118.000000,0,0,0,19,0,31,0,0,0
"wzcagcpGKnwHvEirdkCABrxyycuopcuyBAfGecjIBByGAnaBBEfBvAfBBvwBEuABbBGBrBBvBEBBytBAABBBBBBAAnBBArBBBJBBBBABBByBmtizvvlaxgab",117.000000,0,13,1,15,11,0,0,0,0
"wzcagcCHiiEzoubIpAEAtaqyycuopcuyBBFBABfEEBbBJbBByvBubBaqBacroBBBBEBybBBtBBBBnBaBBGyBBBBBBBBpBBBBvBurBBBBBBBBBryzvvmaxgab",118.000000,0,10,1,28,2,0,0,0,0
"wzcagcwsfjEJCvABjaAowBsyycuopcucBBEBByEBBBBqBBBBBBmBBBBvBBbuByBBBBtBvBBrBFBBBeByBBBBGBBBBEvGqBBBBBBBBBBEBBBBByczvvtcxgab",118.000000,0,1,29,0,0,29,0,0,0
"wzcagcHpukEmbbwmyvAIlCqyycuopcBypsuGdBvyuABKvybacAajqcDBAucBpbJLsBBBBBucBBBBEEdcBBBBBBBGByBBBBBBbBBBBBEBBBBBvLBzvvhaxgab",118.000000,0,5,1,8,0,29,0,0,0
"wzcagcvHcvEicKAKuAlvzhayycuopccyBEqBBBBoBoDsBBBBBmBwBxDBByDBvqBswBBBBmrBBBBBBBBBBBBBlBBBBnaBBBBuBBEcBBbEAupuzcAzvvpaxgab",116.000000,0,22,0,0,0,25,0,0,0
"wzcagctcanEufqItncicljDyycuopcucdaaBJfBBEByBBsBBpvvLBBxBBBLBmJBBBBIBBjBtBLBBBBBBBytAyBBBEBtcBBBBBEBBBBBBBBBBBBBzvvoaxgab",117.000000,0,1,32,0,0,19,0,0,0
"wzcagclAsIEsBrdInEdkzJiyycuoGfuvBxAKhBedAGrvBEBBDIBvBqwvBvDKBuGBvBBocBAvAByvBBjBBBBpABBqucBEqABBeBxBBtJBBBBBBBwzvvKaxgab",116.000000,0,1,0,20,0,13,0,0,0
"wzcagcoxKdEKoDJfjHqjHDiyycuopcuybBjJABEBBABIAnwjdywmwsxoAGBvvEDoqyuDqGqABrByqjEJpBfylLBpBaAuBuaJBubrBBBBBBBBycyzvvyaxgab",116.000000,0,8,1,6,0,3,0,10,0
"wzcagcAdadEAEEBcssAmEDAyycuopcuBaADBaAdBaBarGBLBBBGDBBrrBBBygcBBBDpBBBBEsBfvyFBBBBBBBBBtBrBBByBBBBBBBBvBBmBBBwxzvvuaxgab",118.000000,0,1,33,0,0,16,0,0,0
"wzjagcjzrrEvvcluaizarwtyycuopcuBbKABrBBBivBKBBBwBBBoBBBBBBBmaBBIBBBBBBBBqIBBBBABBBBBBBBByBBbwBBBBBEvEBBBdBBBBBEzvvhaxgab",117.000000,0,3,3,0,0,0,0,0,0
