genome,scf,scf_no_int_bio
wzjagcsczIEfnkvvbBwCyBbcycuoucoyyBBjvKBqxuBBfBABBIvoaBBBBuBBBBBlcAAiABbrBBqBpuArBBBKBBBBBBBBEBBBtBBBBBBBBBBEBBEzvvfaxgjb,17.970000,17.640000
wzjagcDbuAEBADxvDBxvdHbyycuoirByvmEnqBKyvBBqBBvEKBffBBBbAmDbKwBBBsBrBBBBvBByBBBBBBsEBBBBBBBBBBBBByBoBBBBBBBBBBBzvvvAxgab,18.130000,17.340000
wHjagcGvedEvkwjBvuAvajJyycuopcurBBABBABvjBBBGvBBJIKBBBbByyEBtBacorByBBsuBByBBBBBEBBBuyBBBBBycpcBBBEBBBBBBBBBBBBzvvcvxgab,17.970000,17.700000
wqjagcuEeuEtqnvGJAvwlvcyycuoebuycGAfwfAEvGDbdrbBBCaBBxAyBBvjDbBBBqBBBBGBfpaEBBvuBBBucBBBBBBBBBBBBBBBBBBBBBBBBBBzvvvaxgab,18.050000,18.190000
wfjagcIHCyEBpBDpmvrqAJwyycuopcuryBBBBBBBAuBABpbBIBBDBLgBBBwKBBnBGBBBBvBBBBeBBBvBvpBsBAByBtEABrBBBBBBEBBBBEBBBBBzvvfaxghb,17.980000,17.700000
wpzagcmIIjEolswBsdEHcnGyycuopcureABBGBDqBfsofyBvyJAtDLtcvBfLvtvBjaEnBqApxsqDyBxBABAxJsErDGBBpBvkBBBtcvBBBBBBsBBzvvvhxgab,18.110000,17.530000
wnjagcGvedEvkweBvuAvawJyycuopcurBBABBABvdBBBGvBBJIKBBBbByyEJtBaAorByBBsyBByBBBBBEBBBuyBBBBBycpcBBBEBBBBBBBBBBBBzvvcvxgab,18.000000,17.410000
wzcagcyycLEBkBavyjsAjbdyycubucBytEABnBBxBnBBBvvDBBbBpBAqoBBBABBlAEJBKIBsBBurvByBLEvBBBvBBBBBBoBBBBBBBBsBKLBByBBzvvyvxgab,18.120000,17.780000
whjagcCAEuEmEuiuvevsbDryycujrwuecBfaBBBxjvwBoqABBBBoJrupBBBIBjJcDBBBEbKAucBByBGsaBvsBoyBbBBBsrvcjBBBucBBBBBvIBzvvfcaxgab,18.010000,18.060000
wzcagcDzCvEbBIfBwzAnbmIyycuopcucyByBjJtodyBBdBEtcBmBxyBBypBEBobBoEvlDLkscBDBffyxuBBfbdwBBBmnLAByBoBBHecfwedbBqzvvfcaxgab,18.140000,18.000000
