genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"geno",4.000000,0,0,0,0,0,0,0,0,0
"wzcagcCryLEyjzbCBvvHastyycuopcuyyocBbvawdJvLJvuJBrBBBBoByBjABBAGaEBBxBvcArBtcBcBBBEBBBBBBBBBBmBBBBBBxBABBEAwBBBzvvcvxgab",118.000000,0,3,1,11,0,0,25,0,0
"wzjagcsczIEfnkvvbBwCyBbyycuAucoyyBBBvKBqAuBBfBABBIvAaBBBBuBBBBBlcAIiABbrBBqBpuArBBBKBBBBBBBBEBBBtBBBBBBBBBBEBBEzvvfaxgjb",118.000000,0,1,0,18,3,0,0,0,26
"wzcagcvxqqEyndaDpvsbCyodycuoucByBBBptBBBBBBBBBByBBBlbvBBBAvkBBBorbtcBecvBBBvBBEBBwEByBoBpoBoLsJsItobKBBBBKqBuEBzvJvvxgab",118.000000,0,1,0,24,0,0,18,0,0
"wfjagcIHCyEBpBGpmvuqAJwyycuopcuryBBBBBBBAuBABpbBIBBDBLgBBBwKBBnBGBBBBvBBBBeBBBvBvpBsBAByBtEGBrBBBBBBEBBBBEBBBBBzvvfaxghb",117.000000,0,1,37,0,0,15,0,0,0
"wzcagcwyxjEAirqaJJxAdyfuyuuopcuycEGGvjIoeducIEBBrbBfvyBBBwBBedBsBvBpcBvBBBBBBBBBvBBvBBBBBBBpEBBBBBBBsBByBBBBBBBzvvvcxgab",117.000000,0,1,0,4,0,45,0,0,0
"wzcagcmtuaEBxHBIAKCwIHlyycucbAurvBBBBbcBBBBxEAvKfBBBBABBDBBByGvKddAEBjlBBBJnjBDtEpBkBoBsucBpBBrAacxyqutuCAJrovzvvfcaxgab",117.000000,0,1,0,25,0,4,0,0,0
"wqjagcuEojEloyvGAAvalvtyycuoebuycjAfwcAEvGDbdrbBICaBBxAyBBvjDbBbBqBBBBGBfpBEBBvuBBBucBBBBBBBBBBBBBBBBBBBBBBBBBBzvvvaxgab",119.000000,0,0,0,18,0,26,0,0,0
"wzzagcrAxAEpvxkmvplnGkEyycuoucBBvBBBBIBBBBBBBBvBvBBBBBBBBBBsBBBBBEBBBBBBBBBmBBfBBBEpByBpBBBdBBlBBBwBKkBABuBuvAyzvvvJxgab",119.000000,0,1,0,58,0,1,0,0,0
"wzcagcbvamEvcpEfvjLbIqdyycuopcucBIxBAEBDyBIjbeBDocbwBDLekAqBbJBytrBLBBBLvBwyBIBBAAABvEBsBBqJrBBBBBdfyyBpnBbBvtyzvvvaxgab",116.000000,0,1,8,0,8,13,0,0,1
"wfjagcIHCyEBpBGpmvuqAJwyycuopcuryBBBBBBBAuBABpbBIBBDBLgBBBwpBBnBdBBBBvBBBBeBBBvBvpBsBAByBtEABrBBBBBBEBBBBEBBBBBzvvfaxghb",117.000000,0,1,37,0,0,15,0,0,0
"wzcagcDnjvEBlzmAAKflnKfyycuopcucyByBIJtobyBBBBEtcAmwfyDBypBEBABBBEvlDLkscBDBwByxuBBBsddABqmIuBryBbamJecfwJdmBozvvfcaxgab",115.000000,0,1,6,2,0,8,0,9,0
"wzcagcHtpDEJtavjDbzanEoyycuopcucBBEwBBBBBBBdBBABBBBvykBBBBADBBvDvBBBBvLBBBoBBBBBBvEBBByBBBBtBBayBtABrBBEFBBBBBBzvvHvxgab",118.000000,0,1,44,0,0,10,0,0,0
"wzcagcurqAEjyuovoDzvpcmpyuuopcuycIqfvoBaBaerpBBBBBoBBelBbBBBBBvBKyjBvBBBBBBABBBvEBBBBwBEmJBBABBBEAysdywkBDpaBBBzvvvaxgab",117.000000,1,0,0,1,1,0,41,0,0
"wzcagcqvatEvHpEfvjLeIqnyycuopcucIIxBxEBDyBBjLqpDocBwBDLixAqBbJBytrBLBBBLvBwyBIBBAAoBvEBsBBqJrBBBBBubyjBpnBxBvtyzvvvLxgab",116.000000,0,1,9,1,8,12,0,0,1
"wzcagcurqAEjypovoDrvLcmpyuuopcuycGqIvoBaBaerpBBBBBoBBedBbBBBBBvBKyjBvBBBBBBABBBvEBBBBdxEIJBBABBBEAAsdywkBDpBBBBzvvvGxgab",117.000000,0,0,0,0,0,0,0,0,0
"wzcagcsbuHEBADxvDqxvdHtyycuoirByvnEnqBKyvBBqBBvEGBffBBBBAmAAIlBBBsBrBBBBvBByBBBBBBsEBBBBBBBBBBBBByBBBBBBBBBBBBBzvvvaxgab",117.000000,0,16,0,0,0,0,0,0,0
"wzcagcqkCvEbBJfBAzAlLmIyycuopcucyByBIJtodyBBBBEtcBmBBytBypBEBobBoEvlDLkscBDBwfyxuBBpbdwBBBKnLAByBqBBHecfwexbBqzvvfcaxgab",114.000000,0,1,6,0,0,10,0,12,0
"wzcagcDvEaExoDBcGHBcpvEyycucpaucABBpKLBqBBBBBBBIBBBBnurBBBBBBBBBBBBvBByBBBBBvBBBBBmEBBBBJBlBBBBnvBBBBBBeBBsyBvBzvvvCxgab",117.000000,0,0,0,15,0,43,0,0,0
"wzcagcyycLEBkBavyjsAjbdyycubucBytEABnBBxBnBBBvvDBBbBpBAqoBBBABBlAEJBKIBsBBurvByBLEvBBBvBBBBBBJBBBBBBBBsBKLBByBBzvvyvxgab",116.000000,0,1,0,22,1,24,0,0,0
"wzcagcbIjjEKqJbrHxpaBEmyycbLucByLpBAEjtnBBBBwoBBBaehAoyIssBpKjABxABpouAbtcBeEBBBBBeBBkBBpBBBbIBbyBBAuABybBycfuzvvfcaxgab",116.000000,0,12,22,0,0,0,0,0,0
"wzcagcDzCvEmBufKAqAnxmIyycuopcucyByBIJtodyBBdBEtcBmBfytBypBEBdBBoEvlDLkscBDBwfyxuBBfbfBABBmnLAByBqBBpecBwndbBqzvvfcaxgab",114.000000,0,1,5,1,0,9,0,12,0
"wzcagcEdCBEoDDAyeidpcIsyycuopcuycvIoryBtErbccBBBBABKkBIBBvlBBBBJBBBBBBxmpeJBbBBBBBoooyBBsBrBBBBBBBcBBBBBEBLBByzvvfcaxgab",116.000000,0,1,2,0,14,28,0,0,0
"wzcagcAxJHEEopcIEvxbCIIyycuopcuyElllAIxByFbuqBaBBrBBbBwBIBbxBBCByvuBuryBpBBBBBpBBBBsucBBBBBBBBBBBBBBBEBBByBrAyzvvfcaxgab",117.000000,0,4,1,11,11,0,20,0,0
"wzcagcDnjvEBlzmDAKAnnKfyycuopcucyByBIJtobyBBBBEtcnmwfyDBypBEBABrBEvlDLkscBDBwByxuBBBsddABBmIeBryBbamJeffwJdbBozvvfcaxgab",114.000000,0,1,6,0,0,9,0,10,0
"wzcagcCryLEyjzbCBvvHostyycuopcuyyocBbvawdJvLJvuJBrBBBBBxyBjABBAGaEBBxBvcArBtcBjBBBEBBBBBBBBnBjBBBBBBxBABBEAwkBBzvvcvxgab",118.000000,0,3,1,11,0,0,24,0,0
"wzcagcwyxjEAirqjIJLAJyuuyuuopcuycEGovjIxeKucBEBBrABfvyBBBwBBBBBGBvBpcBvBIBBBBBBBvBBvBBBBBBBpEByBBBBBsBByBBBBBBBzvvvcxgab",118.000000,0,0,0,6,1,44,0,0,0
"wzjagcsczIEfnkvvbBwCyBbcycuoucoyyBBjvKBqxuBBfBABBIvoaBBBBuBBBBBlcAAiABbrBBqBpuArBBBKBBBBBBBBEBBBtBBBBBBBBBBEBBEzvvfaxgjb",118.000000,0,1,0,17,3,0,0,0,26
"wzjagcDbuAEBADxvDBxvdHbyycuoirByvmEnqBKyvBBqBBvEKBffBBBbAmDbKwBBBsBrBBBBvBByBBBBBBsEBBBBBBBBBBBBByBoBBBBBBBBBBBzvvvAxgab",116.000000,0,14,0,0,0,0,0,0,0
"wHjagcGvedEvkwjBvuAvajJyycuopcurBBABBABvjBBBGvBBJIKBBBbByyEBtBacorByBBsuBByBBBBBEBBBuyBBBBBycpcBBBEBBBBBBBBBBBBzvvcvxgab",118.000000,0,1,16,1,0,35,0,0,0
"wqjagcuEeuEtqnvGJAvwlvcyycuoebuycGAfwfAEvGDbdrbBBCaBBxAyBBvjDbBBBqBBBBGBfpaEBBvuBBBucBBBBBBBBBBBBBBBBBBBBBBBBBBzvvvaxgab",119.000000,0,0,0,19,26,0,0,0,0
"wfjagcIHCyEBpBDpmvrqAJwyycuopcuryBBBBBBBAuBABpbBIBBDBLgBBBwKBBnBGBBBBvBBBBeBBBvBvpBsBAByBtEABrBBBBBBEBBBBEBBBBBzvvfaxghb",117.000000,0,1,37,0,0,15,0,0,0
"wpzagcmIIjEolswBsdEHcnGyycuopcureABBGBDqBfsofyBvyJAtDLtcvBfLvtvBjaEnBqApxsqDyBxBABAxJsErDGBBpBvkBBBtcvBBBBBBsBBzvvvhxgab",119.000000,0,0,5,0,0,0,0,6,8
"wnjagcGvedEvkweBvuAvawJyycuopcurBBABBABvdBBBGvBBJIKBBBbByyEJtBaAorByBBsyBByBBBBBEBBBuyBBBBBycpcBBBEBBBBBBBBBBBBzvvcvxgab",119.000000,0,1,15,1,1,35,0,0,0
"wzcagcyycLEBkBavyjsAjbdyycubucBytEABnBBxBnBBBvvDBBbBpBAqoBBBABBlAEJBKIBsBBurvByBLEvBBBvBBBBBBoBBBBBBBBsBKLBByBBzvvyvxgab",116.000000,0,1,0,22,1,24,0,0,0
"whjagcCAEuEmEuiuvevsbDryycujrwuecBfaBBBxjvwBoqABBBBoJrupBBBIBjJcDBBBEbKAucBByBGsaBvsBoyBbBBBsrvcjBBBucBBBBBvIBzvvfcaxgab",116.000000,0,8,0,14,3,9,0,0,0
"wzcagcDzCvEbBIfBwzAnbmIyycuopcucyByBjJtodyBBdBEtcBmBxyBBypBEBobBoEvlDLkscBDBffyxuBBfbdwBBBmnLAByBoBBHecfwedbBqzvvfcaxgab",114.000000,0,1,5,1,0,9,0,12,0
"wzcagcCIJLEyczbCBvvHaayyycuopcuyyoqBbvawAJvLJvuJBrBmloBByBjABBAGBEBBxBvforBtcBjdBBEBBBBBBBBBBmxBBBBBxBBBBEywBBBzvvhvxgab",117.000000,0,2,1,10,0,0,25,0,0
"wzcagciqfLEBkwavaGaApblyycuwucByLEABnBBxBsBBmvvmBBAIpBAAwBBBABBAaEJBqbBsBBurvByBbEvBBBvBBBBGBBBBBBBBBqsBwcBByBBzvvrvxgab",118.000000,0,1,0,20,1,23,0,0,0
"wzcagcxExDErHCCvijAxzjywycuoucByynEAAmaBtvBAABGrBjBvBlpBBBuajmGsABBrBBGBBwsaBBBwuBBvrByBnxBBBEBIBBBnBABmaBmvBBvzvvvKxgab",118.000000,0,1,0,4,8,0,0,10,14
"wzcagcpIJLEyjzbsmvvBaAtyycuopcuyyoqBbvaKDJvLJvuJBrBBBsBByBeABBBGBEBBxBvcArBtcBjBBBEBBBBBBBBBBmBBBBBBJBABBEBwBBBzvvhvxgab",116.000000,0,2,1,13,0,0,27,0,0
"wzcagcwyxjEABrqmIJuAJyuuyuuopcuycEGGvGIoeducIEBBrABfvyBBBwBBBdBGBvBpcBvBBBBBBBBBvBBvBBBBBBBpEBBBBBBBsBByBBBBBxBzvvvcxgab",118.000000,0,0,0,5,0,45,0,0,0
"wfjagcIHCyEBlBGdmvuGAJwyycuopcuryBBBBBBBAuBfBpbBIBBDBLgBBBwKBBnBGBBBBvBBBBeBBBvBvpBsBAByBtEABrBBBBBBEBBBBEBBBBBzvvfaxgJb",117.000000,0,1,37,0,0,15,0,0,0
"wzcagcxExDErHCCvijAxzjywycuoucByynEAAmaBtvBAABGrBjBvBlpBBBuajmGsABBrBBGBBwsaBBBwuBBvrjyBnxBBBEBIBBBnBABmaBmvBBvzvvvKxgab",118.000000,0,1,0,4,8,0,0,10,13
"wzjagcsczIEGnkvvbBcCyBbyycuoucoyyBBBvKBqauBBfxABBbvoaBBBBuBBBBBlcAjfcBbrBBqKpuArBBBKBBBBBBBBEBBBtBBBlBBBBBBEBBEzvvfaxgib",118.000000,0,1,0,17,2,0,0,0,25
"wzcagcptavEnDxHqfffCjbqyycuopcudIBadBEbvcxBaAdcqojrBvBBAEDEBxBBoyByBAABBBttrsByqAscBBBBBBBBBBBBBBBBBBBBBBBBBBBBzvvvaxgab",118.000000,0,2,13,0,0,1,0,28,0
"wzcagcDvEaExoDBcGHBcpvEyycucpaucABBpbLBqBBBBBBBIBBBBnurBBBBBBBBBBBBvBByBBBBBvBBBBBmEBBBBJBlBBBBnvBBBBBBeBBsyBvBzvvvCxgab",118.000000,0,0,0,15,0,43,0,0,0
"wzcagcCtCtErqplwCKcpaEAyycuoucByBpBGEytnBxrBIBBBBBeKBwABDsBpBHABBJBmlurAucBIynBABBBABBBBubBBjcBEeGyBwBBbBByczmzvvfcaxgab",115.000000,0,2,0,4,14,0,0,0,0
"wzcagcAABaEvfjbIbzfAvnyyycuefruycBasaAvBaidfEEIAqBaJABLyctJwxEBavGowoEbxwpovjrBBBBBBBBBBBnBmBBBBpJBGqBqyBBBBwBvzvvvCxgab",117.000000,0,1,0,3,0,0,25,0,0
"wzcagcbvamEvcpEfvjLbtqdyycuopcucBIxBAEBDyBBqleBDocbwBDLqkAqBkJBytrBLBBBLvBwyBIBBAAABvEBsBBqJdBBBBBdfyyBpnBbBvtyzvvvaxgab",117.000000,0,1,10,0,1,20,0,0,0
"wzcagcwyxjEAirqjIJLAJyuuyuuopcuycEGGvjIoeKucIEBBrBBfvyBBBwBBbBBGBvBpcBvBIBBBBBBBvBBvBBBBBBBpEBBBBBBBsBByBBBBBBBzvvvcxgab",118.000000,0,0,0,5,0,46,0,0,0
"wzcagcwyxjEABrqmIJuAJyuuyuuopcuycEGGvGIoeducIEBBrABfvyBBBwBBBdBGBvBpcBvBBBBBBBBBvBBvBBBBBBBpEBBBBBBBsBByBBBBBBBzvvvcxgab",118.000000,0,0,0,5,0,46,0,0,0
"wzcagcHtdDEJtavADbzaHEoyycuopcucBBEBBBBBBBBBBBABBBBvykBBBBALBBvDvBBBBvwBBBoBBBBBBvEBBBynBBBtBBayBtABrBBEFBBBBBBzvvHvxgab",118.000000,0,1,45,0,0,8,0,0,0
"wqjagcwEcuElBmvqAAvfpvByycuoebuycxAoJfAEvGDbcrbBkemBBpByBBvjBdBbBqABBBGBfpaEBBvuBBwucBBBBBBBBBBBBBBBBBBBBBBBBBBzvvvaxgab",118.000000,0,0,0,18,26,0,0,0,0
"wzcagcurdAEjyuovoDrvpcmpyuuopcuycGqIvoBaBaerpBBBBBoBBedBbBBBBBvBKyjBvBBBBBBABBBvEBBBBdxEIJBBABBJEAAsdywkBDpBBBBzvvvGxgab",117.000000,1,0,0,1,1,0,40,0,0
"wnjagciqddEIyiAofwfjpAdyycuLwcucByfdIyBBEKBjBAuwsBvcmABoBarByBBBBBBvALJBBBlvBBvvsGBBBBEJfntBBBBvpoqBJBEByBqGBBnzvvAvxgab",117.000000,0,1,0,8,0,0,28,0,0
"wzcagcHtdDEJtavjDbzapEoyycuopcucBBEBBBBBBBBBBBABBBBvykBBBBADBBvDvBBBBvLBBBoBBBBBBvEBBByBBrBtBBayBtABrBBEFBBBBBBzvvHvxgab",118.000000,0,1,41,0,0,0,0,0,0
"wnjagceqtdEIyauIawfsKtcyycuLwcucByaBIyBBEKBBKAuwsBvamABoBarByBBBBBBvALzBjBlvBBvvmJBjBxEIfnBBBBBvpoyBJBEByBqGBBGzvvrvxgab",117.000000,0,1,0,9,0,0,26,0,0
"wzcagcLuJLEyjBbCBvvyastyycuopcuyyoqBbvIwDJvoJvudBrfBBBBByBjABBAGBEBBBBvcArBtcBqBBBEBBBBBBBBBBmBBBBBBxBABBEAJBBBzvvcvxgab",118.000000,0,3,1,13,0,0,26,0,0
"wpjagcocIIEyADAnaeasAuayycucucdBBjEBBBfBBBBBxjuDaBnBqlsBvBbBbBBABjBBDBBABBBBBBBBBBBBpsBBucBByBKBBBBBBfmBEBBBBEBzvxvgGlab",116.000000,0,0,0,37,0,15,0,0,0
"wzjagcsczIEfnkvvbBwCyBbyycuAucoyyBBBvKBqxuBBfBABBIvoaBBBBuBBBBBlcAIiABbrBBqBpuArBBBKBBBBBBBBEBBBtBBBBBBBBBBEBBEzvvfaxgjb",118.000000,0,1,0,18,3,0,0,0,26
"wojagcpyEuEjEifxvevbDswyycdjrwuecBBaBBBxjvBBJqABBBjoArBpBBBIBjJBDABBEBdAucBByBItaBvBBoyBbBBBsrvBBBBBBIBBBpBvJBzvvfcaxgab",116.000000,0,11,10,0,0,0,0,0,0
"wzcagcDvEaExtDBcrHqcqvEyycubpaucABBpbDBbBBBlBBBIBBBBnurBBBBBBBBBBBBvBByBBBBBvBBBBBKEBBBBJBBBBBBbvBBBwpBABBsyBvBzvvvaxgab",118.000000,0,0,0,14,0,43,0,0,0
"GwjagcCkvvEGDDEdxrCbwkByycuopcuBBBBrBBBBBBBABBBeBBBBBBBBBfBBBBBBBBBDBBBBBBBBBBBBvyBBBBBBlvBGBBvBGBpEaBKIBvBEuaBzvvovxgax",117.000000,0,5,55,0,0,0,0,0,0
"wzcagcqvatEvHpEfvjLeIqnyycuopcucIIxBxEBDyBBjLqpDocBwBDLixAqBbJBytrBLBBBLvBwyBIBBAAoBvEBsBBqJrBBBBBubykBpnBxBvtyzvvvLxgab",116.000000,0,1,9,1,8,12,0,0,1
"wzcagcwyxjEIirqmIJuAJyuuyuuopcuycEGGvGIoeducIEBBrABfvyBBBwBBBdBGBvBpcBvBBBBBBBtBvBBvBBBBBBBpEsBBBBBBsBByBBBBBBBzvvvcxgab",118.000000,0,0,0,5,0,43,0,0,0
"wmjagcDvHcEvxsEBvtLzIuayycuopcucBKIBAEKKyKBeBdAJcplcwfkjxtwBbJqytruLpxnJvanybAcAAxABvEBsBaqArBBBBBBdBBBBBBkBvryzvvvaxgHA",117.000000,0,1,3,0,0,0,0,15,0
"wzcagcDzCvEbBIflAzAnbmIyycuopcucyByBjJtodyBBdBEtcBmBxyBBypBEBDbBoEvlDLkscBDBffyxuBBfbdwBBBmnLfByBqBBxecfwedbBqzvvfcaxgab",114.000000,0,1,5,1,0,9,0,12,0
"wzcagcyrlLEsadavyjsljbdyycubucByLEABnBBxBnBBBvvDBBABpBxqJBBwABBlAEJBKwBsBBurvByBLEvBBBvBBBBBBbBBBBBBBBsBocBByBBzvvyvxgab",117.000000,0,1,0,21,1,24,0,0,0
"wzcagcsbBaEkEIjecndHvvCyycuopcuycAAdbrduBvBGpBsBBBBBvBBBBBvEBBBByBEjBBBBBBBBBvBBBKDtBytBaBBBaBrBBBBBBBBBBBBBBBBzvvBvxgab",118.000000,0,1,35,0,0,19,0,0,0
"wnjagciqddEIqaAJfLfjctdyycuLwducByfdIyIBEKBjBAuwsBvamABoBarBbBBBBBBvALEBBBlvBBvvmKBjBBEJBIBBBBBvpoqBbBEByBqGBBnzvvAvxgab",118.000000,0,1,0,6,0,0,29,0,0
"wpjagcocIIEyADAnaeasAuayycucucdBBjEBBBfBBBBBxjjDaBnBqAsBvBbBbBBABjBBDBBABBBBBBBBBBBBpsBBucBByBKBBBBBBfmBEBBBBEBzvxvgGlab",116.000000,0,0,0,37,0,15,0,0,0
"wzcagcwyxjEAirqjIJLAkyuuyuuopcuycEGGvjIoeKucIEBBrBBfvyBBBwBBBBBGBvBpcBvBIBBBBBBBvBBvBBBBBBBpEBBBBBBBsBByBBBBBBBzvvvcxgab",118.000000,0,0,0,5,0,47,0,0,0
"wzcagcuIJLEyjzbsmvvBaatyycuopcuyyjqBbvaKDJvLJvuJBrBBJBBByBjABBBDBEBBbBvcArBtcBjBBBEBBBBBBBBBBmBBBBBBeBABBEBwBBBzvvhvxgab",116.000000,0,3,1,13,0,0,26,0,0
"wzcagcsbBaEkEBjecndmvvCyycuopcuycAAdbrduBvBGpBsBBBBBvABBBBvEBBBByBEjBBBBBBBBBvBBBKutBytDaBBBaBrBBBBBBBBBBBBBBBBzvvBvxgab",117.000000,0,1,34,0,0,18,0,0,0
