genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"wzcagcGdbAEECBDkkEyAAAByycuopcucJBBBwqyLByBtyBBBBBBBBtBrBBBBBBlsBBABBycrkcCIbAcBadyyczoGqDCBBAGBBBABByKBBBBnBEBzvvvvxgab",118.000000,0,1,14,0,0,12,0,0,0
"wzcagcCAJBEEfJfcEEycmGByycurbIucGDpwKsyDcjBBxGBBDBByxBdaaBEBxnBqfKtIrBpBBBBkuBABBAqBBuorBBBBBBGoBIBBBBBBBBjyABBzvvvvxgab",117.000000,0,0,0,11,11,0,17,0,0
"wzcagcwtjqEjhaiamaiEzEGyycuJroucBwDuExmxBBcdBxBbkypABAdDBBAutrBadqocjjyjsBaBBwBdBrBBBABGjwBBBByBxBBBoxBBuBnBBBBzvvvvxgab",116.000000,0,0,0,9,0,0,0,20,0
"wzcagcjCGuEEjBkkBEddqpByycuopcuccBLBBeywBydtyBBBBbABBtBrBBqBBABsBBABBycducCjrKABaAAfyCIBBaCBBABByBJBBBDBBBBBBEBzvvvvxgab",117.000000,0,3,11,0,0,11,0,0,0
"wzcagcCAJBEEfJfcEECzmGByycurbIucGDpwKsyDcjBBxGeBDBByxBxaqBEBxnBqfKtIrBpBBBBKuBABBAqBBuorBBBBBBjoBBBxBBBBBBjyABBzvvvvxgab",116.000000,0,0,0,9,11,0,17,0,0
"wzcagcwtjqEjhaiamaiEzEGyycuJroucBwDuExmxBBcdBxBDkypABAdDBBAutrBadqocjjyjsBaBBwBdBrBBBABGjwBBBByBxBBBoxBBuBnBBBBzvvvvxgab",116.000000,0,0,0,9,0,0,0,20,0
"wzcagcofamEhhtfxuqiAeEJyycuopcujBqAjGBBBBoAdBAaBIaIBBErjcjxExBABBjnBbBBDBBBBpABBqArBBAJBLfLBGfeerBBBBBBJBJiyztszvvvvxgab",114.000000,0,9,24,0,0,0,0,0,0
"wzjagcDkHlEtbscEtxHjlJAyycuoBaurBBtBoGnBBABqBftBBepekGAEuBGeKBnBGoEBBBempABmDtBArBBBfBBBebBJBbBByfBBBBLbBBBBxaBzvvvvxgCb",115.000000,0,1,0,18,0,19,0,0,0
"wzjagcDkHlEtbscEtxHjlJAyycuoBaurBBtBoGLBBABqBAtBBepjkcAEuBGeKBnBGoEBBBemeABmDtBArBBBfBBBebBJBoBByfBBBBLbBBBBxaBzvvvvxgCb",115.000000,0,1,0,9,0,0,0,0,0
"wzzagcGlDAEKcyklCGprckBnycuopcoyBAABIecBBdBayABfAjaJuquBqBrGBABBGyABBtpBEBBABxmpEBIBeoJBuBItowryBBBAEprByBBBBBBzvvvvxgtb",117.000000,9,0,0,0,14,0,11,0,0
"wzcagcjCAfEEjBkkpEAAqpByycuopcuccBLBBedIBybtyBBBBBABBtBrBBqBBtBsBBABBycdKcCBrKABaAAfyCIBBaCBBABBynbBBBDBBBBBBEBzvvvvxgab",118.000000,0,1,27,0,0,10,0,0,0
"wzcagcGtlbEvyCBuEvdAioyyycuqocuycowAAEAAqGxarBBDBBBBBBBDqBJBApBABByBBrBBwBvBbtBaErJBBvBBBBBBByBBxBAoBycvnzvvvncvvfcaxgab",117.000000,0,0,0,17,0,0,15,0,0
"wzcagcjCAaEEjBxkBEAAqpByycuopcuccBCBBeyIBybtyBBBBBABBtBrBBBBBtBsBBABBycdccCBrKABaAAfyCIBBaCBBABBynbBBBDBBBBBBEBzvvvvxgab",118.000000,0,1,27,0,0,12,0,0,0
"wzcagcEjDJEqyiDAylaAEoryyauopcuyBAuGAsBBtbBBwdDGuuABqqqtsrBxBBBAdBBjBBBBApuBdIuBbKJBErBLBBBBBBBBBLBBBBBBByycudDzvvvvxgab",118.000000,0,6,1,14,0,18,0,0,0
"wzcagcjCAfEEjBkkBEAAqpByycuopcuccBLBBeyIByotyBBBBBABBtBrBBBBBtBsBBABBycdcyCBrKABaAAfyCIBBaCBBABBynbBBBDBBBBBBEBzvvvvxgab",118.000000,0,1,13,0,0,12,0,0,0
"wmzagcckraEKxyntscpAezjnycuopcJyBAABIIBxBGBpaGGfBLJJuGuKJBrlBLBBBpABoBABEBAoseCpEBIBGoxBuBAtowryBBBAEBfBABBBBBBzvvvvxgBb",114.000000,8,0,0,0,13,0,11,0,0
"wzcagcDbrBEdtpqItKuADieyycuopcuroBByJkfBuBptnybABbtfEBoytryEAnAEBulBByejdBpscBpBBBwBBtBoeBLDBbBnrBdyBBBBBmoBBBIzvvvvxgab",118.000000,0,1,7,0,0,5,0,11,9
