genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"geno",4.000000,0,0,0,0,0,0,0,0,0
"wzcagczBByEBxBDIvBdknBByycuopcupcvfavBbBJwEABbAirIBABABkbnAKaAAyytdrqyBbGBABocdBxfAEsorEyAfvBBBpBBBBIxufwrGBdBfzvfcaxgab",116.000000,0,0,12,0,23,21,22,0,0
"wzcagcdfdKEaJlniLHCEnvHGycuGucmyIDcGttEmBaBKvkmpDKkvkkxAbDvvvvwuByueduqBBrBBBuEBwBsBBBBtpEouBBBBxuBrBBBBBBBByclzvfcaxgab",116.000000,0,0,0,0,0,0,0,0,0
"wzcagciiAtEKmcnwAtiarEjyycuopcDbDBBaowyBJBAvBJqBBAtvmDAvbmnByuerdBABBEpIEGIBBBAtGvtBpBpxdBKBuwoDIBqGBBBBBBBBBBBBvvvvxgab",117.000000,0,9,0,331,0,0,0,0,0
"wzcagcEfpAEliHAayAtcbzByycuouruynBbIwnmpBABBoBBwBBaABByJLBusemBBBaBrBBBBucGBAByBBulBBBlBBpBLEvuBarBbBBBABfgeeFBzvfcaxgab",116.000000,0,9,0,42,32,0,15,0,23
"wzcagcAAleadvnzuAxoABtryycuupcuycqfGbLAowdmBpxAxEwmcABEvAirfBnfBBLJBBBBKBAvBmnBABpbBBBBBBEBAeABBBlanBBpBDBEBdmfzvfcaxgab",116.000000,0,0,0,2,0,79,0,0,0
"wzcagcvJHAErpcuaipsACbByycuoucByBBBvnBBEFBEAAnkBkBBBBBBvBBpBBBABByBekbBdtBBvdBxBbBBBBnBBBBarBBGBByBBBHmveduAEqAzvfcaxgab",116.000000,0,2,0,35,8,0,0,0,0
"wzcagcraqzEBnEoGydvkBbsyycuopruvBBABBArBBbvABBmEnBKBBbByABABvJKwnlBldemDAkmBpBJqBBtBKHBaqBrBBIEBBBqdBBBlfpBBelezvfcaxgab",115.000000,0,15,0,50,0,25,0,0,0
"wzcagcezByEmCpniAADswyIaycuvucnyuttBBmBAnBkBBvEdIBwByBnAEbBAtErBuBKAaByBBJBeBlBBGtBBBvBBsxBvBBABFKLBBbccpuABBvizvfcaxgab",115.000000,1,0,0,10,22,0,0,0,0
"wzcagcdrvbEvclmzxAbKwzzyycuxucJyaBBGvxcBBdyAvEBBuBucevBEyBuGdBkKfBxeEBBABAdjBBEBfkfllBBbJBqABBpuxkvABAABtrBBBBBzvfcaxgab",115.000000,1,1,0,7,17,0,5,0,0
