genome,scf,scf_no_int_bio
geno,0.000000,0.000000
wzcagcjzxEEvoAlIAHzAJALyycuopburuBEBdBwBByBBEBBBBBABAmBpBBBBBBsyBBfnrfwoBBvvBDBlBBAyIAGptABDnrBBBBBBBBBBvBBBnBBzvvhaxgab,15.410000,14.770000
wzcagctJaukaEtpIjljaEmkaycDoacuvcveeABArBDvBBmsrFBBjBBBBBuELABABvBnoBtBBBpBBBBBBmnBKBBoBAByxBBuyBjmBBEBBBBBEBBBzvLqvxgab,15.400000,14.940000
wzcagcHvyyExxEyJiffmcAjaycuopcucBvkBBkBpoxwBBBELBfABsaBcBxABkfKKqABAkjBBBdBGLEBeBBLnBBABGBvBAAABByBBivuxqdiedCLzvvyaxgab,15.400000,15.440000
wzcagclucCEycGEjziAHbpHyycubGGucByAnlBBmBByBtbnrBpBFBBEBBBBBEBBBBBBuojBvBBvbBtrBBBBBBBBBBBAcyycEmrCdwBykBBBJBABzvvsaxgab,15.310000,15.060000
wzcagcvDGCEmmCIBbtAAyDGEycucuckDkBBwnBBBvsBBBBBvAEkBpBJBEBBABuAJBxBBtcBpBBBlBBBBBBBBAbBBsBwBBBBBBaBBBBBBByvpBBHzvvmaxgab,15.310000,15.020000
wzcagcpGKnwHvEirdkCABrxyycuopcuyBAfGecjIBByGAnaBBEfBvAfBBvwBEuABbBGBrBBvBEBBytBAABBBBBBAAnBBArBBBJBBBBABBByBmtizvvlaxgab,15.300000,15.040000
wzcagcCHiiEzoubIpAEAtaqyycuopcuyBBFBABfEEBbBJbBByvBubBaqBacroBBBBEBybBBtBBBBnBaBBGyBBBBBBBBpBBBBvBurBBBBBBBBBryzvvmaxgab,15.400000,15.430000
wzcagcwsfjEJCvABjaAowBsyycuopcucBBEBByEBBBBqBBBBBBmBBBBvBBbuByBBBBtBvBBrBFBBBeByBBBBGBBBBEvGqBBBBBBBBBBEBBBBByczvvtcxgab,15.380000,15.050000
wzcagcHpukEmbbwmyvAIlCqyycuopcBypsuGdBvyuABKvybacAajqcDBAucBpbJLsBBBBBucBBBBEEdcBBBBBBBGByBBBBBBbBBBBBEBBBBBvLBzvvhaxgab,15.340000,14.900000
wzcagcvHcvEicKAKuAlvzhayycuopccyBEqBBBBoBoDsBBBBBmBwBxDBByDBvqBswBBBBmrBBBBBBBBBBBBBlBBBBnaBBBBuBBEcBBbEAupuzcAzvvpaxgab,15.350000,0.000000
wzcagctcanEufqItncicljDyycuopcucdaaBJfBBEByBBsBBpvvLBBxBBBLBmJBBBBIBBjBtBLBBBBBBBytAyBBBEBtcBBBBBEBBBBBBBBBBBBBzvvoaxgab,15.330000,15.050000
wzcagclAsIEsBrdInEdkzJiyycuoGfuvBxAKhBedAGrvBEBBDIBvBqwvBvDKBuGBvBBocBAvAByvBBjBBBBpABBqucBEqABBeBxBBtJBBBBBBBwzvvKaxgab,15.420000,14.850000
wzcagcoxKdEKoDJfjHqjHDiyycuopcuybBjJABEBBABIAnwjdywmwsxoAGBvvEDoqyuDqGqABrByqjEJpBfylLBpBaAuBuaJBubrBBBBBBBBycyzvvyaxgab,15.260000,14.630000
wzcagcAdadEAEEBcssAmEDAyycuopcuBaADBaAdBaBarGBLBBBGDBBrrBBBygcBBBDpBBBBEsBfvyFBBBBBBBBBtBrBBByBBBBBBBBvBBmBBBwxzvvuaxgab,15.390000,15.010000
wzjagcjzrrEvvcluaizarwtyycuopcuBbKABrBBBivBKBBBwBBBoBBBBBBBmaBBIBBBBBBBBqIBBBBABBBBBBBBByBBbwBBBBBEvEBBBdBBBBBEzvvhaxgab,15.400000,14.970000
wzcagcAAncElAzbrmpCAABvyycuopcuyyuAGLKBBBovAyLrurBBEBByaBlBBEvIpsblBvxckdaAmBBAytpoKABIAoABwuArBoBDBBBBBBBBBBBEzvvmaxgab,15.360000,14.850000
wzcagcvHjmEAkfLxkjzcmrEyycurJjuoKrBBBBBBBABBAEBBkBbBBBBBvBdBBBBBAABBBDBbBBpBBBABBBBBEDBBAucBByBBBBvBBBBBBvBBoBBzvviaxgab,15.370000,14.870000
wzcagcwHsBEelGGqpuuvrycyucuopcurKBvEByysBryyBBuBDwBBBkBuBsBGDAsEpBApsfqAurABLxoBynGBBBvBEBpsBBBsmvBBqAIDyBsiyjAzvvdaxgab,15.340000,14.890000
wzjagcybEjEtrCwpBkBuklbyycuopcuyzIrvBAxBBjyBKtBBaABKBarBBDBBBBBBBBBBvBBBBBBEBBBBysBBABBBBBBBBBykBBBBBBvvBBBBEBBzvvnaxgab,15.370000,14.870000
