"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"8k","l",500,13,100000,1438351,"wzcagczBByEBxBDIvBdknBByycuopcupcvfavBbBJwEABbAirIBABABkbnAKaAAyytdrqyBbGBABocdBxfAEsorEyAfvBBBpBBBBIxufwrGBdBfzvfcaxgab",24.9014,9.67,27,11,11,110,9.6,0
"8k","l",500,34,100000,1828520,"wzcagcdfdKEaJlniLHCEnvHGycuGucmyIDcGttEmBaBKvkmpDKkvkkxAbDvvvvwuByueduqBBrBBBuEBwBsBBBBtpEouBBBBxuBrBBBBBBBByclzvfcaxgab",26.274,9.72,31,10,10,119,9.82,0
"100k","l",500,40,100000,1511904,"wzcagciiAtEKmcnwAtiarEjyycuopcDbDBBaowyBJBAvBJqBBAtvmDAvbmnByuerdBABBEpIEGIBBBAtGvtBpBpxdBKBuwoDIBqGBBBBBBBBBBBBvvvvxgab",97.5856,9.69,35,5,5,113,9.75,0
"100k","l",500,5,100000,1377895,"wzcagcEfpAEliHAayAtcbzByycuouruynBbIwnmpBABBoBBwBBaABByJLBusemBBBaBrBBBBucGBAByBBulBBBlBBpBLEvuBarBbBBBABfgeeFBzvfcaxgab",134.896,9.66,37,8,8,113,9.66,0
"8k","l",500,39,100000,1550105,"wzcagcAAleadvnzuAxoABtryycuupcuycqfGbLAowdmBpxAxEwmcABEvAirfBnfBBLJBBBBKBAvBmnBABpbBBBBBBEBAeABBBlanBBpBDBEBdmfzvfcaxgab",10.535,9.71,30,13,13,108,9.7,0
"100k","l",100,48,100000,352319,"wzcagcvJHAErpcuaipsACbByycuoucByBBBvnBBEFBEAAnkBkBBBBBBvBBpBBBABByBekbBdtBBvdBxBbBBBBnBBBBarBBGBByBBBHmveduAEqAzvfcaxgab",0,9.7,44,6,6,113,9.42,0
"8k","l",500,4,100000,1689504,"wzcagcraqzEBnEoGydvkBbsyycuopruvBBABBArBBbvABBmEnBKBBbByABABvJKwnlBldemDAkmBpBJqBBtBKHBaqBrBBIEBBBqdBBBlfpBBelezvfcaxgab",0,9.66,35,11,11,114,10.1,0
"10k","l",500,17,100000,1746446,"wzcagcezByEmCpniAADswyIaycuvucnyuttBBmBAnBkBBvEdIBwByBnAEbBAtErBuBKAaByBBJBeBlBBGtBBBvBBsxBvBBABFKLBBbccpuABBvizvfcaxgab",0,9.63,35,7,7,112,9.7,0
"8k","l",500,21,100000,1771584,"wzcagcdrvbEvclmzxAbKwzzyycuxucJyaBBGvxcBBdyAvEBBuBucevBEyBuGdBkKfBxeEBBABAdjBBEBfkfllBBbJBqABBpuxkvABAABtrBBBBBzvfcaxgab",9.74041,9.71,29,12,12,112,9.84,0
"1000k","l",500,45,100000,1702119,"wzcagcypvxEwnAoevynuEpCyycuopcucsBBvBBsBLBABtaBBvmBBBBBBBDoyvkBEBBBBBBBbpBAEBBBBBBBLJBByBBAtBarBBBByBBBvBjBBBBEzvfcaxgab",33.5774,9.75,51,4,4,116,9.74,0
"8k","l",500,45,100000,1755568,"wzcagcvLLiEjzqHuiADopbzyycuxKIucEfaKBoAEJjAALIBqBdcxyjLBtpqEBufvEtwyBBqBGdaBALFrbBxDtaAJAIfBcwtcBBBByaBBABBBBryzvfcaxgab",19.6204,9.58,23,13,13,112,9.67,0
"10k","l",200,9,100000,718378,"wzcagcbuCyEvCacvBuAfyfjyycuopcuycqjGADABAoryBtyvBtqBBBtBByaaEqarBysBrbBBBykBAEBBGBBBBsButBpBBBBBBBxkDAwEbLEBfAHzvfcaxgab",30.866,9.74,35,5,5,113,9.62,0
"10k","l",500,49,100000,1759385,"wzcagcrGoqEGrHnvoEfuezEJyruvucByujvucuApEBvBDBkjEBuFBrBBBBdBBBBsABBBBbdAEdBAByBBjBuBBBBBBAbBycivpJpcowmvGjprodczvfcaxgab",10.2737,9.68,31,7,7,115,9.58,0
"8k","l",500,13,100000,1438351,"wzcagczsBGEBwBmBvBdbeBByycuopcupcvfavBdoBdEAdbABrKBfDBAlBDlKwdAyyttrqyBbrBdIocdBxeAEsorEyAfvBBBpBBBBIoufjruBdBfzvfcaxgab",24.9815,9.66,27,18,18,114,9.67,0
"8k","l",500,39,100000,1550105,"wzcagcaAtenJvAzubAoeBtryBBuuucLycaIGerAobAIHpLfdEaAdAaEvAirfBsbBBLCBBBBeDAvBmBBkBBBBBBBsBEAAksmKBufwBBpBBAEBAmfzvfcaxgab",0,9.59,29,15,15,107,10.06,0
"1000k","l",500,4,100000,1675410,"wzcagcvxycEfIvivAyAAxwvvycuopcufKvBBoAxBrBBybByBABBABABBbwBBBEEtBBBBaIdBBvrEByBBBBBBBEBBBBBBBBBBBBBBBBBBBBBBBBBzvfcaxgab",46.8529,9.67,54,5,5,113,9.66,0
"100k","l",500,46,100000,1317455,"wzcagczsakzckAbtpzBAkpByycuopruBrBBBBBBJDByBBIABBpBxAyABbpkoEdEBAExBBBAKBKuLIuoBfrBBByBBBBBBEvBBBBBdBBbBBfgJluezvfcaxgab",0,9.64,41,9,9,113,9.53,0
"100k","l",500,35,100000,1675862,"wIjagchrAAEcHkAwevuvJojyycuvucvyBBBjBpIwBBBBBBBBBBBbBuBBBBBaEBBBBBByBBvrsEGtoAoyvvrvvtIKatxprBBBpBByBBBBBBBBBpBzvfcaxgab",26.8793,9.64,44,3,3,116,9.7,0
"10k","l",100,4,100000,364752,"wzcagccLwcELbvCytvaGdEJyycuopcuyyoBBuyBABBBuGBeAEBBBrBBBBBBEBBBBvBBEBBnAjjBBBxBecBviqCmAqjCBrmmjvAvsAJlvJvixxinzvfcaxgab",12.3198,9.66,33,6,6,114,9.72,0
"8k","l",200,23,100000,734270,"wzcagcIJcyErenEisHEywAdyycuopcubcdaGdIlBooIvDAGwJrLBAvJcxAvevGpyBpJwyotdjBGBBEryGscByEyBBBjAIBBBBBBdBBuBrBByodBzvfcaxgab",21.952,9.62,23,10,10,115,9.67,0
"100k","l",500,46,100000,1317455,"wzcagczsakzckAbtpzBAkpByycuopruBrBBBBBBJDByBBIABBpBxAyABbLkoEdEBAExBBBApBKuLIuoBfrBBByBBBBBBEvBBBBBdBBbBBfgJluwzvfcaxgab",55.686,9.61,41,8,8,113,9.51,0
"8k","l",500,25,100000,1736004,"wzcagcKoaAEuvvkqbExtIpnwycuopcuwxBKfBDEBByBAuwAeAuAJEjbBrfBBbfpAuLjBvBADurBxywAjBIBvBBKBBBBquABBEpfGuBotBBBlBtBzvfcaxgab",9.73503,9.63,29,10,10,111,9.63,0
"8k","l",500,13,100000,1438351,"wzcagczsBIEBwBmBvBdbnBByycuopcupcvfavBdoBdEAdbABrKBfvBAlBDkKwAcyyttrqyBbrBABocdBDbAEsorEyAffBBBpBBBoIoufjruBdBfzvfcaxgab",31.8922,9.67,27,15,15,113,9.58,0
"8k","l",500,0,100000,1846645,"wzcagcvCvuEBJvAIeABdABmyycuopcuvcvAGrIEAyAlBlDAfjluAKBAlABBvvpAyBBAAAsEABBAtexJBAABBttryAJBvsrABBvBBsEBEBBInBBBzvfcaxgab",0,9.68,27,6,6,100,9.87,0
"8k","l",100,9,100000,390605,"wzcagcEAoJCAaAcyCBFiafryycuwJduIoooyIvjvcHrymEvxlCtlABzttndAAEAcvAvCtsvBAdAJbAcpApArBBuBAABBBtBpAuGyBsdArkrEHwozvfcaxgab",0,9.6,15,6,6,103,9.52,0
"8k","l",500,13,100000,1438351,"wzcagczDBuEBxBmBvBdBnBByycuopcuKcesavBeoBaEBwxABrIBkfBAlBDlKwtAyyttrqyBerBABacdBxeAEsorEyAfvBBBpBBBBAoufKryBdBfzvfcaxgab",24.9827,9.58,30,15,15,113,9.66,0
"100k","l",500,5,100000,1377895,"wzcagcEfpAEliHAaaAzcbzByycuouruynBbIwnmpBABBoBBBBBaABByJLBusemBBBacrABBBucGBAByBBulBBBlBBpBLEvuBarBbBBBABfgedFBzvfcaxgab",129.059,9.66,36,8,8,112,9.74,0
"100k","l",500,5,100000,1377895,"wzcagcEfpAEliHAajAtcbzByycuouruynBbIwnmpBABBoBBBBBaABByJLBusemBBBacrABBBucGBAByBBulBBBlBBpBLEvuBarBbBBBABfgeeFBzvfcaxgab",130.458,9.64,36,8,8,112,9.66,0
"100k","l",500,5,100000,1377895,"wzcagcEfpAEliHAajAtcbzByycuourtynBbIwnmpBABBoBBBBnaABByJLBusemBBBacrABBBucGBAByBBulBBBlBBpBLEvuBarBbBBBABfgeeFBzvfcaxgab",0,9.62,35,8,8,112,9.71,0
"100k","l",100,30,100000,352000,"wzjagcAECjEtABqBsAAxwaAyycuoIrIqmABBIAAvAbsvAFaAAvdABobcIfvABaBarBEABBBBBBBBBBGBBBBeBpABABBbBBBBAEFBBBBJBBABByEzvfcaxgab",0,9.59,39,4,4,101,9.51,0
"10k","l",500,35,100000,1775426,"wsjagcmIywEudovLAbLlDxyfycuoKfucBvmamAElAKJwyBjBjpBybBwuburpuBBBBBrBBBBBbBBGBoBxBjBBdxByeKBEBJcpbLABBuBqovBqBBBzvfcaxgab",0,9.57,33,12,12,116,9.59,0
"1000k","l",100,21,100000,367004,"wzcagccyrAFvDAukvLDuKKLyycuopcuyBpBqAkGBvvKBlBBBJBBBsBAvBuLAByuEBwxjvLdBqAwvvAAuBrBBBbvBByBBBEBvBBBBEBBBBBBBBBIzvvyaxgab",40.2011,9.64,40,8,8,112,9.3,0
"10k","l",200,1,100000,723419,"wzcagcHityEtlcfGfzJKfvtyscuopcByBbvyABqBIoBoAfKDqbArvxaAJucBBBIGEbpBBuBbBdEBIvoBKouBEEBavevjrBBBBBBBBBvBBsBBBBBzvfcaxgab",24.7172,9.73,33,10,10,116,9.75,0
"8k","l",200,0,100000,724117,"wzcagcAAzEEfryjbGEJDBaBAycuopcuAfEBBvoBafEAofxABDfoBBvIyBbBsulBkBApKrBAyBAGIBBBBedBBBvtBABIBBBBxjcyDBBryyuddJuyzvfcaxgab",12.5459,9.64,32,11,11,110,9.46,0
"10k","l",500,33,100000,1731291,"wzcagcKbafEDhlFmnApfmrjyycuopcucByvmBBvwvABBEpBuBBBpLlndABvouBBbLBqBBdByADaBBdBBtBBrBBBBBBvEBBsBBBBDmGwpBBfBBBBzvfcaxgab",10.4238,9.73,43,10,10,116,9.63,0
"10k","l",500,49,100000,1759385,"wzcagctKvqExrHnjozrvyvEvcrufukvyurBubjwpEBfBDBBjEBuBBryBBBjuBBBnwBBBBeBAAdBBByBBwBtBBBBBKAEBbxBvlajbytHvjvprhjbzvfcaxgab",15.5126,9.7,33,7,7,117,9.9,0
"8k","l",500,13,100000,1438351,"wzcagczBByEBxBDIvBdknBByycuopcupcvfavBbBBwEABbAirIBABABkbnAKafAyytdrqyBbGBABocdBxfAEsorEyAfvBBBpBBBBIxufwrdBdBfzvfcaxgab",28.0582,9.67,28,13,13,111,9.7,0
