genome,scf,scf_no_int_bio
geno,0.000000,0.000000
wzcagccjxdEywaDynomAwqeKycurucqEBufBbyufjBmpBawGjyuBoBBAfBaBuABErxByEnLDBJfBBBAcJBBAdcBBBeuBdDBLBsccBBBBBBBBBsBzvvvvxgab,21.430000,21.430000
wzzagcaDsAEKcwhlfGprckBnycuopcoyBAABIqcGBABaxIBfADaJuouBqBrBBABBAjABBypBEBGAJlkpEBIBqoJBuBItowryBBBsEpyByBBBBBBzvvvvxgtb,21.480000,21.480000
wzzagcaBDAEAKyklfDpickcnycuopjoyBeABaecGKDBuyABfAjaouquBqBrGBAcBplABBtpBEBBpqempEBIBeoJBuBItowryBlBDEprByBBBBBBzvvvvxgtb,21.470000,21.470000
wzzagcaaDAEKKyklfDprckcnycuopcoyBeABGocfBABuyABfAjaJuquBqorGBABBpxABBtpBEBBpKempEBIBeoJBuBItowryBBBDEprByBBBBBBzvvvvxgtb,21.380000,21.380000
wzcagcGtlbEvyCBuEvJAKotyycuqDcuycowAAEAAqGxCrBBBBBBBBBBDqBJBApBABByBBrBBwBvBbtBaErJBBvBBBBBBByBBxBAoBycvnzvvvhcvvfcaxgab,21.340000,0.000000
wzcagccjxdEywDDynozAxbeKycurucBEuufBbyBGjBtBBdwulyuBoBBAABaBuABErxByEnLDBBfBBBAcJBBIGcBBBeuBdDBjBsccBBBBBBBBBoBzvvvvxgab,21.360000,21.300000
wzcagcjCAuEEoBkkBEdAqpByycuopcuccBLBBeyLBydtyBBBBaABBtBrBBpBBABsBBABBycdccCjrKABaAAfyCIBBaCBBABByBJBBBDBBBBBBEBzvvvvxgab,21.430000,21.430000
wzcagcjCAfEEjBkkBEAAqpByycuopcuccBLBBeyIBybtyBBBBwABBtBrBBBBBtBsBBABBycdccCBrKABaAAfyCIBBaCBBABBynbBBBDBBBBBBEBzvvvvxgab,21.410000,21.410000
wxzagciAkoEDnraEraExAwyfycuofruyaeBwEBoBBrJAcBpAxcwBBjBdiJnardFDuAAcABxucfAqBBBuaruuytBBnwwBaiDrBBBBJpBBurBBBBBzvvvvxggb,21.460000,21.460000
wzcagcjrzrEescjaatkHawfyycubrBucBBbcIojuyDqBswBqcEAyoBBuBBBBBBBBBJqJurnwEBBAmBwBBxBkjBBBEGxpBjBksBBGfbqjIuBaBBazvvvvxgab,21.470000,21.470000
wyzagctaKzEhotaEDpEItDyJycuoLruyaJBGEBoBdrmAcBpAxccxBBBKvxBardnIqAxGroxucBBqBBBdaruuytBBnGxBaxxrBBBGtpBBuGBBBBBzvvvvxgub,21.440000,21.510000
whjagcebyjEbqmyaIkkzwpnAycuopcGytGAwBEwtuqqcfpsjryALsBuAeuKorAwuADdBBBaBBJBAByByBpBEBuBrBBByBtBBBEBBBBBqGyBJBLBzvvvvxgab,21.480000,21.480000
wzcagcmqGCExuKCiGuAuxdbyycuopcuyByuyxxIEEKwBKBBbajEBBjbDyauBBAryuBBoucBsBBBBBtbBuBABBIBBBlayBBeBBBBdBlBBriibDyIzvvvvxgab,21.450000,21.450000
wpjagcubsxEqsBbnBmdmwlnxycuopcBuBBAdAEfkasGoqduknyxcuBuwfjborBDudcfBBBxBBbBuBwAwxpBEBuBrBbqBBLBBBEBBBBBBBbBBBuBzvvvvxgJG,21.420000,21.420000
wzzagcaDsAEKcwhlfGprckBnycuopcoyBAABIqyGBABaxIBfADaJuquBqBrBBABBAjABBypBEBGAJBkpEBIBqoJBuBItowryBBBsEpyByBBBBBBzvvvvxgtb,21.340000,21.340000
wzcagcGBbAEECBDkaEnAAAByycuopcucJBoBwdylByBeyBBBBBAABtBrBBBBBBBsBBABBycrJcCIbABBaqyycfoKekCBBAaBBBABByKBBBBABEBzvvvvxgab,21.490000,21.490000
wzcagcDbrBEItpBItKBADieyycuopcuroBByJkfBABptnybABbtAEBoytryEAnAEBGlBByejdBpscBpBBBwBBtBoeBLDBbBnrBdyBBBBBmoBBBIzvvvvxgab,21.490000,21.490000
wzcagclJwAEmmrCytwndGEJyycuowAurBBBBtBBBBBurBEjaoBrABBbBBABBABBBpynBytrBfyeGswpIsBrEBnuBBBBBBBBBBBBBBrBBBBBBBBbzvvvvxgab,21.310000,21.310000
wzzagcGlDAEKcyklfGprckBnycuopcoyBAABIecBBdBayABfAjaJuquBqBrGJABBGyABBtpBEBBAqxmpEBIBeoJBuBItowryBBBAEprByBBBBBBzvvvvxgtb,21.500000,21.500000
whjagchbaxEICGJHArqzwqnLycuopcdloBlAjElCaLDAqanGnyyIuoueejborBDBxcfBBBwBBbBJcyBBtpBEBuLrBjByBBBBBEpBBBBBKhBBBdBzvvvvxgak,21.330000,21.380000
