"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"8k","h",100,39,100000,488702,"DwjaJcqArqEkrIlepgcprvjGsvtjvuwBwBEBxoAwaDHzHvnrqdfcywuGxrjnuyIuucvIBaIkxKEBxsbBkIBxnnABkEBIBdvBBuBaovBarBBBBBzvvxCvgylx",11.3227,17.85,22,5,5,117,18.03,2
"10k","h",500,48,100000,2017057,"wzcagcuvfDojvjJzCoApLarwyJuEvryEcEfGqbDoyuBbvouBoKDrJjaJstlltFtBvsnpIuckEvBBBJBlFBfloDcLsBlBpIBwBpsxEawmfbItEBBHxzvvxgab",0,18.17,19,7,7,119,17.97,2
"10k","h",500,6,100000,2209816,"wrjagcIjDjwkImIcpIEdGAuEaqlbKBkycbjuIcrEkyufahqADrkaxpsucLKBBBfABBdqBJBajbynJDdqBGzGBBvsbJnmwoJsABBBdbAEwGBBudHBvzvvxgsm",0,18.08,20,10,10,115,17.88,2
"8k","h",200,17,100000,887955,"wzjagccshcurIcyoueIrBvvEyfuFfquDboyDujyxDEfKKJrtAJvGwyvuGrIEewprsrJdBoBBAucBBlBBqDsfBBwoBqkBBtBeJBvBHvEDBqkCEmtzvhvvxgJs",0,18.15,23,10,10,118,18.06,2
"8k","h",200,48,100000,917490,"wkjagcyJrnBxqiGywdDFBEEeyrDpbAnoucdvtyfIuxAjEqstGAvLpEfwuvojuFmsqrtBbBayEBBBAlBJEJtaBBdvBptEKeuBDBIqkBBKBFBfioBzvvxggaCL",23.3818,18.27,22,12,12,116,17.96,2
"10k","h",500,12,100000,1967737,"wyjagcekIvsxEbohCkrCIAiwycurbEucvbjsstewsfmifjkaADArjAjuJyeHeAJLlyrtccJnGBBxxBGBBBBBBEKilBpKjBxBkBBJmEbBBBvvBpIrvzvxvgnx",0,18.01,21,9,9,115,18.01,2
"10k","h",500,24,100000,2284375,"rwjagcCvIqAovczzHcdwoLEyycuopcuycozpcKjKqqLcxlEyttqxrIeAaDydosBEcJKHErdodAjEtLBLmkBBBBqBBBpBKIBtLwBBEfBBbAnoyvnzvvEvxgBr",0,18.16,18,15,15,116,18.01,2
"100k","h",200,1,100000,960273,"wajagcJFvopcrwzLvysEeeEiycuoujoydvEBEadyKoxrBptedDqBafjrBknBJBLuwwEBByeldtpKpBBBBnBBLssakjBlBGwvBvnBBDdcBqDvBBBzvvvfxgGi",59.6147,18.14,26,16,16,120,18.21,2
"10k","h",500,6,100000,2209816,"wCjagcjqGotjEpjzBpEjIjujwKnxIdmycIGuKBrEKrufuemJarEBxpsucbfjBBJBqfdBBBBBIuBddlsjBBsBBuvpBJdbBdcImmtqBBuBAbImDceKvzvvxgin",0.345029,17.74,23,15,15,119,17.73,2
"10k","h",100,40,100000,446841,"wzcagccnajqBEGCJxGldyDaycvuBscoqyBkyGrBfEvsmdcELqpcIurBBktBBbslBspBKtkEyBEvBBFBGxjBjBnoubBmpaqybJpBoydBBBdtokBBzvxvgxGab",0,17.84,25,7,7,120,17.9,2
