"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"100k","h",500,32,100000,1431827,"rwjagcEbuaqmkjIJckiywAqEycuBJLujrbEBxEIAFuBtqsKpnuJoKLrAjopBuswjGInKrGbmjIzJAnpvtaBJkoBJsIEaAAIsAACfBumGlobuApCzvBcxgCFJ",97.2477,10.23,11,6,6,111,8,1
"100k","h",500,18,100000,1388175,"wfjanhEndqnsicoysHxHuGkKArsbKkugcyuImscnxassyuAJuqrkFsdGxEBplLcntaDxcEwnBFbriBbxCpBktwckwqEuxevoEIfAdsbjHEmqrLbzvBcxgwKn",99.2376,10.22,7,11,11,117,8,1
"100k","h",500,6,100000,1890563,"fwjaEIgcpKnBKbrmrrzyqbuyscurtIlfpGuEEBkIdEcGAnmatvcDyuBKqKdxdufGbIJcvoyrIiHpcpdnEucBmBfnBFGBDapBGBxBkBkvjsamIfBzzvBcxglJ",112.625,10.28,15,13,13,119,8.41,1
"100k","h",500,36,100000,1562078,"wzcagcdfqEyxAwKliatfktyjGoycIuuEKIIEibrbupuBJAfEduodlIxFuEfjjIbpaABziDjBjoqkqwHwDmKuwweozcmbHddoDIceqbqBcotpkCizvBcxgJab",92.2019,10.26,9,14,14,117,8,1
"1000k","h",500,6,100000,1318313,"rwjagcAjIFvBECJDuAGtlmnsLlboxbjGqdtAIzonbywJEadbfAHnerFKIDnaodkkbmBnyEucnxavajyJEJumsabdrbtxzcrypspDufElABafvEpzvBcxgrAG",192.035,10.57,8,10,10,114,8.14,1
"10k","h",500,32,100000,1377667,"wzcagcGxucEtAcfjmGdvLEyoyJurpGusFGAmvoErnEmBDnbjJBBBAooqaplAawsaonkbxmvenlbkIBbjwBDolqaxLEoIiABjizpsfyJplBoLEvqzvBcxguab",20.8043,10.33,11,7,7,115,8.24,1
"1000k","h",500,34,100000,1338555,"owjagcyDInqqLIIByEyLqEivycuwjdvwnaJrdulamsbvtBeeAtEdBntocscCauDqEabnIusElwByxfnBlBHaukdIfGGjGbKJBtkuytaLkFxxzqGzvBcxgwcH",190.786,10.52,11,12,12,119,8.15,1
"10k","h",500,10,100000,1539309,"wBjagclJmIvGxokECpDlbtyyycuopcryoybmKjsIsLLbBKwABrlDysEmrmyJxGmbmaGjJfpbcJvEsfjsqBrcHllkHxdDyyLIDEmyuCuzBDfvcKjJzBcvxgub",45.2367,10.35,13,10,10,119,8.39,1
"10k","h",200,47,100000,668763,"wzcagcLlBzutLsEujJidGrlbsslyvnqqllymbcKLImaKujxmryuEuctueBJGBlppeFGDEDuvcjtatrtoEBoiGJvEHoadzwyxuyoucKGifpIBkjczvBcxgKab",43.5829,10.57,8,12,12,120,8.24,1
"8k","h",200,44,100000,592863,"mwjagchEwhGrvAiIfzzLyvlyycuyacuycjDbtaqlJpvipzJxiqpzaGowzlsxsbjAfACBuEimfmodekppBDvDBsuLeJCyujJEvBcfEzsLJLJpkHCCzBcvxgvp",35.5522,10.56,12,11,11,117,8.33,1
