"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"1000k","l",500,24,100000,1764659,"wnjagcGvedEvkweBvuAvawJyycuopcurBBABBABvdBBBGvBBJIKBBBbByyEJtBaAorByBBsyBByBBBBBEBBBuyBBBBBycpcBBBEBBBBBBBBBBBBzvvcvxgab",63.994,18,49,5,5,116,18,3
"1000k","l",500,21,100000,2071790,"wzjagcAwLbEplaivvIzzlbfyycuopcuBKEoBBBBaxrBBBBBBBBymsBBBBBBtpBtaBBBABBBytBrBBBByBBBBBBBsEByBEBBBBBBBBBBBBBBBBBzvvfcaxgab",62.3077,18.01,57,4,4,118,17.66,3
"1000k","l",500,14,100000,1811270,"wzcagcsbBaEkEajecndmvvCyycuopcuycjAdbrduBvBGpBsBBqBBvABBBBvEBBBByBEjBBBBBBBBBvBBBKutBytBaBBBaBrBBBBBBBBBBBBBBBBzvvBvxgab",51.681,17.96,53,5,5,118,18.23,3
"1000k","l",500,49,100000,2121829,"wzcagcoAJmEEzpcIEvxbCIjyycuopcuyElllAAxByFbuqBaBBrBBbBwBIBbxBBbByvuBuryBBBBBBBfBBBBsucBBBBBBBBBBBBBBBEBBByBrAyzvvfcaxgab",25.4196,17.99,44,2,2,116,17.63,3
"10k","l",500,46,100000,2021724,"wzcagcbvamEvcpEfvjLbIqdyycuopcucBIxBAEBDyBIjbeBDocbwBDLekAqBbJBytrBLBBBLvBwyBIBBAAABvEBsBBqJrBBBBBdfyyBpnBbBvtyzvvvaxgab",15.5045,18.01,31,10,10,115,18.25,3
"1000k","l",500,49,100000,2121829,"wzcagcAkpmEEzppkEvxbCAIyycuopcByElllbABByFbuqBaBBrBBbKwBIBBxBBbByvuBuryBBBBBBBpBBBBsucBBuBBBBBBBBBBBBEBBByBrAyzvvfcaxgab",78.4629,18.11,45,2,2,116,17.63,3
"10k","l",500,31,100000,2078093,"wzcagclrmGEwDluqLzwDaEAyycuoucByBpBAEytnBxBBxyBBBJDwtBBwDBBpBnBBBLBmAujfucBBEnBBBBBlHbBJuBBBdcBbfGBAqBByJuyccJzvvfcaxgab",0,18.09,37,6,6,116,17.57,3
"1000k","l",200,4,100000,738685,"wzcagcakICEaIsdbwlvAjGAyycuopcucBBIBBBbBBByBEBBBBuBBBBGBpBBBkBBkvsGBaByBvtyBBtJBBBrBBLBBBBEBEBBBBBvpBBBBvuBBvBzvvfcaxgab",51.7749,17.96,51,3,3,118,18.07,3
"8k","l",500,15,100000,2363467,"wHjagcxjEDEpEscmvovuGxeyyowIpcueKDBeBKKdcvLBGGcBjjoIwrBBBBBwBBByBBBBEBBAnpBDBwkdyJvAiknnCpBmIBvpbBkKycCBwBBvBozvvfcaxgab",7.91017,18.06,32,11,11,118,18.01,3
"8k","l",500,15,100000,2363467,"wHjagcxrEsEbEBHkvtvxexeyycuopcueKDBxBKAdDvBoGGxBDIofwrBIBBBBBBByBBBBEBJcnpBDyrDIyJvAdtkICBBmIBvBJBdDycCBABBvBLzvvfcaxgab",8.48878,18.06,36,11,11,117,18.08,3
