reduced_genome,scf
wzcagcAAAAEAAAAAAAAAAAAAAAAAAAAAAEAAvAAAAEAAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAvAAAAAAAAAAAAAAAAAAAAAAAAyzvfcaxgab,13.470000
wmzagcAAAEEAAAAEAEAvAAvAAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABzvfcaxgab,13.670000
lwjagcvAvAEAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAAAEAAAAvAAAAAAAAAAAAvAAAAAAvAAAEAAAAAAAAAEAAAAvAAAAAAAAAAABzvfcaxgab,13.920000
wzcagcAAAAEAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAvAAAAAAAvAAAvAAAAAAAAAAAAAEAAEAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAABBvvvvxgab,0.000000
wzcagcAAAAEAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAvAEAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAvAAAvAAAAAAAAAAAAAvzvfcaxgab,9.870000
wzcagcAAAAEEAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAAAyzvfcaxgab,9.630000
wzcagcAAAAEAAAAAAAAEAvAAAAAAAAAAAAAAAAEAAAAAvAAAAAAvAAAAAAvvvvAAAAAAAAAAAAAAAAEAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAlzvfcaxgab,10.060000
wzcagcvAAAEAAAAAAAAAvAAAAAAAAAAAAAAAAAvAAEAAAAAAAAAAAAAEAAAAAAvAAAAAAAAAAAAAAAAAAAAAAEAAvAEAAAAAAAAAAAAAAvAAvABzvfcaxgab,9.960000
wzcagcvAAAEAAAAAAAAAvAAAAAAvAAAAAAAAAAvAAEAAAAAAEAAAAAAEAAAAAAvAAAAAAAAAAAAAAAAAAAAAAEAAvAEAAAAAAAAAAAAAAvAAAABzvfcaxgab,8.170000
wzcagcAAAAEAAAAAAAAEAAAAAAAAAAAAAAvAAAAAAAAAAAAAAAAAvAAAAAAAAAAAEAAAAAAAAAAAAvAAAAAAEEAAvAAAAAAAAAAAAAvAAAAAAABzvfcaxgab,10.020000
