"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"10k","l",500,32,100000,2338699,"wzjagcebyjEbqmyyIkkzwpnAycuopcGytGAwBEwtuqqcmpsjryAuuBuxekKorAwuAwdBBBaBBJBAxyByBpBEBuBrBBByBtBBBEBBBBBnGyBJBLBzvvvvxgab",16.0554,21.35,28,5,5,114,21.06,4
"10k","l",500,43,100000,1851396,"wzzagcaaDAEKKyklfDprckcnycuopcoyBeABGocfBABuyABfAjaJuquBqorGBABBpxABBtpBEBBpKempEBIBeoJBuBItowryBBBDEprByBBBBBBzvvvvxgtb",16.8805,21.38,31,9,9,113,21.34,4
"100k","l",500,41,100000,2822245,"wzcagcjCAaEEjBkkBEAAqpByycuopcuccBLBBeyIBybtyBBBBBABBtBrBBBBBtBsBBABBycdpcCBrKABaAAfyCIBBaCByJBBynbBBBDBBBBBBEBzvvvvxgab",46.6556,21.44,47,5,5,112,21.4,4
"100k","l",500,41,100000,2822245,"wzcagcGBbAEECBDkaEnAAAByycuopcucJBoBwdylByBeyBBBBBAABtBrBBBBBBBsBBABBycrJcCIbABBaqyysfoKekCBBAaBBBABByKBBBBABEBzvvvvxgab",0,21.44,44,6,6,109,21.3,4
"10k","l",500,41,100000,2711582,"wzcagcorCxEbCHitAotbrfqyycuopcuEBLqJwyjlbBBBuLBLJyoLwBfwBLdDuoDErBByEnDfjdaLfcsIIIIxBDwKBBuBAdBJrscByBBBBBBBBBBzvvvvxgab",3.97785,21.43,31,14,14,118,21.44,4
"8k","l",500,6,100000,2053668,"wzcagcvuBkEDdmCzEpiJcyvoycuoprursepotJwqBBBAExBBBDbaBIKdBADaEwdnAajIvfEIADwBqArwAyysxBBBBBBBABByBBtJBBvqycrLndqzvvvvxgab",17.6841,21.31,28,8,8,113,21.53,4
"1000k","l",200,5,100000,876618,"wzcagcrDimEbapjCAccBjBByycuIucGyKIBBBnBBBpBBEBblBBBnaIBIBkBBBBBEBBBJBABBBbkBBBBBBABBBBBBBBBJBsBABBBucBBBBBBBEBqzvvvvxgab",0,21.45,59,1,1,116,21.23,4
"10k","l",500,43,100000,1851396,"wzzagcaDsAEKcwhlfGprckBnycuopcoyBAABIqyGBABaxIBfADaJuquBqBrBBABBAjABBypBEBGAJBkpEBIBqoJBuBItowryBBBsEpyByBBBBBBzvvvvxgtb",0,21.34,33,3,3,111,20.94,4
"10k","l",500,41,100000,2711582,"wzcagckrqxEittAtdKGrdfqyycuopcuEcqGJwyjdbBuBBLBmJyjLwBfDxxdAuoaErBByEnDcjdaafcsIbIfxBDwoBGuBAcBfrscByBBBBBBBBBBzvvvvxgab",15.9131,21.48,25,13,13,117,21.39,4
"10k","l",200,5,100000,1070909,"wzjagcDkHlEtbscEtxHjlJAyycuoBaurBBtBoGnBBABqBftBBepekGAEuBGeKBnBGoEBBBempABmDtBArBBBfBBBebBJBbBByfBBBBLbBBBBxaBzvvvvxgCb",17.8425,21.37,40,10,10,115,21.26,4
