reduced_genome,scf
wzcagcAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAAEAAAAEAAAAAAAAAAAAAAAAAvAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAABzvfcaxgab,13.090000
wzcagcAAAAEAAvAvAAAAAAvvAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAEEAAAAAAAAAAvAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABzvfcaxgab,13.950000
wzcagcAAAvEAAAAAAAAAAAAAAAAAAEAAAAAAAAAEAAAAAAEAAEAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvABzvfcaxgab,9.790000
wGjagcAAAAEAAAAAAvAvAAAAAAAvAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAvAEEAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAABzvfcaxgab,13.910000
wzcagcAAAAEAAEAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAEAAAAAAAAAAAAAAAAEAAAAAAvAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAvAvAAAAEezvfcaxgab,0.000000
wzcagcAEAAEAAEAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAABzvfcaxgab,12.720000
wzcagcAAAAEAAvvAAAAvAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAEvAAAAAAAAAAAAAvAAvAAAAAAEAvAvAAABzvfcaxgab,13.840000
wzcagcAvAAEAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAEvEAAAAAAAAAAAAAAAAAAABzvfcaxgab,13.740000
wzcagcAAvAEAAAAAAAAAAAAAAAAAAAAAEvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvEAAAAAvAEAAAAAAAAAAAvAAAAAEAAAAAAAAAAAAAAAAAAABzvfcaxgab,9.970000
wzcagcAAEAEAAAAvAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAvAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAEAAAAAAAAAvzvfcaxgab,10.060000
