reduced_genome,scf
wnjagcAvAAEvAAAAvAAvAAAAAAAAAAAAAAAAAAAvAAAAAvAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAEAAAAAAAAAAABzvvcvxgab,17.630000
wzjagcAAAAEAAAAvvAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAEAAAAAAAAAAAAAAAAAzvvfcaxgab,17.820000
wzcagcAAAAEAEAAAAAAAvvAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAvAAAAAvEAAAAAAEAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABzvvBvxgab,17.650000
wzcagcAAAAEEAAAAEvAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAzvvfcaxgab,12.730000
wzcagcAvAAEvAAEAvAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAAvEAAAAAAAAAAAAAAAAAAAAAAvAyzvvvaxgab,17.650000
wzcagcAAAAEEAAAAEvAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAzvvfcaxgab,12.730000
wzcagcAAAAEAAAAAAAAAAEAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAzvvfcaxgab,17.800000
wzcagcAAAAEAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAvAAAAAAAvAAAAAAAAAAAAAAAAAEAEAAAAAvAAAAAvAAAvAzvvfcaxgab,17.650000
wHjagcAAEAEAEAAAvAvAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAvAAAAAAAAAAAvAAAAAAAAAAAAvAAzvvfcaxgab,17.630000
wHjagcAAEAEAEAAAvAvAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAvAAAAAAAAAAAvAAAAAAAAAAAAvAAzvvfcaxgab,17.630000
