"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"8k","l",200,0,100000,724117,"wzcagcAAzyEfryjbGcJDBaByycuopcuAcEBBvoBafEAofGABDfoBBvIyBbBsulBkBApKrBAyBqGIBBBBeEBBBvtBABIBBBBxjcyDBBryyuKdJuyzvfcaxgab",0,9.73,32,9,9,112,9.6,0
"1000k","l",200,36,100000,589278,"wmzagcuCAEExaxGEkEzvzBvyucuolcurBBvGBBBByBBxBBBBsBBBBBdBBBABBBBBBBBqfgpvDBsBJrBBBBBBBoBBBBBBBBBDpBJDAAoykBqBBBBzvfcaxgab",0,9.74,57,3,3,116,9.74,0
"100k","l",100,8,100000,351210,"lwjagcvlvAECFuvDtKicwjxyycuopcuBBDrBBBBBBvbBBByBBnkBBBEBdBBvdcBBBBuBBBBBvBBAeBBvBABEpBBAeBBBmEBBBsvsnBByBBBBBBBzvfcaxgab",27.2308,9.63,54,6,6,116,9.58,0
"100k","l",500,40,100000,1511904,"wzcagciiAtEKmcnKAtiarEjyycuopcDoDBBaowyBJBAvBJqBBAtvmAAvbmnByuerdBABBEsIEGIBpBAtGvtBpBpxdBBBuboDIucGBBiBBBBBBBBBvvvvxgab",0,9.58,32,5,5,112,9.7,0
"8k","l",200,39,100000,720515,"wzcagclzDqEuIIinppdebxEyycuopcurGBDBqbBdDBEAqyBBBBBBBvBEBwBBBwBGByBtrfJBrczDLEDpDIAIAwxeitjmvljuvetICkBypyaHwkvzvfcaxgab",8.4349,9.63,28,8,8,117,9.67,0
"10k","l",200,2,100000,737517,"wzcagcmDpGEEpllBaiBbJlsyycuobcuyarEGdpwBfBodBBBLBBaBBBLAcAyvsyLsBBBAIBBDBABBBpByAdBByBtjjBAtBBBBfvBfBupBJrAokpyzvfcaxgab",16.8972,9.59,35,10,10,113,9.59,0
"8k","l",500,34,100000,1828520,"wzcagcdfdKEaJlniLHCEnvHGycuGucmyIDcGttEmBaBKvkmpDKkvkkxAbDvvvvwuByueduqBBrBBBuEBwBsBBBBtpEouBBBBxuBrBBBBBBBByclzvfcaxgab",26.274,9.72,31,10,10,119,9.82,0
"100k","l",500,24,100000,1662218,"wzcagcvDyzEyajDytKuwvIpyycuBucbyBBABBBvBlEByuGBucBBpBBBEBuuBBbvrBBBBBBBBBBBBBByBBuDBBEBBvuEBBBBBBBBBfBBBBvBBvsBzvfcaxgab",0,9.72,56,3,3,119,9.82,0
"100k","l",500,24,100000,1662218,"wzcagcvDCGEjGjDyjquwvGpyycuvuclyBBJBBkvBFEByuGBuEBBpBBBEBuujBavrBBBBBBBBBBBBBByBBuaBBEBBvuEBBBBBBBBBxBBBBvBBoDBzvfcaxgab",46.6419,9.7,54,1,1,120,9.76,0
"10k","l",200,1,100000,723419,"wzcagcHityEJlufGfzJEfrtyscuopcBGBbvyABuBIoBBAfKIqbArvxaAducBBBIGEbpBBuBbBKbBJvDBKiuBEEBaveAjrBBBBBBBBBvBBsBBBBBzvfcaxgab",26.2761,9.71,34,10,10,115,9.94,0
