init_genome,repl,update,evolved_genome,scf,merit,mum
AmfjLLdzuownjaaHncLooclyycuDLAuHcgcdEIfrsEuwoBGGrjfxesBkxlmBBfcEIjBBbBdBeBeBBKdABqwIIBpwdBkBqBdBBBEEprqbBydKDBuzvvvvxgkC,2,0,AmfjLLdzuownjaaHncLooclyycuDLAuHcgcdEIfrsEuwoBGGrjfxesBkxlmBBfcEIjBBbBdBeBeBBKdABqwIIBpwdBkBqBdBBBEEprqbBydKDBuIoKfpcrkb,0.000000,120.000000,0.000000
AmfjLLdzuownjaaHncLooclyycuDLAuHcgcdEIfrsEuwoBGGrjfxesBkxlmBBfcEIjBBbBdBeBeBBKdABqwIIBpwdBkBqBdBBBEEprqbBydKDBuzvvvvxgkC,3,0,AmfjLLdzuownjaaHncLooclyycuDLAuHcgcdEIfrsEuwoBGGrjfxesBkxlmBBfcEIjBBbBdBeBeBBKdABqwIIBpwdBkBqBdBBBEEprqbBydKDBuIoKfpcrkb,0.000000,120.000000,0.000000
AmfjLLdzuownjaaHncLooclyycuDLAuHcgcdEIfrsEuwoBGGrjfxesBkxlmBBfcEIjBBbBdBeBeBBKdABqwIIBpwdBkBqBdBBBEEprqbBydKDBuzvvvvxgkC,4,0,AmfjLLdzuownjaaHncLooclyycuDLAuHcgcdEIfrsEuwoBGGrjfxesBkxlmBBfcEIjBBbBdBeBeBBKdABqwIIBpwdBkBqBdBBBEEprqbBydKDBuIoKfpcrkb,0.000000,120.000000,0.000000
wqjagcekCJLlJCcwyfyycqyoEuuopcEnpdeoEjuIrKxuwrABaGqtpwBBsuDwdqBroBBwBBBBLIBGJykBBwmEkjdfJBJIBBLqGInzwdaJdpIfhJyzvvvvxgrv,0,0,wqjagcekCJLlJCcwyfyycqyoEuuopcEnpdeoEjuIrKxuwrABaGqtpwBBsuDwdqBroBBwBBBBLIBGJykBBwmEkjdfJBJIBBLqGInzwdaJdpIfhJyIoKfpcrkb,0.000000,120.000000,0.000000
wqjagcekCJLlJCcwyfyycqyoEuuopcEnpdeoEjuIrKxuwrABaGqtpwBBsuDwdqBroBBwBBBBLIBGJykBBwmEkjdfJBJIBBLqGInzwdaJdpIfhJyzvvvvxgrv,1,0,wqjagcekCJLlJCcwyfyycqyoEuuopcEnpdeoEjuIrKxuwrABaGqtpwBBsuDwdqBroBBwBBBBLIBGJykBBwmEkjdfJBJIBBLqGInzwdaJdpIfhJyIoKfpcrkb,0.000000,120.000000,0.000000
wqjagcekCJLlJCcwyfyycqyoEuuopcEnpdeoEjuIrKxuwrABaGqtpwBBsuDwdqBroBBwBBBBLIBGJykBBwmEkjdfJBJIBBLqGInzwdaJdpIfhJyzvvvvxgrv,2,0,wqjagcekCJLlJCcwyfyycqyoEuuopcEnpdeoEjuIrKxuwrABaGqtpwBBsuDwdqBroBBwBBBBLIBGJykBBwmEkjdfJBJIBBLqGInzwdaJdpIfhJyIoKfpcrkb,0.000000,120.000000,0.000000
wqjagcekCJLlJCcwyfyycqyoEuuopcEnpdeoEjuIrKxuwrABaGqtpwBBsuDwdqBroBBwBBBBLIBGJykBBwmEkjdfJBJIBBLqGInzwdaJdpIfhJyzvvvvxgrv,3,0,wqjagcekCJLlJCcwyfyycqyoEuuopcEnpdeoEjuIrKxuwrABaGqtpwBBsuDwdqBroBBwBBBBLIBGJykBBwmEkjdfJBJIBBLqGInzwdaJdpIfhJyIoKfpcrkb,0.000000,120.000000,0.000000
wqjagcekCJLlJCcwyfyycqyoEuuopcEnpdeoEjuIrKxuwrABaGqtpwBBsuDwdqBroBBwBBBBLIBGJykBBwmEkjdfJBJIBBLqGInzwdaJdpIfhJyzvvvvxgrv,4,0,wqjagcekCJLlJCcwyfyycqyoEuuopcEnpdeoEjuIrKxuwrABaGqtpwBBsuDwdqBroBBwBBBBLIBGJykBBwmEkjdfJBJIBBLqGInzwdaJdpIfhJyIoKfpcrkb,0.000000,120.000000,0.000000
sLLceiEappHwJABuAityKxbiycuEgbucoLtJGuAbLBjaueiykwJfdtspBaBfgcyKwnvaJvwtrpBdBBBuuBrBBBKfpBujybGBEfBBByBBkBvBxDEzvxvvvgda,0,0,sLLceiEappHwJABuAityKxbiycuEgbucoLtJGuAbLBjaueiykwJfdtspBaBfgcyKwnvaJvwtrpBdBBBuuBrBBBKfpBujybGBEfBBByBBkBvBxDEIoKfpcrkb,0.000000,120.000000,0.000000
sLLceiEappHwJABuAityKxbiycuEgbucoLtJGuAbLBjaueiykwJfdtspBaBfgcyKwnvaJvwtrpBdBBBuuBrBBBKfpBujybGBEfBBByBBkBvBxDEzvxvvvgda,1,0,sLLceiEappHwJABuAityKxbiycuEgbucoLtJGuAbLBjaueiykwJfdtspBaBfgcyKwnvaJvwtrpBdBBBuuBrBBBKfpBujybGBEfBBByBBkBvBxDEIoKfpcrkb,0.000000,120.000000,0.000000
sLLceiEappHwJABuAityKxbiycuEgbucoLtJGuAbLBjaueiykwJfdtspBaBfgcyKwnvaJvwtrpBdBBBuuBrBBBKfpBujybGBEfBBByBBkBvBxDEzvxvvvgda,2,0,sLLceiEappHwJABuAityKxbiycuEgbucoLtJGuAbLBjaueiykwJfdtspBaBfgcyKwnvaJvwtrpBdBBBuuBrBBBKfpBujybGBEfBBByBBkBvBxDEIoKfpcrkb,0.000000,120.000000,0.000000
sLLceiEappHwJABuAityKxbiycuEgbucoLtJGuAbLBjaueiykwJfdtspBaBfgcyKwnvaJvwtrpBdBBBuuBrBBBKfpBujybGBEfBBByBBkBvBxDEzvxvvvgda,3,0,sLLceiEappHwJABuAityKxbiycuEgbucoLtJGuAbLBjaueiykwJfdtspBaBfgcyKwnvaJvwtrpBdBBBuuBrBBBKfpBujybGBEfBBByBBkBvBxDEIoKfpcrkb,0.000000,120.000000,0.000000
sLLceiEappHwJABuAityKxbiycuEgbucoLtJGuAbLBjaueiykwJfdtspBaBfgcyKwnvaJvwtrpBdBBBuuBrBBBKfpBujybGBEfBBByBBkBvBxDEzvxvvvgda,4,0,sLLceiEappHwJABuAityKxbiycuEgbucoLtJGuAbLBjaueiykwJfdtspBaBfgcyKwnvaJvwtrpBdBBBuuBrBBBKfpBujybGBEfBBByBBkBvBxDEIoKfpcrkb,0.000000,120.000000,0.000000
zwjagcbbyDHDEfLaJbEAxyrAfuybKmAuAjIIojeDfqwsdaGeomyaruIyEysrxAcEJGmaDcsubuqjBJyAFsJBprEbemuoarBuBBnBBBABIoByIByzvvvvxgse,0,0,zwjagcbbyDHDEfLaJbEAxyrAfuybKmAuAjIIojeDfqwsdaGeomyaruIyEysrxAcEJGmaDcsubuqjBJyAFsJBprEbemuoarBuBBnBBBABIoByIByIoKfpcrkb,0.000000,120.000000,0.000000
zwjagcbbyDHDEfLaJbEAxyrAfuybKmAuAjIIojeDfqwsdaGeomyaruIyEysrxAcEJGmaDcsubuqjBJyAFsJBprEbemuoarBuBBnBBBABIoByIByzvvvvxgse,1,0,zwjagcbbyDHDEfLaJbEAxyrAfuybKmAuAjIIojeDfqwsdaGeomyaruIyEysrxAcEJGmaDcsubuqjBJyAFsJBprEbemuoarBuBBnBBBABIoByIByIoKfpcrkb,0.000000,120.000000,0.000000
zwjagcbbyDHDEfLaJbEAxyrAfuybKmAuAjIIojeDfqwsdaGeomyaruIyEysrxAcEJGmaDcsubuqjBJyAFsJBprEbemuoarBuBBnBBBABIoByIByzvvvvxgse,2,0,zwjagcbbyDHDEfLaJbEAxyrAfuybKmAuAjIIojeDfqwsdaGeomyaruIyEysrxAcEJGmaDcsubuqjBJyAFsJBprEbemuoarBuBBnBBBABIoByIByIoKfpcrkb,0.000000,120.000000,0.000000
zwjagcbbyDHDEfLaJbEAxyrAfuybKmAuAjIIojeDfqwsdaGeomyaruIyEysrxAcEJGmaDcsubuqjBJyAFsJBprEbemuoarBuBBnBBBABIoByIByzvvvvxgse,3,0,zwjagcbbyDHDEfLaJbEAxyrAfuybKmAuAjIIojeDfqwsdaGeomyaruIyEysrxAcEJGmaDcsubuqjBJyAFsJBprEbemuoarBuBBnBBBABIoByIByIoKfpcrkb,0.000000,120.000000,0.000000
zwjagcbbyDHDEfLaJbEAxyrAfuybKmAuAjIIojeDfqwsdaGeomyaruIyEysrxAcEJGmaDcsubuqjBJyAFsJBprEbemuoarBuBBnBBBABIoByIByzvvvvxgse,4,0,zwjagcbbyDHDEfLaJbEAxyrAfuybKmAuAjIIojeDfqwsdaGeomyaruIyEysrxAcEJGmaDcsubuqjBJyAFsJBprEbemuoarBuBBnBBBABIoByIByIoKfpcrkb,0.000000,120.000000,0.000000
wDjagcbtbyoyjGHxyBczEEtytcurKchbDddoyEuGjLfsmBFrBpBBEcenBBjwanBBIBBBdBtyqKutABBBkmbwEBcbBwxegnBykImfBkBBfldxIBzzvvvvxglD,0,0,wDjagcbtbyoyjGHxyBczEEtytcurKchbDddoyEuGjLfsmBFrBpBBEcenBBjwanBBIBBBdBtyqKutABBBkmbwEBcbBwxegnBykImfBkBBfldxIBzIoKfpcrkb,0.000000,120.000000,0.000000
wDjagcbtbyoyjGHxyBczEEtytcurKchbDddoyEuGjLfsmBFrBpBBEcenBBjwanBBIBBBdBtyqKutABBBkmbwEBcbBwxegnBykImfBkBBfldxIBzzvvvvxglD,1,0,wDjagcbtbyoyjGHxyBczEEtytcurKchbDddoyEuGjLfsmBFrBpBBEcenBBjwanBBIBBBdBtyqKutABBBkmbwEBcbBwxegnBykImfBkBBfldxIBzIoKfpcrkb,0.000000,120.000000,0.000000
wDjagcbtbyoyjGHxyBczEEtytcurKchbDddoyEuGjLfsmBFrBpBBEcenBBjwanBBIBBBdBtyqKutABBBkmbwEBcbBwxegnBykImfBkBBfldxIBzzvvvvxglD,2,0,wDjagcbtbyoyjGHxyBczEEtytcurKchbDddoyEuGjLfsmBFrBpBBEcenBBjwanBBIBBBdBtyqKutABBBkmbwEBcbBwxegnBykImfBkBBfldxIBzIoKfpcrkb,0.000000,120.000000,0.000000
wDjagcbtbyoyjGHxyBczEEtytcurKchbDddoyEuGjLfsmBFrBpBBEcenBBjwanBBIBBBdBtyqKutABBBkmbwEBcbBwxegnBykImfBkBBfldxIBzzvvvvxglD,3,0,wDjagcbtbyoyjGHxyBczEEtytcurKchbDddoyEuGjLfsmBFrBpBBEcenBBjwanBBIBBBdBtyqKutABBBkmbwEBcbBwxegnBykImfBkBBfldxIBzIoKfpcrkb,0.000000,120.000000,0.000000
wDjagcbtbyoyjGHxyBczEEtytcurKchbDddoyEuGjLfsmBFrBpBBEcenBBjwanBBIBBBdBtyqKutABBBkmbwEBcbBwxegnBykImfBkBBfldxIBzzvvvvxglD,4,0,wDjagcbtbyoyjGHxyBczEEtytcurKchbDddoyEuGjLfsmBFrBpBBEcenBBjwanBBIBBBdBtyqKutABBBkmbwEBcbBwxegnBykImfBkBBfldxIBzIoKfpcrkb,0.000000,120.000000,0.000000
whjagckuEKibBrJGyqaLBufjbobkprkyIGDxBuJsmrbocBDlCeeBEKefwBksBbBbaJBBkqJLtoJBdkxGBBExBsjBauxqpxaBBBBBaBLEibyIxmizvvvvxgsx,0,0,whjagckuEKibBrJGyqaLBufjbobkprkyIGDxBuJsmrbocBDlCeeBEKefwBksBbBbaJBBkqJLtoJBdkxGBBExBsjBauxqpxaBBBBBaBLEibyIxmiIoKfpcrkb,0.000000,120.000000,0.000000
whjagckuEKibBrJGyqaLBufjbobkprkyIGDxBuJsmrbocBDlCeeBEKefwBksBbBbaJBBkqJLtoJBdkxGBBExBsjBauxqpxaBBBBBaBLEibyIxmizvvvvxgsx,1,0,whjagckuEKibBrJGyqaLBufjbobkprkyIGDxBuJsmrbocBDlCeeBEKefwBksBbBbaJBBkqJLtoJBdkxGBBExBsjBauxqpxaBBBBBaBLEibyIxmiIoKfpcrkb,0.000000,120.000000,0.000000
whjagckuEKibBrJGyqaLBufjbobkprkyIGDxBuJsmrbocBDlCeeBEKefwBksBbBbaJBBkqJLtoJBdkxGBBExBsjBauxqpxaBBBBBaBLEibyIxmizvvvvxgsx,2,0,whjagckuEKibBrJGyqaLBufjbobkprkyIGDxBuJsmrbocBDlCeeBEKefwBksBbBbaJBBkqJLtoJBdkxGBBExBsjBauxqpxaBBBBBaBLEibyIxmiIoKfpcrkb,0.000000,120.000000,0.000000
whjagckuEKibBrJGyqaLBufjbobkprkyIGDxBuJsmrbocBDlCeeBEKefwBksBbBbaJBBkqJLtoJBdkxGBBExBsjBauxqpxaBBBBBaBLEibyIxmizvvvvxgsx,3,0,whjagckuEKibBrJGyqaLBufjbobkprkyIGDxBuJsmrbocBDlCeeBEKefwBksBbBbaJBBkqJLtoJBdkxGBBExBsjBauxqpxaBBBBBaBLEibyIxmiIoKfpcrkb,0.000000,120.000000,0.000000
whjagckuEKibBrJGyqaLBufjbobkprkyIGDxBuJsmrbocBDlCeeBEKefwBksBbBbaJBBkqJLtoJBdkxGBBExBsjBauxqpxaBBBBBaBLEibyIxmizvvvvxgsx,4,0,whjagckuEKibBrJGyqaLBufjbobkprkyIGDxBuJsmrbocBDlCeeBEKefwBksBbBbaJBBkqJLtoJBdkxGBBExBsjBauxqpxaBBBBBaBLEibyIxmiIoKfpcrkb,0.000000,120.000000,0.000000
