init_genome,repl,update,evolved_genome,scf,merit,mum
JwjagcEwtnbbBqhfHbmlsHzyycurDBumcftaIcIKnnlKGlfreILgxdbfeiIaErqBysbEeambspAayrAejAEtbxrtAJBBBjBBBABmwBBBBBBtBBBzvvvvxgda,0,-1,JwjagcEwtnbbBqhfHbmlsHzyycurDBumcftaIcIKnnlKGlfreILgxdbfeiIaErqBysbEeambspAayrAejAEtbxrtAJBBBjBBBABmwBBBBBBtBBBzvvvvxgda,21.660000,117.000000,-0.000462
wzcagcpkyHqpFuHwurEEyEGmnduxufucGIwBecrwvElsbypnoBDqrkaubBvcjrkBBBJBkIBGLieHqEBfBBvfdaBBnABDyBwBooGBBBGBDyIivLbzvvvvxgab,0,-1,wzcagcpkyHqpFuHwurEEyEGmnduxufucGIwBecrwvElsbypnoBDqrkaubBvcjrkBBBJBkIBGLieHqEBfBBvfdaBBnABDyBwBooGBBBGBDyIivLbzvvvvxgab,21.520000,114.000000,-0.013476
owjagcHzEEthErcFzuyHuvqlwxzhyucJfuerjqyoJKrcxbuurKcoEnIqpnvvcLduJrnvyjbBsBEnwBdBoBBfBxvvBBBqBIBAdKbBBoBBBmxbzwDzvvxvvgmJ,0,-1,owjagcHzEEthErcFzuyHuvqlwxzhyucJfuerjqyoJKrcxbuurKcoEnIqpnvvcLduJrnvyjbBsBEnwBdBoBBfBxvvBBBqBIBAdKbBBoBBBmxbzwDzvvxvvgmJ,21.590000,114.000000,-0.007874
wsjalBygcADyEqmiqnusIyrJKAyblkLuIadajjKfBarsocKJJmyarLEyfyscefDoGsaefeBpJBALmBtDEfeLpByaEouBfrByaIBByLuBBBBABpuzvvvvxgoD,0,-1,wsjalBygcADyEqmiqnusIyrJKAyblkLuIadajjKfBarsocKJJmyarLEyfyscefDoGsaefeBpJBALmBtDEfeLpByaEouBfrByaIBByLuBBBBABpuzvvvvxgoD,21.670000,116.000000,0.004615
wxjagcBaoEEyyrjGquDlEycyucuosdaEAaaBLEkJDLABsGFAywyscwapeerbtrdByoBEFLDjcxBsBnBoDBBDBtaxaBjBtBJbtmbBnfBycJbKkCozvvvvxgGe,0,-1,wxjagcBaoEEyyrjGquDlEycyucuosdaEAaaBLEkJDLABsGFAywyscwapeerbtrdByoBEFLDjcxBsBnBoDBBDBtaxaBjBtBJbtmbBnfBycJbKkCozvvvvxgGe,21.730000,117.000000,0.008283
wIjagcEDIBqpckyoEyeiBEDoycuupcIALkLBtcuBezBmAxBomqxBBaLqjBBpBBBEBGKnByJBAlBpJBBKDBpbyBLBnBpJeykBsmywmLBjbBwDpJBzvvvvxgfi,0,-1,wIjagcEDIBqpckyoEyeiBEDoycuupcIALkLBtcuBezBmAxBomqxBBaLqjBBpBBBEBGKnByJBAlBpJBBKDBpbyBLBnBpJeykBsmywmLBjbBwDpJBzvvvvxgfi,21.820000,111.000000,0.010541
wGjaBAygcwABEdAJknffLyrbLeywlkDuIIuaDqaoxwrsocLuJmyarBEyBysraJxoBDGmfwtpjEyIxwBGEBeupbBajoubqrBxBGBjABfBnBItJcBzvvvvxgly,0,-1,wGjaBAygcwABEdAJknffLyrbLeywlkDuIIuaDqaoxwrsocLuJmyarBEyBysraJxoBDGmfwtpjEyIxwBGEBeupbBajoubqrBxBGBjABfBnBItJcBzvvvvxgly,21.410000,117.000000,0.003270
wzcagclIHcwhdmczleEGzycywuuopcuLCobrdydtJxCaDFAknAFBBfFjyyABGfAwIscIqtIGyfldKJBBfaBFDJkbpBqquurBsBBAIBqBlBBBqBBzvvvvxgab,0,-1,wzcagclIHcwhdmczleEGzycywuuopcuLCobrdydtJxCaDFAknAFBBfFjyyABGfAwIscIqtIGyfldKJBBfaBFDJkbpBqquurBsBBAIBqBlBBBqBBzvvvvxgab,21.650000,113.000000,-0.001386
wIjagcDjCeIHKsaEbJfnapGyycureaumcJtruxunoepkKAnosmfmILLbxLElqjpkyapxfJEEksKjyrbJaajtAErBBBBeBBBpBBBjBBBBBBBBBBdzvvvvxghJ,0,-1,wIjagcDjCeIHKsaEbJfnapGyycureaumcJtruxunoepkKAnosmfmILLbxLElqjpkyapxfJEEksKjyrbJaajtAErBBBBeBBBpBBBjBBBBBBBBBBdzvvvvxghJ,21.920000,111.000000,0.013230
wujagcoeswyDJHmlddytEsckyuujpcuiqrDbfGbdkBELybtCaGKbBBBvvBpjLBBkLvynysGrJGBueBBjLwpdvwAFsurtpfBBEBdBBEBBlBeDBECzvvvvxgex,0,-1,wujagcoeswyDJHmlddytEsckyuujpcuiqrDbfGbdkBELybtCaGKbBBBvvBpjLBBkLvynysGrJGBueBBjLwpdvwAFsurtpfBBEBdBBEBBlBeDBECzvvvvxgex,21.700000,115.000000,0.005069
